INT	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	INT
图鉴ID（需要有对应的头像道具与图鉴ID相对应）	图鉴名称	图鉴合成消耗碎片ID	消耗碎片个数	图鉴本体激活属性ID	属性数值	悬赏激活奖励金钱数量	图鉴关联NPCid	魔物技能	碎片消耗数量	最大星级
30000	赤炎幼龙	35001	5	10	50	5000	2001	2002	5|10|20|30|50	5
30001	黑蜘蛛	35000	5	13	2000	5000	2000	2004	5|10|20|30|50	5
30002	犀牛兽	35002	5	11	50	5000	2002	2006	5|10|20|30|50	5
30003	魔狼	35003	5	19	20	5000	2003	2004	5|10|20|30|50	5
30004	蛮荒巨人	35004	5	20	20	5000	2004	2003	5|10|20|30|50	5
30005	骨兵	35005	5	9	20	5000	2005	2007	5|10|20|30|50	5
30006	蛮牛兽	35006	5	9	20	10000	2006	2006	20|30|40|50|60	5
30007	黑袍巫师	35007	5	12	20	5000	2007	2002	20|30|40|50|60	5
30008	毒尾兽	35008	5	13	3000	10000	2008	2004	30|40|50|60|70	5
30009	甲虫兽	35009	5	10	75	10000	2009	2004	30|40|50|60|70	5
30010	地精战士	35010	5	11	75	10000	2010	2005	30|40|50|60|70	5
30011	地精队长	35011	5	19	30	10000	2011	2005	40|50|60|70|80	5
30012	盗贼	35012	5	20	30	10000	2012	2009	30|40|50|60|70	5
30013	树人	35013	5	9	30	20000	2013	2006	30|40|50|60|70	5
30014	半兽人	35014	5	9	30	50000	2014	2008	40|50|60|70|80	5
30015	岩石巨人	35015	5	12	30	10000	2015	2006	40|50|60|70|80	5
30016	雪魔虫	35016	5	13	4000	20000	2016	2004	40|50|60|70|80	5
30017	冰晶兽	35017	5	10	100	20000	2017	2007	40|50|60|70|80	5
30018	蓝魔巨人	35018	5	11	100	20000	2018	2003	40|50|60|70|80	5
30019	暗影战士	35019	5	19	40	20000	2019	2004	50|60|80|100|120	5
30020	霜雪巨人	35020	5	20	40	20000	2020	2007	50|60|80|100|120	5
30021	霜雪巨人王	35021	5	9	40	100000	2021	2008	50|60|80|100|120	5
30024	亡灵	35024	5	13	6000	50000	2023	2007	50|60|80|100|120	5
30025	噬魂巨人	35025	5	10	150	50000	2024	2003	50|60|80|100|120	5
30026	骨兵弓手	35026	5	11	150	50000	2025	2009	50|60|80|100|120	5
30027	暗夜魔狼	35027	5	19	60	50000	2026	2005	50|60|80|100|120	5
30028	幻影蜘蛛	35028	5	20	60	50000	2027	2007	50|60|80|100|120	5
30029	骨兵剑士	35029	5	9	60	150000	2028	2005	50|60|80|100|120	5
30030	亡灵巫师	35030	5	12	60	50000	2029	2009	80|100|120|140|160	5
30032	魔域战士	35032	5	10	200	100000	2031	2003	80|100|120|140|160	5
30033	银甲魔	35033	5	11	200	100000	2032	2004	80|100|120|140|160	5
30034	毒甲魔	35034	5	19	80	100000	2033	2005	80|100|120|140|160	5
30035	厄运巫师	35035	5	20	80	100000	2034	2009	80|100|120|140|160	5
30036	石骨兽	35036	5	9	80	200000	2035	2008	80|100|120|140|160	5
30037	地狱魔鬼	35037	5	12	80	100000	2036	2007	100|120|140|160|180	5
30038	魔骑士	35038	5	13	8000	150000	2037	2003	100|120|140|160|180	5
30039	魔战士	35039	5	10	250	150000	2038	2004	100|120|140|160|180	5
30040	迷你海兽	35040	5	11	250	150000	2039	2002	120|140|160|180|200	5
30041	暴烈人鱼	35041	5	19	100	150000	2040	2007	120|140|160|180|200	5
30042	鬼面海怪	35042	5	20	100	150000	2041	2005	120|140|160|180|200	5
30043	巨大海兽	35043	5	9	100	250000	2042	2009	120|140|160|180|200	5
30044	尖啸海怪	35044	5	12	100	150000	2043	2008	150|180|200|220|250	5
30045	荒古魔蜥	35045	5	13	15000	200000	2044	2007	150|180|200|220|250	5
30046	畸形怪	35046	5	10	100	200000	2051	2003	130|150|170|190|210	5
30047	沙漠巨蜥	35047	5	11	100	200000	2052	2002	130|150|170|190|210	5
30048	魔化沙兵	35048	5	19	100	200000	2053	2007	130|150|170|190|210	5
30049	人面毒蝎	35049	5	20	100	200000	2054	2005	130|150|170|190|210	5
30050	蛇发女妖	35050	5	9	100	200000	2055	2004	160|190|210|230|260	5
30051	破坏骑兵	35051	5	12	100	200000	2056	2006	160|190|210|230|260	5
30052	木乃伊	35052	5	13	100	200000	2057	2005	160|190|210|230|260	5
31000	黑袍巫魔	36000	5	105	200	10000	2045	2011	30|40|50|60|80	5
31001	盗贼魔头	36001	5	105	300	15000	2046	2015	40|50|60|80|100	5
31002	幻雪冰后	36002	5	105	400	20000	2047	2013	50|60|80|100|120	5
31003	魔王之影	36003	5	105	500	100000	2048	2017	60|80|100|120|150	5
31004	荒古魔魂	36004	5	105	600	200000	2049	2019	80|100|120|150|200	5
31005	魔灵塞伊丝	36005	5	105	750	500000	2050	2021	100|120|150|200|300	5
31006	沙魔阿卡门农	36006	5	105	900	800000	2058	2023	120|150|200|280|350	5
31007	星空领主瑟利斯	36007	5	105	900	800000	2065	2027	120|150|200|280|350	5
31008	暴怒·火龙王	36020	5	105	1000	800000	2070	2025	120|150|200|280|350	5
