INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
军衔	NameTitle_ID	升级后军衔	升级需求荣誉	增加属性1ID	数值	增加属性2ID	数值	增加属性3ID	数值	增加属性4ID	数值	增加属性5ID	数值	增加属性6ID	数值	增加属性7ID	数值	增加属性8ID	数值	增加属性9ID	数值	增加属性10ID	数值
0	-1	1	3000	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0
1	3001	2	6800	5	124	6	142	7	124	8	142	13	721	10	66	11	66	19	34	21	100	-1	0
2	3002	3	14800	5	252	6	288	7	252	8	288	13	1622	10	135	11	135	19	64	21	200	-1	0
3	3003	4	29100	5	420	6	480	7	420	8	480	13	3071	10	225	11	225	19	101	21	300	-1	0
4	3004	5	52500	5	628	6	718	7	628	8	718	13	5230	10	336	11	336	19	144	21	400	-1	0
5	3005	6	88100	5	877	6	1002	7	877	8	1002	13	8263	10	470	11	470	19	191	21	500	-1	0
6	3006	7	139500	5	1166	6	1332	7	1166	8	1332	13	12329	10	624	11	624	19	241	21	600	-1	0
7	3007	8	210600	5	1495	6	1709	7	1495	8	1709	13	17593	10	801	11	801	19	295	21	700	-1	0
8	3008	9	306000	5	1865	6	2131	7	1865	8	2131	13	24215	10	999	11	999	19	352	21	800	-1	0
9	3009	10	430300	5	2275	6	2600	7	2275	8	2600	13	32358	10	1218	11	1218	19	411	21	900	-1	0
10	3010	11	589000	5	2725	6	3114	7	2725	8	3114	13	42184	10	1460	11	1460	19	473	21	1000	-1	0
11	3011	12	787600	5	3215	6	3675	7	3215	8	3675	13	53854	10	1722	11	1722	19	536	21	1100	-1	0
12	3012	13	1032400	5	3746	6	4282	7	3746	8	4282	13	67530	10	2007	11	2007	19	602	21	1200	-1	0
13	3013	14	1330000	5	4317	6	4934	7	4317	8	4934	13	83376	10	2313	11	2313	19	693	21	1300	-1	0
14	3014	-1	-1	5	4929	6	5633	7	4929	8	5633	13	101552	10	2640	11	2640	19	792	21	1400	-1	0
