INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
天赋ID	所属职业	所属天赋列表	未激活图标ID	激活图标ID	节点X坐标	节点Y坐标	所需前置天赋	所需前置天赋点数	所需前置天赋	所需前置天赋点数	可分配点数	互斥节点	激活技能ID	1层BUFFid	2层BUFFid	3层BUFFid	4层BUFFid	5层BUFFid	6层BUFFid	7层BUFFid	8层BUFFid	9层BUFFid	10层BUFFid
0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	0	0	-1	-1	-1	-1	0	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	0	0	-1	-1	-1	-1	1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	0	0	-1	-1	-1	-1	2	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	0	0	-1	-1	-1	-1	3	1	-1	-1	1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	0	0	-1	-1	-1	-1	3	1	-1	-1	1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	0	0	-1	-1	-1	-1	4	1	5	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	0	0	-1	-1	-1	-1	6	1	-1	-1	1	-1	124	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	0	0	-1	-1	-1	-1	7	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	0	0	-1	-1	-1	-1	8	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	0	0	-1	-1	-1	-1	9	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	0	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	0	1	-1	-1	-1	-1	11	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	0	1	-1	-1	-1	-1	12	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	0	1	-1	-1	-1	-1	13	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	0	1	-1	-1	-1	-1	14	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	0	1	-1	-1	-1	-1	15	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	0	1	-1	-1	-1	-1	16	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	0	1	-1	-1	-1	-1	17	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
19	0	1	-1	-1	-1	-1	18	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
20	0	1	-1	-1	-1	-1	19	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
