INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引ID	合成类型	合成物品1	合成物品1概率	合成物品2	合成物品2概率	合成物品3	合成物品3概率	合成物品4	合成物品4概率	合成物品5	合成物品5概率	合成物品6	合成物品6概率	合成物品7	合成物品7概率	合成物品8	合成物品8概率	所需物品1	所需物品1数量	所需物品2	所需物品2数量	所需物品3	所需物品3数量	所需物品4	所需物品4数量	消耗资源类型	消耗资源数量	合成成功率	公式可见职业	合成屋开启等级
0	0	30008	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30000	3	-1	0	-1	0	-1	-1	2	10000	10000	7	-1
1	0	30009	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30001	3	-1	0	-1	0	-1	-1	2	10000	10000	7	-1
2	0	30010	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30002	3	-1	0	-1	0	-1	-1	2	10000	10000	7	-1
3	0	30011	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30003	3	-1	0	-1	0	-1	-1	2	10000	10000	7	-1
4	0	30012	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30004	3	-1	0	-1	0	-1	-1	2	10000	10000	7	-1
5	0	30013	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30005	3	-1	0	-1	0	-1	-1	2	10000	10000	7	-1
6	0	30014	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30007	3	-1	0	-1	0	-1	-1	2	10000	10000	7	-1
7	0	30015	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30008	3	-1	0	-1	0	-1	-1	2	10000	10000	7	-1
8	0	30016	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30009	3	-1	0	-1	0	-1	-1	2	10000	10000	7	-1
9	0	30017	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30010	3	-1	0	-1	0	-1	-1	2	10000	10000	7	-1
10	0	30018	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30010	3	-1	0	-1	0	-1	-1	2	10000	10000	7	-1
11	0	30019	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30011	3	-1	0	-1	0	-1	-1	2	10000	10000	7	-1
100	1	22012	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22010	1	22011	1	22002	1	-1	-1	2	4000	10000	7	1
101	1	22015	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22013	1	22014	1	22002	1	-1	-1	2	4000	10000	7	1
102	2	25000	7500	25001	2500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22014	1	22002	1	-1	0	-1	-1	2	25000	7500	7	60
103	2	25002	7500	25003	2500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22011	1	22002	1	-1	0	-1	-1	2	25000	7500	7	60
104	2	25004	7500	25005	2500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22013	1	22002	1	-1	0	-1	-1	2	25000	7500	7	60
105	2	25006	7500	25007	2500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22010	1	22002	1	-1	0	-1	-1	2	25000	7500	7	60
106	0	25001	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22014	1	22002	5	-1	0	-1	-1	2	50000	7500	7	100
107	0	25003	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22011	1	22002	5	-1	0	-1	-1	2	50000	7500	7	100
108	0	25005	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22013	1	22002	5	-1	0	-1	-1	2	50000	7500	7	100
109	0	25007	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22010	1	22002	5	-1	0	-1	-1	2	50000	7500	7	100
110	1	22056	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22054	20	22055	1	22002	20	-1	-1	2	10000	10000	7	1
111	3	22082	9000	22085	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22001	3	22002	3	-1	-1	-1	-1	2	50000	7500	7	-1
112	3	22083	9000	22086	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22082	3	22002	3	-1	-1	-1	-1	2	100000	10000	7	-1
113	3	22084	9000	22091	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22083	3	22002	3	-1	-1	-1	-1	-1	100000	10000	7	-1
114	0	22085	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22084	3	22002	3	-1	-1	-1	-1	-1	100000	10000	7	-1
115	0	22086	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22085	3	22002	3	-1	-1	-1	-1	-1	100000	10000	7	-1
116	0	22091	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22086	3	22002	3	-1	-1	-1	-1	-1	100000	10000	7	-1
200	4	20000	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	2000	22002	1	20304	12	-1	-1	2	100000	10000	1	1
201	4	20001	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	3000	22002	1	20304	14	-1	-1	2	100000	10000	1	1
202	4	20002	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	5000	22002	1	20304	16	-1	-1	2	100000	10000	1	1
203	4	20004	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	6000	22002	2	20305	14	-1	-1	2	200000	10000	1	1
204	4	20003	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	10000	22002	2	20305	16	-1	-1	2	200000	10000	1	1
205	4	20005	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	15000	22002	2	20305	18	-1	-1	2	200000	10000	1	1
206	4	20006	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	18000	22002	3	20306	16	-1	-1	2	300000	10000	1	1
207	4	20007	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	20000	22002	3	20306	18	-1	-1	2	300000	10000	1	1
208	4	20008	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	25000	22002	3	20306	20	-1	-1	2	300000	10000	1	1
300	4	20100	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	2000	22002	1	20304	12	-1	-1	2	100000	10000	2	1
301	4	20101	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	3000	22002	1	20304	14	-1	-1	2	100000	10000	2	1
302	4	20102	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	5000	22002	1	20304	16	-1	-1	2	100000	10000	2	1
303	4	20104	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	6000	22002	2	20305	14	-1	-1	2	200000	10000	2	1
304	4	20103	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	10000	22002	2	20305	16	-1	-1	2	200000	10000	2	1
305	4	20105	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	15000	22002	2	20305	18	-1	-1	2	200000	10000	2	1
306	4	20106	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	18000	22002	3	20306	16	-1	-1	2	300000	10000	2	1
307	4	20107	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	20000	22002	3	20306	18	-1	-1	2	300000	10000	2	1
308	4	20108	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	25000	22002	3	20306	20	-1	-1	2	300000	10000	2	1
400	4	20200	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	2000	22002	1	20304	12	-1	-1	2	100000	10000	4	1
401	4	20202	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	3000	22002	1	20304	14	-1	-1	2	100000	10000	4	1
402	4	20206	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	5000	22002	1	20304	16	-1	-1	2	100000	10000	4	1
403	4	20204	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	6000	22002	2	20305	14	-1	-1	2	200000	10000	4	1
404	4	20203	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	10000	22002	2	20305	16	-1	-1	2	200000	10000	4	1
405	4	20205	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	15000	22002	2	20305	18	-1	-1	2	200000	10000	4	1
406	4	20201	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	18000	22002	3	20306	16	-1	-1	2	300000	10000	4	1
407	4	20207	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	20000	22002	3	20306	18	-1	-1	2	300000	10000	4	1
408	4	20208	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	25000	22002	3	20306	20	-1	-1	2	300000	10000	4	1
500	5	20305	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	300	20304	3	22002	1	-1	-1	2	50000	10000	7	1
