INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引ID	物品名称	物品图标	获得时优先进入包裹	可进入那些包裹	最大堆叠数量	物品类型	物品颜色	物品使用等级	物品职业限制	购买需求类型	购买需求数量	回收货币类型	回收价格	出售金币价格	扩展数据1	扩展数据2	扩展数据3	扩展数据4	包裹排列优先级	交易类型	每组交易最大数量	交易额最小值	交易额最大值	交易等级限制	物品价值	挖宝是否发送公告	拍卖类型1	拍卖类型2	拍卖类型3	使用时消耗	使用消耗数量	使用后展示	是否自动使用	有效时间	捐赠贡献	取出价格	许愿池获得是否广播	销毁所得资金
0	角色等级	0	-1	-1	-1	0	0	1	-1	-1	0	-1	0	-1	1	-1	-1	-1	0	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
1	经验	1	-1	-1	-1	0	0	1	-1	-1	0	-1	0	-1	0	-1	-1	-1	1	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
2	金币	2	-1	-1	-1	0	0	1	-1	-1	0	-1	0	-1	1000	-1	-1	-1	2	0	1	1	9999	1	1	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
3	钻石	3	-1	-1	-1	0	3	1	-1	-1	0	-1	0	-1	0	-1	-1	-1	3	0	1	1	9999	1	10000	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
4	VIP经验	4	-1	-1	-1	0	3	1	-1	-1	0	-1	0	-1	0	-1	-1	-1	4	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
5	智慧结晶	5	-1	-1	-1	0	3	1	-1	-1	0	-1	0	-1	300	-1	-1	-1	5	0	1	1	9999	1	70	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
6	要塞等级	6	-1	-1	-1	0	3	1	-1	-1	0	-1	0	-1	1	-1	-1	-1	6	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
7	精魄	7	-1	-1	-1	0	3	1	-1	-1	0	-1	0	-1	0	-1	-1	-1	7	0	1	1	9999	1	300	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
8	活动积分	2050094	-1	-1	-1	0	3	1	-1	-1	0	-1	0	-1	0	-1	-1	-1	8	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
9	成就点	12	-1	-1	-1	0	3	1	-1	-1	0	-1	0	-1	0	-1	-1	-1	9	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10	魔尘	10	-1	-1	-1	0	3	1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	10	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
11	荣誉	11	-1	-1	-1	0	3	1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	11	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
12	符文经验	22004	-1	-1	-1	0	3	1	-1	-1	0	-1	0	-1	0	-1	-1	-1	12	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
13	功绩	13	-1	-1	-1	0	3	1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	13	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
14	魂石	14	-1	-1	-1	0	3	1	-1	-1	0	-1	0	-1	0	-1	-1	-1	14	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
15	VIP等级	1000	-1	-1	-1	0	3	1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	15	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16	魔幻币	16	-1	-1	-1	0	3	1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	16	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
17	绑钻	2300001	-1	-1	-1	0	3	1	-1	-1	0	-1	0	-1	0	-1	-1	-1	17	0	1	1	9999	1	5000	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
18	炼金币	80401	-1	-1	-1	0	3	1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	18	0	1	1	9999	1	5000	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
20	深渊魔石(道具废弃且ID1000以内不要配置常用包裹道具)	599	1	4194314	999	22000	3	1	-1	-1	0	-1	0	10000	20	-1	-1	-1	123022006	0	1	1	9999	1	10	1	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10001	飞龙之翼	10001	12	4096	1	10005	3	1	0	-1	0	-1	0	500	10001	10001	1	-1	304205401	0	1	1	9999	25	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10002	邪魔之翼	10002	12	4096	1	10005	3	1	0	-1	0	-1	0	500	10002	10002	1	-1	304205402	0	1	1	9999	25	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10003	邪神之翼	10003	12	4096	1	10005	3	1	0	-1	0	-1	0	500	10003	10003	1	-1	304205403	0	1	1	9999	25	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10004	邪魂之翼	10004	12	4096	1	10005	3	1	0	-1	0	-1	0	500	10004	10004	1	-1	304205404	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10005	天龙之翼	10005	12	4096	1	10005	3	1	0	-1	0	-1	0	500	10005	10005	1	-1	304205405	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10006	龙炎之翼	10006	12	4096	1	10005	3	1	0	-1	0	-1	0	500	10006	10006	1	-1	304205406	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10007	龙王之翼	10007	12	4096	1	10005	3	1	0	-1	0	-1	0	500	10007	10007	1	-1	304205407	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10008	死亡之翼	10008	12	4096	1	10005	3	1	0	-1	0	-1	0	500	10008	10008	1	-1	304205408	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10009	死神之翼	10009	12	4096	1	10005	3	1	0	-1	0	-1	0	500	10009	10009	1	-1	304205409	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10010	战神之翼	10010	12	4096	1	10005	3	1	0	-1	0	-1	0	500	10010	10010	1	-1	304205410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10101	纯洁之翼	10101	12	4096	1	10005	3	1	1	-1	0	-1	0	500	10101	10101	1	-1	304305401	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10102	纯真之翼	10102	12	4096	1	10005	3	1	1	-1	0	-1	0	500	10102	10102	1	-1	304305402	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10103	天界之翼	10103	12	4096	1	10005	3	1	1	-1	0	-1	0	500	10103	10103	1	-1	304305403	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10104	魔魂之翼	10104	12	4096	1	10005	3	1	1	-1	0	-1	0	500	10104	10104	1	-1	304305404	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10105	传奇之翼	10105	12	4096	1	10005	3	1	1	-1	0	-1	0	500	10105	10105	1	-1	304305405	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10106	神圣之翼	10106	12	4096	1	10005	3	1	1	-1	0	-1	0	500	10106	10106	1	-1	304305406	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10107	圣洁之翼	10107	12	4096	1	10005	3	1	1	-1	0	-1	0	500	10107	10107	1	-1	304305407	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10108	玄灵之翼	10108	12	4096	1	10005	3	1	1	-1	0	-1	0	500	10108	10108	1	-1	304305408	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10109	幻灵之翼	10109	12	4096	1	10005	3	1	1	-1	0	-1	0	500	10109	10109	1	-1	304305409	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10110	魔神之翼	10110	12	4096	1	10005	3	1	1	-1	0	-1	0	500	10110	10110	1	-1	304305410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10201	明光之翼	10201	12	4096	1	10005	3	1	2	-1	0	-1	0	500	10201	10201	1	-1	304405401	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10202	轻灵之翼	10202	12	4096	1	10005	3	1	2	-1	0	-1	0	500	10202	10202	1	-1	304405402	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10203	灵风之翼	10203	12	4096	1	10005	3	1	2	-1	0	-1	0	500	10203	10203	1	-1	304405403	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10204	圣灵之翼	10204	12	4096	1	10005	3	1	2	-1	0	-1	0	500	10204	10204	1	-1	304405404	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10205	神女之翼	10205	12	4096	1	10005	3	1	2	-1	0	-1	0	500	10205	10205	1	-1	304405405	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10206	碧影之翼	10206	12	4096	1	10005	3	1	2	-1	0	-1	0	500	10206	10206	1	-1	304405406	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10207	幻影之翼	10207	12	4096	1	10005	3	1	2	-1	0	-1	0	500	10207	10207	1	-1	304405407	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10208	苍穹之翼	10208	12	4096	1	10005	3	1	2	-1	0	-1	0	500	10208	10208	1	-1	304405408	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10209	风神之翼	10209	12	4096	1	10005	3	1	2	-1	0	-1	0	500	10209	10209	1	-1	304405409	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10210	奇幻之翼	10210	12	4096	1	10005	3	1	2	-1	0	-1	0	500	10210	10210	1	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
10901	6元充值卡	130	1	4194314	1	99	3	1	-1	-1	0	-1	0	0	6	-1	-1	-1	143020231	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	1	0	-1	-1	0	0	0
10902	30元充值卡	131	1	4194314	1	99	3	1	-1	-1	0	-1	0	0	30	-1	-1	-1	143020232	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	1	0	-1	-1	0	0	0
10903	98元充值卡	132	1	4194314	1	99	3	1	-1	-1	0	-1	0	0	98	-1	-1	-1	143020233	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	1	0	-1	-1	0	0	0
10904	198元充值卡	133	1	4194314	1	99	3	1	-1	-1	0	-1	0	0	198	-1	-1	-1	143020234	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	1	0	-1	-1	0	0	0
10905	328元充值卡	134	1	4194314	1	99	3	1	-1	-1	0	-1	0	0	328	-1	-1	-1	143020235	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	1	0	-1	-1	0	0	0
10906	648元充值卡	135	1	4194314	1	99	3	1	-1	-1	0	-1	0	0	648	-1	-1	-1	143020236	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	1	0	-1	-1	0	0	0
10907	1998元充值卡	136	1	4194314	1	99	3	1	-1	-1	0	-1	0	0	1998	-1	-1	-1	143020237	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	1	0	-1	-1	0	0	0
14999	战马试用	15140	1	4194314	1	15000	2	30	-1	-1	0	-1	0	0	15000	1	99	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	1	-1	-1	0	0	0
15000	战马	15140	1	4194314	1	15000	2	95	-1	-1	0	-1	0	0	15000	1	1	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	1	-1	-1	0	0	0
15001	幽冥战马	15141	1	4194314	1	15000	3	95	-1	-1	0	-1	0	0	15001	1	101	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
15002	变异魔狼	15142	1	4194314	1	15000	4	95	-1	-1	0	-1	0	0	15002	1	201	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
15003	震天狂狮	15143	1	4194314	1	15000	4	95	-1	-1	0	-1	0	0	15003	1	301	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
15004	狂躁剑齿豹	15144	1	4194314	1	15000	4	95	-1	-1	0	-1	0	0	15004	1	401	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
15005	变异机械犬	15146	1	4194314	1	15000	4	95	-1	-1	0	-1	0	0	15005	1	501	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
15006	暴烈迅猛龙	15145	1	4194314	1	15000	4	95	-1	-1	0	-1	0	0	15006	1	601	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
15007	魔域圣蛛	15156	1	4194314	1	15000	4	95	-1	-1	0	-1	0	0	15007	1	701	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
15008	变异魔蝎	15156	1	4194314	1	15000	4	95	-1	-1	0	-1	0	0	15008	1	801	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
15009	重装霸王龙	15156	1	4194314	1	15000	4	95	-1	-1	0	-1	0	0	15009	1	901	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
15010	狮鹫	15156	1	4194314	1	15000	4	95	-1	-1	0	-1	0	0	15010	1	1001	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
15011	飞天独角兽	15156	1	4194314	1	15000	4	95	-1	-1	0	-1	0	0	15011	1	1101	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
15012	地狱骨龙	15156	1	4194314	1	15000	4	95	-1	-1	0	-1	0	0	15012	1	1201	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
15013	地狱战马	15153	1	4194314	1	15000	4	1	-1	-1	0	-1	0	0	15013	1	10001	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
15014	暴躁陆行鸟	15154	1	4194314	1	15000	4	1	-1	-1	0	-1	0	0	15014	1	10002	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
15015	梦幻角马	15155	1	4194314	1	15000	4	1	-1	-1	0	-1	0	0	15015	1	10003	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
15016	狂怒战熊	15157	1	4194314	1	15000	4	1	-1	-1	0	-1	0	0	15016	1	10004	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
15017	幽冥麒麟	15158	1	4194314	1	15000	4	1	-1	-1	0	-1	0	0	15017	1	10005	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
15018	变异灵猫	15159	1	4194314	1	15000	4	1	-1	-1	0	-1	0	0	15018	1	10006	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
15019	守护蓝龙	15160	1	4194314	1	15000	5	1	-1	-1	0	-1	0	0	15019	1	10007	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
15020	梦魇神龙	15161	1	4194314	1	15000	5	1	-1	-1	0	-1	0	0	15020	1	10008	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
15901	战马任务展示	15140	1	4194314	1	15000	1	1	-1	-1	0	-1	0	0	15901	1	1	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16000	恭贺新禧	170	26	603979776	1	10500	4	1	0	-1	0	-1	0	0	16000	-1	16000	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16001	夜之华	171	26	603979776	1	10500	4	1	0	-1	0	-1	0	0	16001	-1	16001	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16002	熊猫	176	26	603979776	1	10500	4	1	0	-1	0	-1	0	0	16002	-1	16002	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16003	海盗船长	180	26	603979776	1	10500	4	1	0	-1	0	-1	0	0	16003	-1	16003	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16004	幽冥战神	178	26	603979776	1	10500	4	1	0	-1	0	-1	0	0	16004	-1	16004	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16030	战士翅膀时装	10007	27	1207959552	1	10501	4	1	0	-1	0	-1	0	0	16030	-1	-1	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16031	战士翅膀时装1	10006	27	1207959552	1	10501	4	1	0	-1	0	-1	0	0	16031	-1	-1	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16060	战士武器时装	500003	28	2415919104	1	10502	4	1	0	-1	0	-1	0	0	16060	-1	-1	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16061	战士武器时装1	500004	28	2415919104	1	10502	4	1	0	-1	0	-1	0	0	16061	-1	-1	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
16100	恭贺新禧	172	26	603979776	1	10500	4	1	1	-1	0	-1	0	0	16100	-1	16100	-1	304405410	0	1	1	9999	1	10	0	-1	-1	-1	-1	1	0	0	-1	-1	0	0	0
