INT	INT
索引ID	物品逻辑类型
0	0
99	2
100	2
200	2
300	2
800	2
10000	1
10001	1
10002	1
10003	1
10004	1
10005	7
10006	1
10007	1
10008	1
10009	1
10010	1
10011	1
10098	1
10099	1
10500	1
10501	1
10502	1
15000	2
19000	2
20000	2
21000	2
21900	2
22000	2
22100	2
22200	2
22201	2
22202	2
23000	2
23500	2
23600	2
23700	2
23800	2
23900	2
24000	2
24500	2
24900	2
24950	2
25000	2
25500	2
26000	2
26100	2
26200	2
26300	10
26500	2
26700	2
26800	2
26900	2
27000	2
28000	2
30000	3
35000	3
40000	5
50000	8
51000	8
52000	8
60000	6
70000	3
80000	9
90000	2
91000	2
