INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引ID	名称	等级	职业	战力预估	装备主手	装备头	装备胸	装备手套	装备裤子	装备鞋子	装备戒指x2	装备项链	装备强化等级	翅膀ID	技能栏1技能	技能栏2技能	技能栏3技能	技能栏4技能	力量	敏捷	智力	体力	攻击最小值	攻击最大值	生命上限	魔法上限	物理防御	魔法防御
0	玛雅战神	150	2	35403	413303	400303	404303	407303	408303	409303	-1	-1	0	10202	204	205	206	207	0	0	0	0	2124	2520	10522	708	1037	933
1	肖特·杰克逊	115	1	29148	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1103	1383	2872	354	399	454
2	扬·海顿	103	0	25980	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	982	1062	3764	223	510	306
3	亚伯·海勒	115	1	29180	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1138	1370	2633	364	402	456
4	保拉·卡莎尼娅	105	2	26592	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	1037	1176	3219	228	400	378
5	玛莎·韦恩	105	2	26836	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	1038	1227	3391	237	373	366
6	里德·马西	115	1	29168	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1088	1395	2580	367	399	488
7	亚当·林赛	110	1	28000	313303	300303	304303	307303	308303	309303	306303	301303	5	10102	104	105	106	107	8	90	220	140	1056	1251	2728	346	412	491
8	艾琳·卡罗琳	105	2	26380	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	1028	1244	3000	219	366	349
9	玛丽安·温妮	100	2	24840	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	918	1117	3229	230	406	330
10	大卫·安迪	105	0	26324	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	916	1182	3776	221	500	304
11	达茜·格拉蒂丝	103	2	25988	413303	400303	404303	407303	408303	409303	406303	401303	5	10202	204	205	206	207	90	220	8	140	950	1220	3239	233	373	370
12	艾登·艾富里	103	0	25372	213303	200303	204303	207303	208303	209303	206303	201303	5	10002	4	5	6	8	220	90	8	140	876	1112	3784	230	504	290
