INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
等级	升级所需经验	当级经验上限	闪避系数	命中系数	物攻最小值强化	物攻最小值固定	物攻最大值强化	物攻最大值固定	魔攻最小值强化	魔攻最小值固定	魔攻最大值强化	魔攻最大值固定	物理防御强化	物理防御固定	魔法防御强化	魔法防御固定	生命上限强化	生命上限固定	攻击百分比战力	防御百分比战力	生命百分比战力	魔法百分比战力	命中百分比战力	闪避百分比战力	无视防御百分比战力	伤害加成率战力	伤害减少率战力	卓越一击率战力	幸运一击率战力	伤害反弹率战力	离线经验	阵法经验	阵法收益万分比	精灵经验	精灵分解值	崇拜奖励经验	被崇拜奖励经验	被崇拜奖励金钱	宝石白经验	宝石绿经验	宝石蓝经验	宝石紫经验	宝石橙经验	固定属性成长（百分比）	百分比属性成长（百分比）	要塞升级所需经验	力量果实上限	敏捷果实上限	智力果实上限	体力果实上限	动态经验基数	随从任务战斗力系数
0	0	0	0	0	100	0	100	0	100	0	100	0	100	0	100	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	548	548	0.4388	0.6208	120	12	120	12	120	12	120	12	120	12	120	12	120	120	508	248	277	28	22	44	275	251	255	234	47	125	18000	500	0	80	0	50	50	500	30	60	90	120	150	100	100	110	0	0	0	0	99	6000
2	597	597	0.4575	0.6414	143	14	143	14	143	14	143	14	143	14	143	14	143	143	540	263	294	29	24	46	293	267	272	249	50	133	18000	650	100	110	80	55	55	600	33	66	99	132	165	110	110	130	0	0	0	0	100	7000
3	695	695	0.4763	0.6616	168	16	168	16	168	16	168	16	168	16	168	16	168	168	573	279	311	31	26	50	312	283	289	264	53	142	18720	820	200	140	190	60	60	700	36	72	108	145	181	120	120	160	0	0	0	0	101	8000
4	793	793	0.4951	0.6816	197	19	197	19	197	19	197	19	197	19	197	19	197	197	608	296	329	33	28	54	331	300	306	280	56	150	18720	1000	300	170	330	65	65	800	39	79	118	159	199	130	130	190	0	0	0	0	102	9000
5	891	891	0.5139	0.7013	231	23	231	23	231	23	231	23	231	23	231	23	231	231	643	313	348	35	30	56	350	318	324	295	59	159	20160	1300	400	200	500	70	70	900	42	86	129	174	218	140	140	220	0	0	0	0	103	10000
6	988	988	0.5327	0.7208	270	27	270	27	270	27	270	27	270	27	270	27	270	270	679	330	367	37	32	60	370	336	342	312	63	168	20160	1500	500	230	700	75	75	1000	46	94	141	191	239	150	150	260	0	0	0	0	104	12000
7	1084	1084	0.5515	0.7401	315	31	315	31	315	31	315	31	315	31	315	31	315	315	717	348	386	39	34	64	391	354	361	328	66	177	20880	1800	600	260	930	80	80	1100	50	103	155	210	262	160	160	300	0	0	0	0	105	13000
8	1180	1180	0.5703	0.7592	368	36	368	36	368	36	368	36	368	36	368	36	368	368	755	366	406	41	38	68	412	373	380	346	70	187	20880	2100	700	290	1190	85	85	1200	55	113	170	231	288	170	170	350	0	0	0	0	106	15000
