INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	矿脉icon	矿脉索引npc	矿脉所在地图	矿脉占领位标示	矿脉可采集次数	矿脉刷新时间	矿脉X坐标	矿脉Y坐标	矿脉产出1	矿脉产出2	矿脉产出展示1	矿脉产出展示2	矿脉产出展示3	矿脉产出展示4	采集倍数	第一个时间段	第二个时间段	战盟资金收益数量	矿脉可分配产出1	产出数量1	矿脉可分配产出2	产出数量2	矿脉可分配产出3	产出数量3	对应扩展计数	祭拜消耗物品	祭拜消耗数量
1	2050106	242010	2	-1	1	1800	-130	-5	1400000	1400001	22018	22054	10	8	2	1300|1400	1700|1800	1000	2	15000	10	120	13	10	950	-1	-1
2	2050104	242011	2	-1	1	1800	-79	-28	1400002	1400003	22001	22007	13	8	2	1300|1400	1700|1800	1000	2	15000	10	120	13	10	950	-1	-1
3	2050105	242012	2	-1	1	1800	-59	35	1400004	1400005	22000	22054	10	8	2	1300|1400	1700|1800	1000	2	15000	10	120	13	10	950	-1	-1
4	2050107	242013	2	-1	1	1800	-115	57	1400006	1400007	22003	22007	13	8	2	1300|1400	1700|1800	1000	2	15000	10	120	13	10	950	-1	-1
5	2050106	242014	2	-1	1	1800	72	42	1400008	1400009	22018	22054	10	8	2	1300|1400	1700|1800	1000	2	15000	10	120	13	10	950	-1	-1
6	2050108	242015	2	-1	1	1800	116	-11	1400010	1400011	22002	22007	13	8	2	1300|1400	1700|1800	1000	2	15000	10	120	13	10	950	-1	-1
7	2050105	242016	2	-1	1	1800	193	32	1400012	1400013	22000	22054	10	8	2	1300|1400	1700|1800	1000	2	15000	10	120	13	10	950	-1	-1
8	2050107	242017	2	-1	1	1800	146	63	1400014	1400015	22003	22007	13	8	2	1300|1400	1700|1800	1000	2	15000	10	120	13	10	950	-1	-1
4000	2050106	242018	4	-1	1	1800	-86	277	1400016	1400017	22018	22054	10	8	2	1300|1400	1700|1800	1200	2	18000	10	180	13	12	957	-1	-1
