INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	发件人	邮件标题	邮件文字内容	邮件显示条件	物品ID1	数量	物品ID2	数量	物品ID3	数量	物品ID4	数量	物品ID5	数量	位标示
0	官方团队	副本返还奖励	您刚才因为服务器问题造成的损失物品，在此补偿给您。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	孵化室管理员	随从蛋快递	您已取消孵化，但因为包裹已满，只好将随从蛋邮寄给您。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	大天使蒂卡尔	大天使的礼物	我的朋友，灭世之战即将到来，你要尽快提升实力，这些礼物希望可以帮助你。	44	1	5000	22000	5	21900	1	10	10000	-1	-1	477
3	大学士博德	头脑风暴鼓励奖	恭喜您，在刚刚的头脑风暴中您回答正确8道题目，请再接再厉，这是给您的鼓励奖励。	4000	22052	1	22002	1	2	100000	-1	-1	-1	-1	519
4	大学士博德	头脑风暴优秀奖	恭喜您，在刚刚的头脑风暴中回答正确15道题目，成绩十分优秀，这是给您的奖励。	4001	22051	1	22000	1	2	150000	-1	-1	-1	-1	520
5	玛雅女神	许愿树流拍	亲爱的勇士，您在许愿树中许愿的{0}由于幸运签数量不足造成许愿失败，请领取返还给您的钻石。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	玛雅女神	许愿失败	亲爱的勇士，您在许愿树中许愿失败，没有获得{0}，希望下一次女神会将好运降临给你。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	匠人贝蒂	贝蒂的礼物	亲爱的勇士，很久不见了！听说最近你实力提升很快，我这里有些礼物送给你，你要加油哦！	63	22000	1	22001	1	22002	1	22003	1	-1	-1	2490
12	魔导师伊莱	伊莱的礼物	小家伙，不知道最近有没有偷懒？恩……总是见不到你，只能将礼物邮寄给你了。	60	35005	10	35007	10	35012	10	-1	-1	-1	-1	2491
13	匠人贝蒂	贝蒂的礼物	亲爱的勇士，很久不见了！听说最近你实力提升很快，我这里有些礼物送给你，你要加油哦！	81	22018	1	22000	2	22003	2	-1	-1	-1	-1	2492
14	魔导师伊莱	伊莱的礼物	小家伙，不知道最近有没有偷懒？恩……总是见不到你，只能将礼物邮寄给你了。	114	35019	10	35020	10	-1	-1	-1	-1	-1	-1	2493
15	《玛雅纪元》官方团队	欢迎来到玛雅大陆！	亲爱的勇士，您好！欢迎来到2018全新魔幻手游《玛雅纪元》。各位勇士在游戏中遇到任何问题，欢迎随时联系客服童鞋，我们将尽最大努力帮大家解决问题。现在一起开启玛雅大陆的探索之旅吧！	1000	2	99998	-1	-1	-1	-1	-1	-1	-1	-1	2494
50	地下城观察者	{0}扫荡奖励	这些是您在副本{0}扫荡时获得的物品奖励，请及时领取！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
51	地下城观察者	{0}抽奖奖励	这些是您在副本{0}抽奖时获得的物品奖励，请及时领取！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
52	玛雅女神	许愿树奖励	恭喜！您的真心感动了玛雅女神！以{0}幸运签获得了本次许愿树的奖励！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
53	活动管理员	{0}奖励	您在{0}活动中获得物品奖励，请及时领取！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
54	大学士博德	头脑风暴奖励	在刚刚的头脑风暴活动中您的包裹已满，答题奖励只好邮寄给您，请及时领取！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
55	地下城观察者	{0}奖励	您在副本{0}中获得物品奖励，请及时领取！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
56	《玛雅纪元》官方团队	激活码奖励	激活码奖励物品通过邮件发放，请及时领取！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
57	活动管理员	开服活动奖励	您在{0}中获得了{1}名，这是您的奖励，请及时领取！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
60	充值管理员	充值延时补偿	非常抱歉！刚刚您的充值未能及时到账，这是我们对您的补偿，请收下！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
61	神秘人	神秘的礼物	{0}发来礼物，请您及时领取：\n{1}	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
62	神秘人	离线挂机	由于您背包已满，以下是其他离线挂机获得的物品呦，快快领取吧	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
63	神秘人	翅膀	由于您背包已满，以下是其他翅膀返还的道具哦~	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
89	排行榜管理员	排行榜每日点赞奖励	您昨天被{1}位玩家点赞，获得如下奖励，请及时领取！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
95	竞技场管理员	竞技场排名下降	亲爱的勇士，在竞技场中，{0}挑战了您，很不幸您落败了，您现在的排名为{1}。	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
96	竞技场管理员	竞技场刷新排名奖励	在刚刚的竞技场战斗中，你刷新了自己的最高纪录！现在您的最高排名是{0}名，我们决定授予您以下奖励：	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
97	竞技场管理员	竞技场每日排名奖励	您昨日在排行榜排名{1}，这是您的每日排名奖励，请及时领取！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
98	竞技场管理员	竞技场挑战失败奖励	在刚刚的竞技场战斗中，因为您无故退场，挑战失败，我们依然为您准备了奖励物品，希望您下次再战！	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
99	竞技场管理员	竞技场排名进步奖励	在刚刚的竞技场战斗中，你刷新了自己的最高纪录！您的最高排名比之前提高了{1}，我们决定授予您以下奖励：	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
