INT	INT	INT
ID	所在场景	索引NPC ID
0	3	20
1	3	21
2	3	22
3	3	23
4	3	24
5	3	25
6	3	26
7	9	27
8	3	28
9	3	29
10	3	39
11	3	40
12	3	-1
13	3	-1
14	3	-1
15	3	-1
16	3	-1
17	3	-1
18	3	-1
19	3	-1
20	3	-1
21	3	-1
22	3	-1
23	5	-1
24	5	-1
25	1	-1
26	1	-1
27	1	-1
28	5	30
29	5	31
30	5	32
31	5	33
32	5	34
33	5	35
34	5	36
35	5	38
36	5	-1
37	5	-1
38	5	-1
39	5	-1
40	5	-1
41	5	-1
42	5	-1
43	5	-1
44	5	-1
45	1	10
46	1	11
47	1	12
48	1	13
49	1	14
50	1	15
51	1	16
52	1	17
53	1	-1
54	1	-1
55	1	-1
56	1	-1
57	1	-1
58	1	-1
59	5	18
60	5	19
61	2	-1
62	2	-1
63	2	-1
64	2	-1
65	2	-1
66	2	-1
67	2	-1
68	2	-1
69	2	-1
70	2	-1
71	2	-1
72	2	45
73	2	46
74	2	47
75	2	48
76	2	49
77	2	50
78	2	51
79	2	52
80	2	53
81	2	54
82	3	42
83	1	26
84	3	93
85	3	94
86	3	95
87	3	96
88	3	97
100	4	63
101	4	65
102	4	59
103	4	67
104	4	64
105	13	63
106	4	60
107	4	61
108	4	62
109	4	66
110	4	-1
111	4	-1
112	4	-1
113	4	-1
114	4	-1
115	4	-1
116	4	-1
117	4	-1
118	4	-1
200	6	68
201	6	69
202	6	70
203	6	71
204	6	72
205	6	73
206	6	74
207	6	75
208	6	-1
209	6	-1
210	6	-1
211	6	-1
212	6	-1
213	6	-1
214	6	-1
215	6	-1
300	7	76
301	7	77
302	7	78
303	7	79
304	7	80
305	7	81
306	7	82
307	7	83
308	7	84
309	7	85
310	7	-1
311	7	-1
312	7	-1
313	0	-1
314	7	-1
315	0	-1
316	7	-1
317	0	-1
318	7	-1
319	0	-1
320	7	-1
321	0	-1
322	7	-1
323	0	-1
324	7	-1
325	0	-1
400	8	103
401	8	100
402	8	99
403	8	104
404	8	106
405	8	98
406	8	102
407	8	105
408	8	101
409	8	107
410	8	-1
411	8	-1
412	8	-1
413	8	-1
414	8	-1
415	8	-1
416	8	-1
417	8	-1
1000	3	-1
1001	5	-1
1002	1	-1
1003	2	-1
1004	4	-1
1005	6	-1
1006	7	-1
1007	8	-1
2000	1010	-1
2001	1010	-1
2002	1020	-1
2003	1020	-1
2004	1020	-1
2005	1020	-1
2006	1021	-1
2007	1021	-1
2008	1021	-1
2009	1021	-1
2010	1022	-1
2011	1022	-1
2012	1022	-1
2013	1022	-1
2014	1023	-1
2015	1023	-1
2016	1023	-1
2017	1023	-1
2018	1050	-1
2019	1050	-1
2020	1050	-1
2021	1050	-1
2022	1050	-1
2023	1050	-1
2024	1050	-1
2025	1050	-1
2026	1050	-1
2027	1019	-1
2028	1019	-1
2029	1019	-1
2030	1019	-1
2031	1019	-1
2032	1020	-1
2033	1021	-1
2034	1022	-1
2035	1023	-1
2100	2000	50015
2101	2000	50016
2102	2000	50017
2103	2000	50000
2104	2000	50001
2105	2000	50002
2106	2000	-1
2107	2000	-1
2110	2001	50018
2111	2001	50019
2112	2001	50020
2113	2001	50003
2114	2001	50004
2115	2001	50005
2116	2001	-1
2117	2001	-1
2120	2002	50021
2121	2002	50022
2122	2002	50023
2123	2002	50006
2124	2002	50007
2125	2002	50008
2126	2002	-1
2127	2002	-1
2130	2003	50024
2131	2003	50025
2132	2003	50026
2133	2003	50009
2134	2003	50010
2135	2003	50011
2136	2003	-1
2137	2003	-1
2140	2004	50027
2141	2004	50028
2142	2004	50029
2143	2004	50012
2144	2004	50013
2145	2004	50014
2146	2004	-1
2147	2004	-1
2200	2100	-1
2201	2100	-1
2202	2100	-1
2203	2100	-1
2204	2100	-1
2210	2101	-1
2211	2101	-1
2212	2101	-1
2213	2101	-1
2214	2101	-1
2220	2102	-1
2221	2102	-1
2222	2102	-1
2223	2102	-1
2224	2102	-1
2230	2103	-1
2231	2103	-1
2232	2103	-1
2233	2103	-1
2234	2103	-1
2240	2104	-1
2241	2104	-1
2242	2104	-1
2243	2104	-1
2244	2104	-1
2300	6100	-1
2301	6100	-1
2302	6100	-1
2303	6100	-1
2304	6100	-1
2305	6100	-1
2306	6100	-1
2401	9000	99002
2402	9000	99003
2403	9000	99001
2404	9000	99009
2405	9000	99010
2406	9000	99011
2407	9000	-1
2408	9000	-1
2409	9000	-1
2410	9000	-1
2411	9000	-1
2500	6110	226018
2501	6110	226003
2502	6110	226004
2503	6110	226005
2504	6110	226000
2505	6110	226001
2506	6110	226002
2507	6111	226019
2508	6111	226009
2509	6111	226010
2510	6111	226011
2511	6111	226006
2512	6111	226007
2513	6111	226008
2514	6112	226020
2515	6112	226015
2516	6112	226016
2517	6112	226017
2518	6112	226012
2519	6112	226013
2520	6112	226014
2521	6113	226039
2522	6113	226024
2523	6113	226025
2524	6113	226026
