INT	INT	INT	STRING	INT	STRING	INT	INT	INT	STRING	INT	INT
元素ID	分类	可激活类型	参数1	开启副本ID	对应技能ID	开启功能标记位	后置元素ID	完成标记位	完成奖励	已领取奖励	获得称号
0	0	0	104	-1	30|133|231	-1	1	2730	10000|10100|10200	3901	6000
1	0	0	10	208	5|105|206	-1	2	2731	10001|10101|10201	3902	-1
2	0	0	107	0	6|106|207	-1	3	2732	10002|10102|10202	3903	6001
3	0	0	66	201	10|110|211	-1	4	2733	10003|10103|10203	3904	-1
4	0	0	115	3	7|111|209	-1	5	2734	10004|10104|10204	3905	-1
5	0	0	513	212	-1	2690	6	2735	10005|10105|10205	3906	6002
6	0	0	141	6	9|107|208	-1	7	2736	10006|10106|10206	3907	-1
7	0	0	221	9	8|108|205	-1	8	2737	10007|10107|10207	3908	6003
8	0	0	286	12	12|109|210	-1	9	2738	10008|10108|10208	3909	-1
9	0	0	338	15	11|112|212	-1	-1	2739	10009|10109|10209	3910	6004
101	1	0	11044	450	12001|12001|12001	-1	102	2741	11000|11100|11200	3920	-1
102	1	0	11046	451	12011|12011|12011	-1	103	2744	11001|11101|11201	3921	-1
103	1	0	11048	452	12021|12021|12021	-1	104	2743	11002|11102|11202	3922	-1
104	1	0	11050	453	12030|12031|12032	-1	105	2742	11003|11103|11203	3923	-1
105	1	0	11052	454	12040|12040|12040	-1	106	2745	11004|11104|11204	3924	-1
106	1	0	11054	455	12051|12051|12051	-1	107	2746	11005|11105|11205	3925	-1
107	1	0	11056	456	12061|12061|12061	-1	108	2747	11006|11106|11206	3926	-1
108	1	0	11058	457	12071|12071|12071	-1	109	2748	11007|11107|11207	3927	-1
109	1	0	11060	458	999|999|999	-1	-1	2749	11008|11108|11208	3928	-1
