INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引ID	是否可装备	初始经验值	勋章类型	品阶	升级所需经验	最大等级	附加属性ID1	属性值	附加属性ID2	属性值
80001	0	100	12	0	10000	10	-1	-1	-1	-1
80002	0	100	12	0	10000	10	-1	-1	-1	-1
80003	0	100	12	0	10000	10	-1	-1	-1	-1
80004	0	100	12	0	10000	10	-1	-1	-1	-1
80005	0	100	12	0	10000	10	-1	-1	-1	-1
80006	0	100	12	0	10000	10	-1	-1	-1	-1
80007	0	100	12	0	10000	10	-1	-1	-1	-1
80008	0	100	12	0	10000	10	-1	-1	-1	-1
80009	0	100	12	0	10000	10	-1	-1	-1	-1
80010	0	100	12	0	10000	10	-1	-1	-1	-1
80011	0	100	12	0	10000	10	-1	-1	-1	-1
80101	1	200	0	1	10001	100	5	10101	6	10101
80102	1	200	1	1	10001	100	7	10102	8	10102
80103	1	200	2	1	10001	100	13	10103	-1	-1
80104	1	200	3	1	10001	100	10	10104	-1	-1
80105	1	200	4	1	10001	100	11	10105	-1	-1
80106	1	200	5	1	10001	100	19	10106	-1	-1
80107	1	200	6	1	10001	100	20	10107	-1	-1
80108	1	200	7	1	10001	100	9	10108	-1	-1
80109	1	200	8	1	10001	100	12	10109	-1	-1
80110	1	200	9	1	10001	100	14	10110	-1	-1
80111	1	200	10	1	10001	100	26	10111	-1	-1
80201	1	500	0	2	10002	100	5	10201	6	10201
80202	1	500	1	2	10002	100	7	10202	8	10202
80203	1	500	2	2	10002	100	13	10203	-1	-1
80204	1	500	3	2	10002	100	10	10204	-1	-1
80205	1	500	4	2	10002	100	11	10205	-1	-1
80206	1	500	5	2	10002	100	19	10206	-1	-1
80207	1	500	6	2	10002	100	20	10207	-1	-1
80208	1	500	7	2	10002	100	9	10208	-1	-1
80209	1	500	8	2	10002	100	12	10209	-1	-1
80210	1	500	9	2	10002	100	14	10210	-1	-1
80211	1	500	10	2	10002	100	26	10211	-1	-1
80301	1	2000	0	3	10003	100	5	10301	6	10301
80302	1	2000	1	3	10003	100	7	10302	8	10302
80303	1	2000	2	3	10003	100	13	10303	-1	-1
80304	1	2000	3	3	10003	100	10	10304	-1	-1
80305	1	2000	4	3	10003	100	11	10305	-1	-1
80306	1	2000	5	3	10003	100	19	10306	-1	-1
80307	1	2000	6	3	10003	100	20	10307	-1	-1
80308	1	2000	7	3	10003	100	9	10308	-1	-1
80309	1	2000	8	3	10003	100	12	10309	-1	-1
80310	1	2000	9	3	10003	100	14	10310	-1	-1
80311	1	2000	10	3	10003	100	26	10311	-1	-1
80401	1	5000	0	4	10004	100	5	10401	6	10401
80402	1	5000	1	4	10004	100	7	10402	8	10402
80403	1	5000	2	4	10004	100	13	10403	-1	-1
80404	1	5000	3	4	10004	100	10	10404	-1	-1
80405	1	5000	4	4	10004	100	11	10405	-1	-1
80406	1	5000	5	4	10004	100	19	10406	-1	-1
80407	1	5000	6	4	10004	100	20	10407	-1	-1
80408	1	5000	7	4	10004	100	9	10408	-1	-1
80409	1	5000	8	4	10004	100	12	10409	-1	-1
80410	1	5000	9	4	10004	100	14	10410	-1	-1
80411	1	5000	10	4	10004	100	26	10411	-1	-1
81000	0	200	13	0	10099	1	-1	-1	-1	-1
81001	0	400	13	0	10099	1	-1	-1	-1	-1
81002	0	800	13	0	10099	1	-1	-1	-1	-1
81003	0	1600	13	0	10099	1	-1	-1	-1	-1
81004	0	2000	13	0	10099	1	-1	-1	-1	-1
