INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING	STRING	INT	INT	STRING	STRING	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	STRING	INT
ID	立即复活花费钻石数量	立即复活道具复活石ID	复活石数量	复活点复活初始时间	复活点增加间隔时间	复活点复活时间上限	优先进入活动人数	活动容纳人数上限	第一波怪物入侵时间	剩余波数刷新间隔时间	第一波怪物ID	第一波怪物对应数量	第二波怪物ID	第二波怪物对应数量	第三波怪物ID	第三波怪物对应数量	第四波怪物ID	第四波怪物对应数量	第一波随机怪刷新时间最小值（分钟）	第一波随机怪刷新时间最大值（分钟）	第一波随机怪ID	第一波随机怪对应数量	第二波随机怪刷新时间最小值（分钟）	第二波随机怪刷新时间最大值（分钟）	第二波随机怪ID	第二波随机怪对应数量	第三波随机怪刷新时间最小值（分钟）	第三波随机怪刷新时间最大值（分钟）	第三波随机怪ID	第三波随机怪对应数量	开服后第几日开启	间隔天数	副本ID	boss动画引用ID	boss死亡宝箱	死亡宝箱奖励ID	入口坐标x1	入口坐标z1	入口坐标x2	入口坐标z2	入口坐标x3	入口坐标z3	入口坐标x4	入口坐标z4	入口坐标x5	入口坐标z5	安全坐标x1	安全坐标z1	安全坐标x2	安全坐标z2	安全坐标x3	安全坐标z3	安全坐标x4	安全坐标z4	安全坐标x5	安全坐标z5	怪物数值难度系数	开放时间	积分等级
1	50	14	2	20	10	60	100	100	30	300	1600501|1600502|1600503|1600504	20|20|30|50	1600521|1600522|1600523|1600524|1600531|1600532|1600533|1600534	10|10|20|20|10|10|20|20	1600541|1600543|1600544|1600551|1600552|1600553|1600554	25|20|20|20|25|20|30	1600571|1600572|1600573|1600574|1600227|1600300|1600301	30|30|60|60|1|1|1	100	200	1600219|1600500	30|30	400	500	1600221|1600530	50|50	700	800	1600224|1600550	70|70	1	7	6110	12009	227000	27052	19	76	53	80	53	108	19	113	21	94	51	94	43	88	43	101	29	103	29	89	1	20:00	150
2	50	14	2	20	10	60	100	100	30	300	1600601|1600602|1600603|1600604	20|20|30|50	1600621|1600622|1600623|1600624|1600631|1600632|1600633|1600634	10|10|20|20|10|10|20|20	1600642|1600643|1600644|1600651|1600652|1600653|1600654	25|20|20|20|25|20|30	1600671|1600672|1600673|1600674|1600236|1600302|1600303	30|30|60|60|1|1|1	100	200	1600228|1600600	30|30	400	500	1600231|1600620	50|50	700	800	1600233|1600650	70|70	2	7	6111	12011	227004	27052	19	76	53	80	53	108	19	113	21	94	51	94	43	88	43	101	29	103	29	89	1	20:00	180
3	50	14	2	20	10	60	100	100	30	300	1600701|1600702|1600703|1600704	20|20|30|50	1600721|1600722|1600723|1600724|1600731|1600732|1600733|1600734	10|10|20|20|10|10|20|20	1600741|1600742|1600743|1600744|1600751|1600752|1600753|1600754	20|20|20|20|20|20|20|20	1600771|1600772|1600773|1600774|1600245|1600304|1600305	30|30|60|60|1|1|1	100	200	1600237|1600700	30|30	400	500	1600239|1600730	50|50	700	800	1600242|1600750	70|70	4	7	6112	12013	227005	27052	19	76	53	80	53	108	19	113	21	94	51	94	43	88	43	101	29	103	29	89	1	20:00	200
4	50	14	2	20	10	60	100	100	30	300	1601101|1601102|1601103|1601104	20|20|30|50	1601121|1601122|1601123|1601124|1601131|1601132|1601133|1601134	10|10|20|20|10|10|20|20	1601141|1601143|1601144|1601151|1601152|1601153|1601154	25|20|20|20|25|20|30	1601171|1601172|1601173|1601174|1600827|1600900|1600901	30|30|60|60|1|1|1	100	200	1600819|1601100	30|30	400	500	1600821|1601130	50|50	700	800	1600824|1601150	70|70	6	7	6113	12017	227006	27052	19	76	53	80	53	108	19	113	21	94	51	94	43	88	43	101	29	103	29	89	1	20:00	220
5	50	14	2	20	10	60	100	100	30	300	1601201|1601202|1601203|1601204	20|20|30|50	1601221|1601222|1601223|1601224|1601231|1601232|1601233|1601234	10|10|20|20|10|10|20|20	1601242|1601243|1601244|1601251|1601252|1601253|1601254	25|20|20|20|25|20|30	1601271|1601272|1601273|1601274|1600836|1600902|1600903	30|30|60|60|1|1|1	100	200	1600828|1601200	30|30	400	500	1600831|1601220	50|50	700	800	1600833|1601250	70|70	8	7	6114	12019	227007	27052	19	76	53	80	53	108	19	113	21	94	51	94	43	88	43	101	29	103	29	89	1	20:00	240
6	50	14	2	20	10	60	100	100	30	300	1601301|1601302|1601303|1601304	20|20|30|50	1601321|1601322|1601323|1601324|1601331|1601332|1601333|1601334	10|10|20|20|10|10|20|20	1601341|1601342|1601343|1601344|1601351|1601352|1601353|1601354	20|20|20|20|20|20|20|20	1601371|1601372|1601373|1601374|1600845|1600904|1600905	30|30|60|60|1|1|1	100	200	1600837|1601300	30|30	400	500	1600839|1601330	50|50	700	800	1600842|1601350	70|70	10	7	6115	12021	227008	27052	19	76	53	80	53	108	19	113	21	94	51	94	43	88	43	101	29	103	29	89	1	20:00	260
7	50	14	2	20	10	60	100	100	30	300	1601701|1601702|1601703|1601704	20|20|30|50	1601721|1601722|1601723|1601724|1601731|1601732|1601733|1601734	10|10|20|20|10|10|20|20	1601741|1601743|1601744|1601751|1601752|1601753|1601754	25|20|20|20|25|20|30	1601771|1601772|1601773|1601774|1601427|1601500|1601501	30|30|60|60|1|1|1	100	200	1601419|1601700	30|30	400	500	1601421|1601730	50|50	700	800	1601424|1601750	70|70	12	7	6116	12023	227009	27052	19	76	53	80	53	108	19	113	21	94	51	94	43	88	43	101	29	103	29	89	1	20:00	280
8	50	14	2	20	10	60	100	100	30	300	1601801|1601802|1601803|1601804	20|20|30|50	1601821|1601822|1601823|1601824|1601831|1601832|1601833|1601834	10|10|20|20|10|10|20|20	1601842|1601843|1601844|1601851|1601852|1601853|1601854	25|20|20|20|25|20|30	1601871|1601872|1601873|1601874|1601436|1601502|1601503	30|30|60|60|1|1|1	100	200	1601428|1601800	30|30	400	500	1601431|1601820	50|50	700	800	1601433|1601850	70|70	14	7	6117	12025	227010	27052	19	76	53	80	53	108	19	113	21	94	51	94	43	88	43	101	29	103	29	89	1	20:00	300
9	50	14	2	20	10	60	100	100	30	300	1601901|1601902|1601903|1601904	20|20|30|50	1601921|1601922|1601923|1601924|1601931|1601932|1601933|1601934	10|10|20|20|10|10|20|20	1601941|1601942|1601943|1601944|1601951|1601952|1601953|1601954	20|20|20|20|20|20|20|20	1601971|1601972|1601973|1601974|1601445|1601504|1601505	30|30|60|60|1|1|1	100	200	1601437|1601900	30|30	400	500	1601439|1601930	50|50	700	800	1601442|1601950	70|70	16	7	6118	12027	227011	27052	19	76	53	80	53	108	19	113	21	94	51	94	43	88	43	101	29	103	29	89	1	20:00	320
