INT	INT
ID	等级战斗力
1	36700
2	36700
3	36700
4	36700
5	36700
6	36700
7	36700
8	36700
9	36700
10	36700
11	36700
12	36700
13	36700
14	36700
15	36700
16	36700
17	36700
18	36700
19	36700
20	36700
21	36700
22	36700
23	36700
24	36700
25	36700
26	36700
27	36700
28	36700
29	36700
30	36700
31	36700
32	36700
33	36700
34	36700
35	36700
36	36700
37	36700
38	36700
39	36700
40	36700
41	36700
42	36700
43	36700
44	36700
45	36700
46	36700
47	36700
48	36700
49	36700
50	36700
51	36700
52	36700
53	36700
54	36700
55	36700
56	36700
57	36700
58	36700
59	36700
60	36700
61	36700
62	36700
63	36700
64	36700
65	36700
66	36700
67	36700
68	36700
69	36700
70	36700
71	36700
72	36700
73	36700
74	36700
75	36700
76	36700
77	36700
78	36700
79	36700
80	36700
81	36700
82	36700
83	36700
84	36700
85	36700
86	36700
87	36700
88	36700
89	36700
90	36700
91	36700
92	36700
93	36700
94	36700
95	36700
96	36700
97	36700
98	36700
99	36700
100	36700
101	36700
102	36700
103	36700
104	36700
105	36700
106	36700
107	36700
108	36700
109	36700
110	36700
111	36700
112	36700
113	36700
114	36700
115	36700
116	36700
117	36700
118	36700
119	36700
120	36700
121	37500
122	38200
123	39000
124	39800
125	40600
126	41500
127	42300
128	43100
129	44000
130	48000
131	48900
132	49900
133	50800
134	51700
135	52600
136	53400
137	54300
138	55200
139	56100
140	62300
141	63300
142	64300
143	65300
144	66300
145	67400
146	68400
147	69500
148	70500
149	71600
150	72700
151	73900
152	75000
153	76100
154	77300
155	78500
156	79600
157	80800
158	82100
159	83300
160	84500
161	85800
162	87100
163	88300
164	89700
165	91000
166	92300
167	93700
168	95000
169	96400
170	97800
171	99200
172	100600
173	102000
174	103400
175	104900
176	106400
177	107900
178	109400
179	110900
180	112400
181	113900
182	115500
183	117100
184	118700
185	120300
186	121900
187	123500
188	125200
189	126800
190	128500
191	130200
192	131900
193	133700
194	135400
195	137200
196	139000
197	140800
198	142700
199	144500
200	146400
201	148000
202	149500
203	151100
204	152800
205	154400
206	156000
207	157700
208	159300
209	161000
210	162700
211	164400
212	166100
213	167800
214	169600
215	171300
216	173100
217	174900
218	176700
219	178500
220	180300
221	182100
222	184000
223	185800
224	187700
225	189600
226	191500
227	193500
228	195400
229	197300
230	199300
231	201300
232	203300
233	205300
234	207300
235	209400
236	211400
237	213500
238	215600
239	217700
240	219800
241	221900
242	224100
243	226300
244	228500
245	230700
246	232900
247	235100
248	237400
249	239600
250	241900
251	244400
252	247000
253	249500
254	252100
255	254800
256	257400
257	260100
258	262700
259	265400
260	268200
261	270900
262	273700
263	276500
264	279300
265	282100
266	285000
267	287900
268	290800
269	293700
270	296700
271	299700
272	302700
273	305700
274	308800
275	311900
276	315000
277	318100
278	321300
279	324400
280	327700
281	330900
282	334200
283	337400
284	340800
285	344100
286	347500
287	350900
288	354300
289	357700
290	361200
291	364700
292	368300
293	371800
294	375400
295	379000
296	382700
297	386400
298	390100
299	393800
300	397600
301	401300
302	405200
303	409000
304	412900
305	416800
306	420800
307	424700
308	428700
309	432800
310	436800
311	440900
312	445100
313	449200
314	453400
315	457700
316	461900
317	466200
318	470500
319	474900
320	479300
321	483700
322	488200
323	492700
324	497200
325	501800
326	506300
327	511000
328	515600
329	520300
330	525100
331	529900
332	534700
333	539500
334	544400
335	549300
336	554200
337	559200
338	564200
339	569300
340	574400
341	579500
342	584700
343	589900
344	595100
345	600400
346	605700
347	611100
348	616500
349	621900
350	627400
351	632900
352	638500
353	644100
354	649700
355	655400
356	661200
357	666900
358	672700
359	678600
360	684500
361	690400
362	696300
363	702300
364	708400
365	714400
366	720600
367	726700
368	732900
369	739200
370	745500
371	751800
372	758200
373	764600
374	771100
375	777600
376	784100
377	790600
378	797100
379	803700
380	810400
381	817100
382	823800
383	830600
384	837400
385	844300
386	851200
387	858200
388	865200
389	872200
390	879300
391	886500
392	893700
393	901000
394	908200
395	915600
396	923000
397	930400
398	937900
399	945500
400	953000
