INT	STRING	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT
任务ID	任务名称	任务显示位置	任务获得条件	是否可放弃	限时完成（秒）	任务起始NPC	任务起始NPC所在场景	X坐标	Z坐标	任务追踪类型	参数1	参数2	参数3	参数4	任务完成条件	参数1	参数2	参数3	任务结束NPC	任务结束NPC场景ID	X坐标	Z坐标	后续任务ID（-1：不自动后续；-2：忽略NPV后续）	脚本的ID	奖励物品1ID	奖励物品1数量	奖励物品2ID	奖励物品2数量	奖励物品3ID	奖励物品3数量	激活掉落包1ID	掉落概率	掉落包1绑定怪物ID	激活掉落包2ID	掉落概率	掉落包2绑定怪物ID	激活触发器ID	关闭触发器ID	位标示ID	完成任务获得BUFFID	接取任务获得BUFFID	奖励称号ID	完成任务修改扩展计数	修改扩展计数值	剑士职业奖励1	数量	剑士职业奖励2	数量	法师职业奖励1	数量	法师职业奖励2	数量	弓手职业奖励1	数量	弓手职业奖励2	数量	完成获得技能	经验是否动态奖励	动态经验奖励系数	可随机接取任务ID	互斥ID	完成任务移除道具	传送表ID
0	主线:初临	0	1000	0	-1	20	3	12.2	94	0	3	13	74	-1	0	20	-1	-1	25	3	40.53	94.16	1	-1	1	463	2	1022	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4|104|204	0	0	-1	-1	-1	-1
1	主线:新兵	0	1	0	-1	25	3	40.53	94.16	0	3	80	94	-1	0	22	-1	-1	22	3	81.9	90.7	2	-1	1	671	2	1034	24001	10	-1	6000	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
2	主线:魔物入侵	0	2	0	-1	22	3	81.9	90.7	0	211	84	92	-1	21	211	1	-1	22	3	81.9	90.7	14	-1	1	777	2	1048	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
3	主线:准备物资	0	1001	0	-1	22	3	81.9	90.7	0	3	111	94	-1	4	25500	3	1001	40	3	126	125	5	-1	1	836	2	1112	-1	-1	25500	6000	1001	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	213101	1	-1	-1	313101	1	-1	-1	413101	1	-1	-1	-1	0	0	-1	-1	-1	-1
4	主线:保护商人	0	430	0	-1	40	3	126	125	0	3	53	75	-1	0	21	-1	-1	23	3	19	153	7	-1	1	1039	2	1170	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	204202	1	-1	-1	304202	1	-1	-1	404202	1	-1	-1	-1	0	0	-1	-1	-1	-1
5	主线:装备武器	0	4	0	-1	40	3	126	125	1	33	0	-1	-1	9	1024	-1	-1	40	3	126	125	519	-1	1	1045	2	1130	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
6	主线:帮忙	0	40	0	-1	20	3	12.2	94	0	3	18	81	-1	3	1000	10003	-1	39	3	22.82	36.94	105	-1	1	1224	2	1598	24007	20	-1	6000	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
7	主线:困扰	0	5	0	-1	23	3	19	153	0	3	34	156	-1	1	1002	3	-1	94	3	61	157	8	-1	1	1349	2	1192	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
8	主线:狡猾的魔狼	0	8	0	-1	94	3	61	157	0	3	63	173	-1	1	1003	4	-1	95	3	96	149	9	-1	1	1379	2	1214	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	209201	1	-1	-1	309201	1	-1	-1	409201	1	-1	-1	-1	0	0	-1	-1	-1	-1
9	主线:探访爱丽丝	0	120	0	-1	95	3	96	149	0	3	112	165	-1	0	24	-1	-1	24	3	112	165	10	-1	1	1295	2	1262	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
10	主线:拯救	0	10	0	-1	24	3	112	165	0	208	113	165	-1	21	208	1	0	24	3	112	165	11	-1	1	1288	2	1288	24001	10	-1	6000	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
11	主线:清理蛮牛兽	0	9	0	-1	95	3	96	149	0	3	108	150	-1	1	1006	4	-1	95	3	96	149	1002	-1	1	1562	2	1238	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
12	主线:着火了(注销)	0	99998	0	-1	40	3	126	125	0	3	120	44	-1	3	1000	10004	1	40	3	126	125	13	-1	1	1339	2	3245	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	12	-1	322	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
13	主线:灭火(注销)	0	13	0	-1	40	3	126	125	0	3	127	95	-1	3	1500	10005	-1	40	3	126	125	-1	-1	1	991	2	2570	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
14	主线:传承者？	0	3	0	-1	22	3	81.9	90.7	0	3	126	123	-1	0	40	-1	-1	93	3	90	116	104	-1	1	1012	2	1062	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
15	主线:一起对抗	0	1002	0	-1	40	3	126	125	0	3	141	113	-1	1	1004	5	-1	40	3	126	125	17	-1	1	2176	2	1342	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	213301	1	-1	-1	313301	1	-1	-1	410301	1	-1	-1	-1	0	0	-1	-1	-1	-1
16	主线:奖励	0	106	0	-1	40	3	126	125	0	3	47	104	-1	0	26	-1	-1	26	3	47	104	70	-1	1	198	2	1400	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
17	主线:被激怒的巨人	0	16	0	-1	40	3	126	125	0	200	127	124	-1	21	200	1	-1	40	3	126	125	16	-1	1	1578	2	1370	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	106	-1	-1	-1	-1	-1	200201	1	-1	-1	300201	1	-1	-1	400201	1	-1	-1	-1	0	0	-1	-1	-1	-1
18	主线:为了战斗	0	196	0	-1	40	3	126	125	0	3	126	123	-1	0	40	-1	-1	40	3	126	125	15	-1	1	1290	2	3091	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
50	【废弃】	0	99999	0	-1	30	5	124.3	73.3	0	5	124	72	-1	0	30	-1	-1	30	5	124.3	73.3	51	-1	1	511	2	1301	24001	10	-1	6000	-1	-1	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
51	主线:协助	0	43	0	-1	30	5	124.3	73.3	0	5	124	72	-1	0	31	-1	-1	31	5	112.2	64.7	52	-1	1	2288	2	2054	22019	3	-1	6000	-1	-1	-1	-1	-1	-1	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
52	主线:皮革	0	19	0	-1	31	5	112.2	64.7	0	5	82	65	-1	4	25501	8	1008	31	5	112.2	64.7	53	-1	1	1676	2	2102	35008	30	25501	8000	1008	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
53	主线:秘纹	0	20	0	-1	31	5	112.2	64.7	0	5	79	88	-1	4	25502	15	1010	31	5	112.2	64.7	57	-1	1	1728	2	2150	-1	-1	25502	9000	1010	-1	-1	-1	-1	-1	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
55	主线:完成任务	0	21	0	-1	31	5	112.2	64.7	0	5	103	83	-1	0	30	-1	-1	30	5	124.3	73.3	-1	-1	1	1390	2	2200	24001	10	-1	6000	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
56	主线:可恶的甲虫兽	0	23	0	-1	30	5	124.3	73.3	0	5	56	63	-1	1	1009	5	-1	32	5	51	74	65	-1	1	1818	2	2250	-1	-1	-1	6000	-1	-1	-1	-1	-1	-1	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
