INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	FLOAT
坐骑ID	对应物品ID	坐骑阶数	下一级ID	坐骑等级	升级所需经验	坐骑升级消耗材料或皮肤所需道具	坐骑获得经验或皮肤所需道具数量	增加属性ID1	属性数值1	增加属性ID2	属性数值2	增加属性ID3	属性数值3	增加属性ID4	属性数值4	增加属性ID5	属性数值5	增加属性ID6	属性数值6	增加属性ID7	属性数值7	增加属性ID8	属性数值8	增加属性ID9	属性数值9	解锁技能ID	是否特殊坐骑	是否开放	坐骑移动速度	是否永久坐骑	坐骑有效期
0	15000	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	0	1	99999
1	15000	1	2	1	20	22066	10	105	116	10	46	11	46	13	1392	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11000	0	1	2000	1	99999
2	15000	1	3	2	20	22066	10	105	134	10	53	11	53	13	1608	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2000	1	99999
3	15000	1	4	3	20	22066	10	105	154	10	61	11	61	13	1848	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2000	1	99999
4	15000	1	5	4	20	22066	10	105	176	10	70	11	70	13	2112	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2000	1	99999
5	15000	1	6	5	20	22066	10	105	200	10	80	11	80	13	2400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2000	1	99999
6	15000	1	7	6	20	22066	10	105	226	10	90	11	90	13	2713	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2000	1	99999
7	15000	1	8	7	20	22066	10	105	254	10	101	11	101	13	3049	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2000	1	99999
8	15000	1	9	8	20	22066	10	105	284	10	113	11	113	13	3411	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2000	1	99999
9	15000	1	10	9	20	22066	10	105	316	10	126	11	126	13	3796	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2000	1	99999
10	15000	1	11	10	20	22066	10	105	350	10	140	11	140	13	4207	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2000	1	99999
11	15000	1	12	11	20	22066	10	105	386	10	154	11	154	13	4641	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2000	1	99999
12	15000	1	13	12	30	22066	10	105	425	10	170	11	170	13	5100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2000	1	99999
13	15000	1	101	13	30	22066	10	105	465	10	186	11	186	13	5583	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2000	1	99999
99	15000	1	2	0	30	22066	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	2000	1	99999
101	15001	2	102	1	30	22066	10	105	598	10	239	11	239	13	7182	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11010	0	1	2250	1	99999
102	15001	2	103	2	40	22066	10	105	647	10	258	11	258	13	7764	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2250	1	99999
103	15001	2	104	3	40	22066	10	105	697	10	279	11	279	13	8371	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2250	1	99999
104	15001	2	105	4	40	22066	10	105	750	10	300	11	300	13	9003	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2250	1	99999
105	15001	2	106	5	50	22066	10	105	805	10	322	11	322	13	9660	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2250	1	99999
106	15001	2	107	6	50	22066	10	105	861	10	344	11	344	13	10341	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2250	1	99999
107	15001	2	108	7	50	22066	10	105	920	10	368	11	368	13	11047	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2250	1	99999
108	15001	2	109	8	60	22066	10	105	981	10	392	11	392	13	11778	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2250	1	99999
109	15001	2	110	9	60	22066	10	105	1044	10	417	11	417	13	12535	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2250	1	99999
110	15001	2	111	10	70	22066	10	105	1109	10	443	11	443	13	13317	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2250	1	99999
111	15001	2	112	11	70	22066	10	105	1176	10	470	11	470	13	14122	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2250	1	99999
112	15001	2	113	12	80	22066	10	105	1246	10	498	11	498	13	14955	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2250	1	99999
113	15001	2	201	13	80	22066	10	105	1317	10	527	11	527	13	15811	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2250	1	99999
201	15002	3	202	1	90	22066	10	105	1544	10	617	11	617	13	18534	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11020	0	1	2500	1	99999
202	15002	3	203	2	90	22066	10	105	1624	10	649	11	649	13	19492	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2500	1	99999
203	15002	3	204	3	100	22066	10	105	1706	10	682	11	682	13	20476	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2500	1	99999
204	15002	3	205	4	110	22066	10	105	1790	10	716	11	716	13	21486	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2500	1	99999
205	15002	3	206	5	110	22066	10	105	1876	10	750	11	750	13	22521	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2500	1	99999
206	15002	3	207	6	120	22066	10	105	1965	10	786	11	786	13	23581	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2500	1	99999
207	15002	3	208	7	130	22066	10	105	2055	10	822	11	822	13	24667	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2500	1	99999
208	15002	3	209	8	140	22066	10	105	2148	10	859	11	859	13	25779	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2500	1	99999
209	15002	3	210	9	140	22066	10	105	2243	10	897	11	897	13	26916	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2500	1	99999
210	15002	3	211	10	150	22066	10	105	2340	10	936	11	936	13	28080	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2500	1	99999
211	15002	3	212	11	160	22066	10	105	2439	10	975	11	975	13	29268	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2500	1	99999
212	15002	3	213	12	170	22066	10	105	2540	10	1016	11	1016	13	30483	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2500	1	99999
213	15002	3	301	13	180	22066	10	105	2643	10	1057	11	1057	13	31723	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2500	1	99999
301	15003	4	302	1	190	22066	10	105	2966	10	1186	11	1186	13	35601	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11030	0	1	2750	1	99999
302	15003	4	303	2	200	22066	10	105	3078	10	1231	11	1231	13	36946	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2750	1	99999
303	15003	4	304	3	210	22066	10	105	3193	10	1277	11	1277	13	38316	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2750	1	99999
304	15003	4	305	4	220	22066	10	105	3309	10	1323	11	1323	13	39714	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2750	1	99999
305	15003	4	306	5	230	22066	10	105	3428	10	1371	11	1371	13	41137	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	2750	1	99999
