INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	称号名称	位置	有效期结束显示优先级	属性叠加	属性ID1	属性值1	属性ID2	属性值2	属性ID3	属性值3	属性ID4	属性值4	属性ID5	属性值5	属性ID6	属性值6	属性ID7	属性值7	属性ID8	属性值8	属性ID9	属性值9	有效期	条件ID	达成后flagID	前置ID	后置ID
2000	战盟盟主	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2410	-1	-1
2001	战盟副盟主	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2411	-1	-1
2002	战盟精英	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2412	-1	-1
2003	战盟成员	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2413	-1	-1
3001	荣耀列兵	1	3001	1	5	82	6	88	7	82	8	88	13	1103	10	44	11	44	19	5	21	100	-1	-1	2414	-1	3002
3002	荣耀上等兵	1	3002	1	5	144	6	154	7	144	8	154	13	1932	10	77	11	77	19	9	21	200	-1	-1	2415	3001	3003
3003	荣耀下士	1	3003	1	5	227	6	242	7	227	8	242	13	3035	10	121	11	121	19	15	21	300	-1	-1	2416	3002	3004
3004	荣耀中士	1	3004	1	5	336	6	358	7	336	8	358	13	4484	10	179	11	179	19	22	21	400	-1	-1	2417	3003	3005
3005	荣耀上士	1	3005	1	5	478	6	510	7	478	8	510	13	6375	10	255	11	255	19	31	21	500	-1	-1	2418	3004	3006
3006	荣耀军长	1	3006	1	5	662	6	706	7	662	8	706	13	8828	10	353	11	353	19	44	21	600	-1	-1	2419	3005	3007
3007	圣光少尉	1	3007	1	5	899	6	958	7	899	8	958	13	11987	10	479	11	479	19	59	21	700	-1	-1	2420	3006	3008
3008	圣光上尉	1	3008	1	5	1201	6	1281	7	1201	8	1281	13	16020	10	640	11	640	19	80	21	800	-1	-1	2421	3007	3009
3009	圣光少校	1	3009	1	5	1583	6	1689	7	1583	8	1689	13	21119	10	844	11	844	19	105	21	900	-1	-1	2422	3008	3010
3010	圣光中校	1	3010	1	5	2062	6	2200	7	2062	8	2200	13	27500	10	1100	11	1100	19	137	21	1000	-1	-1	2423	3009	3011
