INT	STRING	INT	INT	INT	FLOAT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	STRING
索引ID	NPC名称	怪物基础AI	NPC类别	NPC等级	NPC对话半径	是否随机游荡	游荡半径	警戒范围	脱战范围	出生特效	死亡特效	死亡是否被击飞	尸体存在时间（毫秒）	是否自动复活	复活等待时间（毫秒）	固定刷新时间（秒）	提供经验值	AI脚本的ID	拾取归属类型	掉落包	是否可交互	服务ID1	服务ID2	备用	NPC服务器阻挡半径	心跳频率(毫秒)	经验是否动态奖励	动态经验奖励系数	经验倍数（万分比）	是否适用世界经验加成	服务器用参数1	服务器用参数2	脱战是否回血	击杀怪物消耗类型	击杀怪物消耗数值	世界广播字典	是否显示掉落归属者头像	可击杀次数扩展	可击杀次数上限	活动特殊掉落	对应运营活动总表ID
10	老板娘丽娜	0	0	100	-1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	5	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
11	魔导师贝芙丽	0	0	100	-1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
12	战盟使者尤莱亚	0	0	100	-1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
13	圣导师塞西莉亚	0	0	100	-1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
14	武器商人多琳	0	0	100	-1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	4	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
15	托拜厄斯	0	0	100	-1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
16	流浪者	0	0	100	-1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
17	使者菲利普	0	0	100	-1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
18	仓库管理员特洛	0	0	100	-1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	2	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
19	精灵莉莉丝	0	0	100	-1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
20	艾琳娜	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	5	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
21	铁匠休斯	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	0	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
22	护卫队长欧文	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
23	流浪商人阿钦	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	8	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
24	爱丽丝	0	0	30	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	3	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
25	荣耀军领袖拜迪	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	16	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
26	仓库管理员库尔	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	2	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
27	仓库管理员多坎	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	2	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
28	大天使蒂卡尔	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
29	珍宝商伊莱	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	106	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
30	精灵安多米尔	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
31	圣光导师	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
32	里奥	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
33	荣耀军尼克	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
34	守护者罗宾	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	9	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
35	地精小玛雅	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	7	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
36	帕特里克	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
37	科多兽	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	0	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
38	智者提姆	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	11	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
39	流浪商人阿伽	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	10	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
40	荣耀先锋拉斐尔	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
41	塞尔维斯	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
42	戒指匠人贝蒂	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	12	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
43	赛阿斯	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
44	长老	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
45	安妮老师	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
46	队长欧尼斯特	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
47	战士艾维斯	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
48	流浪者	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
49	维特	0	0	30	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
50	精灵温蒂尼	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
51	精灵队长西露芙	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
52	魔导师沃茨	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
53	副队长伊登	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
54	精灵露娜	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
55	圣女比阿特丽斯	0	0	120	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
56	阿亚图拉	0	0	120	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
57	先知阿摩司	0	0	120	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
58	仓库管理员约克	0	0	100	1	0	1	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	2	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
59	流浪者	0	0	200	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
60	长老摩列达	0	0	200	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
61	祭祀猎人安	0	0	200	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
62	先知阿摩司	0	0	200	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
63	少尉安斯艾尔	0	0	200	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
64	圣女比阿特丽斯	0	0	200	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
65	祭祀族长萨曼	0	0	200	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
66	祭灵塔雅	0	0	200	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
67	祭祀战士库塔	0	0	200	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
68	战士劳瑞斯	0	0	220	1	0	0	3	8	-1	-1	0	2000	1	8000		0	-1	0	-1	1	-1	-1	-1	-1	0	0	0	-1	0			1	0	0	-1	0	-1	-1		
