INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
任务ID	任务归属	任务类别	任务目标扩展计数	任务完成所需数量	奖励物品1	奖励物品1数量	奖励物品2	奖励物品2数量	奖励物品3	奖励物品3数量	是否已领取位标示
1	0	-1	950	3	8	600	11	2000	10	5000	2950
2	0	-1	951	3	8	600	11	2000	10	5000	2951
3	0	-1	952	5	8	600	11	2000	10	5000	2952
4	0	-1	953	1	8	600	11	2000	10	5000	2953
5	0	-1	954	2	8	600	11	2000	10	5000	2954
6	0	-1	955	3	8	600	11	2000	10	5000	2955
7	0	-1	956	1	8	600	11	2000	10	5000	2956
8	0	-1	957	3	8	600	11	2000	10	5000	2957
9	-1	-1	958	3	8	600	11	2000	10	5000	2958
10	-1	-1	960	3	8	600	11	2000	10	5000	2963
1001	1	0	970	5	8	2000	11	5000	10	20000	2959
1002	1	1	971	50	8	2000	11	5000	10	20000	2960
1003	1	2	972	100	8	2000	11	5000	10	20000	2961
1004	1	3	973	30	8	2000	11	5000	10	20000	2962
