INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	等级min	等级max	掉落ID1	掉落冷却1	掉落ID2	掉落冷却2	掉落ID3	掉落冷却3	掉落金币	掉落经验	掉落时间
1	1	80	-1	1800	-1	1800	-1	1800	0	0	30
2	81	100	800001	1800	800011	1800	800102	1800	205	796	30
3	101	120	800002	1800	800012	1800	800103	1800	365	1596	30
4	121	140	800002	1800	800012	1800	800104	1800	429	2587	30
5	141	160	800003	1800	800013	1800	800105	1800	496	2826	30
6	161	180	800003	1800	800013	1800	800106	1800	592	4077	30
7	181	200	800003	1800	800013	1800	800107	1800	660	5008	30
8	201	210	800003	1800	800013	1800	800108	1800	920	6031	30
9	211	220	800003	1800	800013	1800	800109	1800	1222	7191	30
10	221	230	800003	1800	800013	1800	800110	1800	1292	8074	30
11	231	240	800003	1800	800013	1800	800111	1800	1660	9270	30
12	241	250	800003	1800	800013	1800	800112	1800	1982	10255	30
13	251	260	800003	1800	800013	1800	800113	1800	2080	11281	30
14	261	270	800003	1800	800013	1800	800114	1800	2272	12181	30
15	271	280	800003	1800	800013	1800	800115	1800	2380	13455	30
16	281	290	800003	1800	800013	1800	800116	1800	2505	14973	30
17	291	300	800003	1800	800013	1800	800117	1800	2765	16704	30
18	301	500	800003	1800	800013	1800	800118	1800	3020	18459	30
