INT	INT	INT	STRING	INT	STRING	INT	STRING	STRING	STRING	INT	INT	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT
活动ID	活动类型	活动子类型	标签文字	标签图标	活动服务器	开启规则	开始时间	结束时间	结算时间(只有排行榜类型有效)	父标签类型	UI模板	描述文字	右上角Icon	3D模型路径	参数1	参数2	字符串参数	排序权值	分类标签	红点显示类型
1	0	-1	活动首页	-1		-1	0	168	0	-1	0		-1	0	-1	-1		1500	0	0
2	2	-1	开服巨献！	3		2	0	720	0	-1	6		-1	300000|300001|300002	-1	-1		1480	0	0
3	1	-1	7天累计充值	1		-1	0	168	0	-1	2		2	0	-1	-1		1006	0	1
4	1	-1	7天累计充值	2		-1	0	168	0	-1	2		3	0	-1	-1		1005	0	1
5	2	-1	开服7天活动	-1		-1	0	168	0	-1	3		1	0	-1	-1		1004	0	1
6	2	-1	开服7天奖励	4		-1	0	168	0	-1	1		1	0	-1	-1		1003	0	1
7	2	-1	开服7天优惠购买	5		-1	0	168	0	-1	5		3	0	-1	-1		1002	0	1
8	2	-1	开服7天单日优惠购买	6		-1	0	168	0	-1	5		-1	0	-1	-1		1001	0	1
9	2	-1	开服7日消费奖励	-1		-1	0	168	0	-1	1		-1	0	-1	-1		999	0	0
10	2	-1	七天乐	-1		2	0	168	0	-1	3		-1	0	-1	-1		1300	0	0
11	1	-1	指定时间	5		-1	2017/5/1 21:17	2017/5/1 21:21	0	-1	1		-1	0	-1	-1		1430	0	0
13	1	-1	每日充值	301		2	0	336	0	-1	2	每日充值达到一定数额，可额外领取丰厚奖励！（活动期间内有效）	-1	0	-1	-1		1450	0	0
14	1	-1	累计充值	303		2	0	168	0	-1	2	累计充值满一定数额，可领取丰厚奖励！（活动期间内有效）	-1	0	-1	-1		1470	0	0
15	2	-1	折扣巨献	2200005		2	168	336	0	-1	5	一大波优惠正在袭来，买到就是赚到！（活动期间内有效）	-1	0	-1	-1		1460	0	1
16	2	-1	消费返利	2200006		2	168	336	0	-1	5	付出就有回报，买的越多价格越低！（活动期间内有效）	-1	0	-1	-1		1440	0	1
21	2	-1	第1天	3		-1	0	168	0	5	1		1	0	-1	-1		220	0	0
22	2	-1	第2天	3		-1	0	168	0	5	1		1	0	-1	-1		200	0	0
23	2	-1	第3天	3		-1	0	168	0	5	1		1	0	-1	-1		180	0	0
24	2	-1	第4天	3		-1	0	168	0	5	1		1	0	-1	-1		160	0	0
25	2	-1	第5天	3		-1	0	168	0	5	1		1	0	-1	-1		140	0	0
26	2	-1	第6天	3		-1	0	168	0	5	1		1	0	-1	-1		120	0	0
27	2	-1	第7天	3		-1	0	168	0	5	1		1	0	-1	-1		100	0	0
51	4	1	等级排行榜	302		2	0	48	24	-1	4	（结算有一定延迟）结算时间：	-1	0	-1	-1		1020	0	0
52	4	5	翅膀排行榜	300		2	24	96	72	-1	4	（结算有一定延迟）结算时间：	-1	0	-1	-1		1040	0	0
53	4	6	灵兽排行榜	304		2	48	120	96	-1	4	（结算有一定延迟）结算时间：	-1	0	-1	-1		1060	0	0
54	4	11	坐骑排行榜	306		2	72	144	120	-1	4	（结算有一定延迟）结算时间：	-1	0	-1	-1		1080	0	0
98	2	-1	隐藏引用	3		-1	0	168	0	-1	1		-1	0	-1	-1		1000	0	0
99	4	0	战斗力排行榜	305		2	0	168	144	-1	4	（结算有一定延迟）结算时间：	-1	0	-1	-1		980	0	0
100	4	7	开服7天充值排行榜	-1		-1	2017/5/5 0:00	2017/5/10 0:00	2017/5/8 0:00	-1	4		-1	0	-1	-1		960	0	0
200	2	-1	开服7天活动	-1		-1	0	168	0	-1	3		-1	0	-1	-1		940	0	0
201	2	-1	第1天	3		-1	0	168	0	200	1		-1	0	-1	-1		920	0	0
202	2	-1	第2天	3		-1	0	168	0	200	1		-1	0	-1	-1		900	0	0
203	2	-1	第3天	3		-1	0	168	0	200	1		-1	0	-1	-1		880	0	0
204	2	-1	第4天	3		-1	0	168	0	200	1		-1	0	-1	-1		860	0	0
205	2	-1	第5天	3		-1	0	168	0	200	1		-1	0	-1	-1		840	0	0
206	2	-1	第6天	3		-1	0	168	0	200	1		-1	0	-1	-1		820	0	0
207	2	-1	第7天	3		-1	0	168	0	200	1		-1	0	-1	-1		800	0	0
1000	5	-1	幸运大转盘	-1		2	0	24	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
1001	5	-1	幸运大转盘	-1		2	24	48	0	-1	8		-1	0	50	-1	40|50|60|70|80	1290	0	0
