INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT
订单ID	订单物品(索引母表)	奖励金币区间小100	奖励金币区间大100	额外奖励价值(百分比)	额外奖励的概率(万分比)	额外奖励的掉落(索引子表)	金币价值系数(决定奖励数量)	经验的价值系数
0	20000	30	70	8960	1000	2000	25	62500
1	20001	30	70	8960	1000	2000	25	62500
2	20002	30	70	9896	1000	2001	25	62500
3	20003	30	70	9896	1000	2001	25	62500
4	20004	30	70	9896	1000	2001	25	62500
5	20005	30	70	10910	1000	2002	25	62500
6	20006	30	70	10910	1000	2002	25	62500
7	20007	30	70	10910	1000	2002	25	62500
8	20008	30	70	10910	1000	2002	25	62500
9	20009	30	70	10910	1000	2002	25	62500
10	20010	30	70	8960	1000	2000	25	31250
11	20011	30	70	8960	1000	2000	25	31250
12	20012	30	70	9896	1000	2001	25	31250
13	20013	30	70	9896	1000	2001	25	31250
14	20014	30	70	9896	1000	2001	25	31250
15	20015	30	70	10910	1000	2002	25	31250
16	20016	30	70	10910	1000	2002	25	31250
17	20017	30	70	10910	1000	2002	25	31250
18	20018	30	70	10910	1000	2002	25	31250
19	20019	30	70	10910	1000	2002	25	31250
20	20020	30	70	8960	1000	2000	25	62500
21	20021	30	70	8960	1000	2000	25	62500
22	20022	30	70	9896	1000	2001	25	62500
23	20023	30	70	9896	1000	2001	25	62500
24	20024	30	70	9896	1000	2001	25	62500
25	20025	30	70	10910	1000	2002	25	62500
26	20026	30	70	10910	1000	2002	25	62500
27	20027	30	70	10910	1000	2002	25	62500
28	20028	30	70	10910	1000	2002	25	62500
29	20029	30	70	10910	1000	2002	25	62500
30	20030	30	70	8960	1000	2000	25	31250
31	20031	30	70	8960	1000	2000	25	31250
32	20032	30	70	9896	1000	2001	25	31250
33	20033	30	70	9896	1000	2001	25	31250
34	20034	30	70	9896	1000	2001	25	31250
35	20035	30	70	10910	1000	2002	25	31250
36	20036	30	70	10910	1000	2002	25	31250
37	20037	30	70	10910	1000	2002	25	31250
38	20038	30	70	10910	1000	2002	25	31250
39	20039	30	70	10910	1000	2002	25	31250
40	20040	30	70	8960	1000	2000	25	62500
41	20041	30	70	8960	1000	2000	25	62500
42	20042	30	70	9896	1000	2001	25	62500
43	20043	30	70	9896	1000	2001	25	62500
44	20044	30	70	9896	1000	2001	25	62500
45	20045	30	70	10910	1000	2002	25	62500
46	20046	30	70	10910	1000	2002	25	62500
47	20047	30	70	10910	1000	2002	25	62500
48	20048	30	70	10910	1000	2002	25	62500
49	20049	30	70	10910	1000	2002	25	62500
50	20050	30	70	8960	1000	2000	25	31250
51	20051	30	70	8960	1000	2000	25	31250
52	20052	30	70	9896	1000	2001	25	31250
53	20053	30	70	9896	1000	2001	25	31250
54	20054	30	70	9896	1000	2001	25	31250
55	20055	30	70	10910	1000	2002	25	31250
56	20056	30	70	10910	1000	2002	25	31250
57	20057	30	70	10910	1000	2002	25	31250
58	20058	30	70	10910	1000	2002	25	31250
59	20059	30	70	10910	1000	2002	25	31250
60	20060	30	70	8960	1000	2000	25	62500
61	20061	30	70	8960	1000	2000	25	62500
62	20062	30	70	9896	1000	2001	25	62500
63	20063	30	70	9896	1000	2001	25	62500
64	20064	30	70	9896	1000	2001	25	62500
65	20065	30	70	10910	1000	2002	25	62500
66	20066	30	70	10910	1000	2002	25	62500
67	20067	30	70	10910	1000	2002	25	62500
68	20068	30	70	10910	1000	2002	25	62500
69	20069	30	70	10910	1000	2002	25	62500
70	20070	30	70	8960	1000	2000	25	31250
71	20071	30	70	8960	1000	2000	25	31250
72	20072	30	70	9896	1000	2001	25	31250
73	20073	30	70	9896	1000	2001	25	31250
74	20074	30	70	9896	1000	2001	25	31250
75	20075	30	70	10910	1000	2002	25	31250
76	20076	30	70	10910	1000	2002	25	31250
77	20077	30	70	10910	1000	2002	25	31250
78	20078	30	70	10910	1000	2002	25	31250
79	20079	30	70	10910	1000	2002	25	31250
80	20080	30	70	0	0	-1	25	62500
81	20081	30	70	0	0	-1	25	62500
82	20082	30	70	0	0	-1	25	62500
83	20083	30	70	0	0	-1	25	62500
84	20084	30	70	0	0	-1	25	62500
85	20085	30	70	0	0	-1	25	62500
86	20086	30	70	0	0	-1	25	62500
87	20087	30	70	0	0	-1	25	62500
88	20088	30	70	0	0	-1	25	62500
89	20089	30	70	0	0	-1	25	62500
90	20090	30	70	0	0	-1	25	31250
91	20091	30	70	0	0	-1	25	31250
92	20092	30	70	0	0	-1	25	31250
93	20093	30	70	0	0	-1	25	31250
94	20094	30	70	0	0	-1	25	31250
95	20095	30	70	0	0	-1	25	31250
96	20096	30	70	0	0	-1	25	31250
97	20097	30	70	0	0	-1	25	31250
98	20098	30	70	0	0	-1	25	31250
99	20099	30	70	0	0	-1	25	31250
100	20100	30	70	0	0	-1	25	62500
101	20101	30	70	0	0	-1	25	62500
102	20102	30	70	0	0	-1	25	62500
103	20103	30	70	0	0	-1	25	62500
104	20104	30	70	0	0	-1	25	62500
105	20105	30	70	0	0	-1	25	62500
106	20106	30	70	0	0	-1	25	62500
107	20107	30	70	0	0	-1	25	62500
108	20108	30	70	0	0	-1	25	62500
109	20109	30	70	0	0	-1	25	62500
110	20110	30	70	0	0	-1	25	31250
111	20111	30	70	0	0	-1	25	31250
112	20112	30	70	0	0	-1	25	31250
113	20113	30	70	0	0	-1	25	31250
114	20114	30	70	0	0	-1	25	31250
115	20115	30	70	0	0	-1	25	31250
116	20116	30	70	0	0	-1	25	31250
117	20117	30	70	0	0	-1	25	31250
118	20118	30	70	0	0	-1	25	31250
119	20119	30	70	0	0	-1	25	31250
120	20120	30	70	14500	10000	2006	25	62500
121	20121	30	70	14500	10000	2006	25	62500
122	20122	30	70	36500	10000	2007	25	62500
123	20123	30	70	36500	10000	2007	25	62500
124	20124	30	70	49000	10000	2008	25	62500
125	20125	30	70	49000	10000	2008	25	62500
126	20126	30	70	70000	10000	2009	25	62500
127	20127	30	70	70000	10000	2009	25	62500
128	20128	30	70	70000	10000	2009	25	62500
129	20129	30	70	70000	10000	2009	25	62500
130	20130	30	70	14500	10000	2006	25	31250
131	20131	30	70	14500	10000	2006	25	31250
132	20132	30	70	36500	10000	2007	25	31250
133	20133	30	70	36500	10000	2007	25	31250
134	20134	30	70	49000	10000	2008	25	31250
135	20135	30	70	49000	10000	2008	25	31250
136	20136	30	70	70000	10000	2009	25	31250
137	20137	30	70	70000	10000	2009	25	31250
138	20138	30	70	70000	10000	2009	25	31250
139	20139	30	70	70000	10000	2009	25	31250
140	20140	30	70	8960	1000	2000	25	62500
141	20141	30	70	8960	1000	2000	25	62500
142	20142	30	70	9896	1000	2001	25	62500
143	20143	30	70	9896	1000	2001	25	62500
144	20144	30	70	9896	1000	2001	25	62500
145	20145	30	70	10910	1000	2002	25	62500
146	20146	30	70	10910	1000	2002	25	62500
