INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引ID	订单总价值	废弃	废弃	废弃	订单1ID	订单2ID	订单3ID	订单4ID	订单5ID	订单6ID	订单7ID	订单8ID	订单9ID	订单10ID	订单11ID	订单12ID	订单13ID	订单14ID	订单15ID	订单16ID	订单17ID	订单18ID	订单19ID	订单20ID	订单21ID	订单22ID	订单23ID	订单24ID	订单25ID
0	30000	-1	-1	-1	0	10	20	30	40	50	60	70	140	150	160	170	180	190	200	210	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	45000	-1	-1	-1	1	11	21	31	41	51	61	71	141	151	161	171	181	191	201	211	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	60000	-1	-1	-1	2	12	22	32	42	52	62	72	142	152	162	172	182	192	202	212	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	75000	-1	-1	-1	3	13	23	33	43	53	63	73	143	153	163	173	183	193	203	213	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	90000	-1	-1	-1	4	14	24	34	44	54	64	74	144	154	164	174	184	194	204	214	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	105000	-1	-1	-1	5	15	25	35	45	55	65	75	145	155	165	175	185	195	205	215	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	120000	-1	-1	-1	6	16	26	36	46	56	66	76	146	156	166	176	186	196	206	216	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	135000	-1	-1	-1	7	17	27	37	47	57	67	77	147	157	167	177	187	197	207	217	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	150000	-1	-1	-1	8	18	28	38	48	58	68	78	148	158	168	178	188	198	208	218	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	165000	-1	-1	-1	9	19	29	39	49	59	69	79	149	159	169	179	189	199	209	219	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	30000	-1	-1	-1	120	130	260	270	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	45000	-1	-1	-1	121	131	261	271	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	60000	-1	-1	-1	122	132	262	272	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	75000	-1	-1	-1	123	133	263	273	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
14	90000	-1	-1	-1	124	134	264	274	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	105000	-1	-1	-1	125	135	265	275	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	120000	-1	-1	-1	126	136	266	276	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	135000	-1	-1	-1	127	137	267	277	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	150000	-1	-1	-1	128	138	268	278	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
19	165000	-1	-1	-1	129	139	269	279	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
20	30000	-1	-1	-1	80	90	220	230	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	45000	-1	-1	-1	81	91	221	231	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
