INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引ID	Character相关索引	随从类型	星级	最高星级	进阶所需碎片ID	进阶所需碎片数量	合成/进阶到该星级所需孵化的时间(分)	进阶后ID	技能1ID	技能1激活星级	技能2ID	技能2激活星级	技能3ID	技能3激活星级	技能4ID	技能4激活星级	特长1激活等级	特长2激活等级	特长3激活等级	升级所需经验(索引SkillUpgrading)	属性转化索引	特长1库ID	特长2库ID	特长3库ID	分解获得碎片数量	是否显示在随从列表
0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1
60000	60000	0	1	5	70000	50	120	60001	201	1	103	3	100	5	-1	-1	1	25	50	5000	10000	2	15	18	5	1
60001	60001	0	2	5	70000	100	240	60002	201	1	103	3	100	5	-1	-1	1	25	50	5000	10001	2	15	18	10	1
60002	60002	0	3	5	70000	200	360	60003	201	1	103	3	100	5	-1	-1	1	25	50	5000	10002	2	15	18	20	1
60003	60003	0	4	5	70000	300	480	60004	201	1	103	3	100	5	-1	-1	1	25	50	5000	10003	2	15	18	40	1
60004	60004	0	5	5	70000	-1	600	-1	201	1	103	3	100	5	-1	-1	1	25	50	5000	10004	2	15	18	80	1
60005	60005	0	1	5	70001	50	120	60006	101	1	200	3	304	5	-1	-1	1	25	50	5000	10005	15	18	18	5	0
60006	60006	0	2	5	70001	100	240	60007	101	1	200	3	304	5	-1	-1	1	25	50	5000	10006	15	18	18	10	0
60007	60007	0	3	5	70001	200	360	60008	101	1	200	3	304	5	-1	-1	1	25	50	5000	10007	15	18	18	20	0
60008	60008	0	4	5	70001	300	480	60009	101	1	200	3	304	5	-1	-1	1	25	50	5000	10008	15	18	18	40	0
60009	60009	0	5	5	70001	-1	600	-1	101	1	200	3	304	5	-1	-1	1	25	50	5000	10009	15	18	18	80	0
60010	60010	0	1	5	70002	50	120	60011	104	1	303	3	400	5	-1	-1	1	25	50	5000	10010	18	18	15	5	1
60011	60011	0	2	5	70002	100	240	60012	104	1	303	3	400	5	-1	-1	1	25	50	5000	10011	18	18	15	10	1
60012	60012	0	3	5	70002	200	360	60013	104	1	303	3	400	5	-1	-1	1	25	50	5000	10012	18	18	15	20	1
60013	60013	0	4	5	70002	300	480	60014	104	1	303	3	400	5	-1	-1	1	25	50	5000	10013	18	18	15	40	1
60014	60014	0	5	5	70002	-1	600	-1	104	1	303	3	400	5	-1	-1	1	25	50	5000	10014	18	18	15	80	1
