INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引ID	技能类型	匹配项目	技能效果	参数1	参数2	参数3	参数4	参数5	参数6
0	0	-1	0	1	2	1000	-1	-1	-1
1	0	-1	0	1	2	2000	-1	-1	-1
2	0	-1	0	1	2	3000	-1	-1	-1
3	0	-1	0	1	3	1000	-1	-1	-1
4	0	-1	0	1	3	2000	-1	-1	-1
5	0	-1	0	1	3	3000	-1	-1	-1
6	0	-1	0	13	2	1000	-1	-1	-1
7	0	-1	0	13	2	2000	-1	-1	-1
8	0	-1	0	13	2	3000	-1	-1	-1
9	0	-1	0	13	3	1000	-1	-1	-1
10	0	-1	0	13	3	2000	-1	-1	-1
11	0	-1	0	13	3	3000	-1	-1	-1
12	0	-1	0	5	3	10000	-1	-1	-1
13	0	-1	0	5	3	20000	-1	-1	-1
14	0	-1	0	5	3	30000	-1	-1	-1
15	0	-1	0	6	1	500	-1	-1	-1
16	0	-1	0	6	1	1000	-1	-1	-1
17	0	-1	0	6	1	1500	-1	-1	-1
18	0	-1	0	8	1	10000	-1	-1	-1
19	0	-1	0	8	1	20000	-1	-1	-1
20	0	-1	0	8	1	30000	-1	-1	-1
21	0	-1	0	10	0	300	-1	-1	-1
22	0	-1	0	10	0	600	-1	-1	-1
23	0	-1	0	10	0	900	-1	-1	-1
24	0	-1	0	12	0	1000	-1	-1	-1
25	0	-1	0	12	0	2000	-1	-1	-1
26	0	-1	0	12	0	3000	-1	-1	-1
27	0	-1	2	1	-1000	0	-1	-1	-1
28	0	-1	2	1	-2000	0	-1	-1	-1
29	0	-1	2	1	-3000	0	-1	-1	-1
30	0	-1	2	2	-1000	0	-1	-1	-1
31	0	-1	2	2	-2000	0	-1	-1	-1
32	0	-1	2	2	-3000	0	-1	-1	-1
33	0	-1	2	0	-1000	0	-1	-1	-1
34	0	-1	2	0	-2000	0	-1	-1	-1
35	0	-1	2	0	-3000	0	-1	-1	-1
36	0	-1	2	3	-1000	0	-1	-1	-1
37	0	-1	2	3	-2000	0	-1	-1	-1
38	0	-1	2	3	-3000	0	-1	-1	-1
39	0	-1	0	9	2	-1500	-1	-1	-1
40	0	-1	0	9	2	-3000	-1	-1	-1
41	0	-1	0	9	2	-4500	-1	-1	-1
42	0	-1	0	9	3	1500	-1	-1	-1
43	0	-1	0	9	3	3000	-1	-1	-1
44	0	-1	0	9	3	4500	-1	-1	-1
100	1	0	5	0	0	-1	-1	-1	-1
101	1	0	5	0	1	-1	-1	-1	-1
102	1	0	5	0	2	-1	-1	-1	-1
103	1	0	5	0	3	-1	-1	-1	-1
104	1	0	5	0	4	-1	-1	-1	-1
105	1	0	5	0	5	-1	-1	-1	-1
106	1	0	5	0	6	-1	-1	-1	-1
200	1	1	5	1	0	-1	-1	-1	-1
201	1	1	5	1	1	-1	-1	-1	-1
202	1	1	5	1	2	-1	-1	-1	-1
203	1	1	5	1	3	-1	-1	-1	-1
204	1	1	5	1	4	-1	-1	-1	-1
205	1	1	5	1	5	-1	-1	-1	-1
206	1	1	5	1	6	-1	-1	-1	-1
207	1	1	5	1	7	-1	-1	-1	-1
300	1	-1	5	2	0	-1	-1	-1	-1
301	1	-1	5	2	1	-1	-1	-1	-1
302	1	-1	5	2	2	-1	-1	-1	-1
303	1	-1	5	2	3	-1	-1	-1	-1
304	1	-1	5	2	4	-1	-1	-1	-1
305	1	-1	5	2	5	-1	-1	-1	-1
400	1	-1	5	3	0	-1	-1	-1	-1
401	1	-1	5	3	1	-1	-1	-1	-1
402	1	-1	5	3	2	-1	-1	-1	-1
403	1	-1	5	3	3	-1	-1	-1	-1
500	1	-1	5	4	0	-1	-1	-1	-1
501	1	-1	5	4	1	-1	-1	-1	-1
502	1	-1	5	4	2	-1	-1	-1	-1
