INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引ID	特长1ID	特长1概率	特长2ID	特长2概率	特长3ID	特长3概率	特长4ID	特长4概率	特长5ID	特长5概率	特长6ID	特长6概率	特长7ID	特长7概率	特长8ID	特长8概率	特长9ID	特长9概率	特长10ID	特长10概率	特长11ID	特长11概率	特长12ID	特长12概率	特长13ID	特长13概率	特长14ID	特长14概率	特长15ID	特长15概率	特长16ID	特长16概率	特长17ID	特长17概率	特长18ID	特长18概率	特长19ID	特长19概率	特长20ID	特长20概率
0	12	4000	0	4000	27	1000	36	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	12	4000	0	4000	30	1000	36	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	12	4000	0	4000	33	1000	36	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	12	1250	24	1250	39	1250	42	1250	27	1250	30	1250	33	1250	36	1250	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	13	1250	25	1250	40	1250	43	1250	28	1250	31	1250	34	1250	37	1250	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	14	1250	26	1250	41	1250	44	1250	29	1250	32	1250	35	1250	38	1250	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	12	1000	24	1000	39	1000	42	1000	27	1000	30	1000	33	1000	36	1000	13	250	25	250	40	250	43	250	28	250	31	250	34	250	37	250	-1	-1	-1	-1	-1	-1	-1	-1
14	14	250	26	250	41	250	44	250	29	250	32	250	35	250	38	250	13	1000	25	1000	40	1000	43	1000	28	1000	31	1000	34	1000	37	1000	-1	-1	-1	-1	-1	-1	-1	-1
15	0	1428	3	1428	6	1428	9	1428	15	1428	18	1428	21	1432	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	1	1428	4	1428	7	1428	10	1428	16	1428	19	1428	22	1432	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	2	1428	5	1428	8	1428	11	1428	17	1428	20	1428	23	1432	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18	0	1000	3	1000	6	1000	9	1000	15	1000	18	1000	21	1000	1	400	4	400	7	400	10	400	16	400	19	400	22	600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
19	2	400	5	400	8	400	11	400	17	400	20	400	23	600	1	1000	4	1000	7	1000	10	1000	16	1000	19	1000	22	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
