INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引ID	作物物品ID	作物等级	是否可拆除	成熟周期(分钟)	收获物品ID	收获数量1	收获数量2	收获时随从获得经验	额外随机掉落收获	作物类别	收获获得要塞经验值
90100	90100	1	0	120	90100	3	4	30	-1	0	0
90101	90101	3	0	360	90101	5	6	20	-1	0	0
90102	90102	20	0	480	90102	2	3	10	-1	0	0
90103	90103	1	0	480	-1	1	1	50	300	4	0
90104	90104	1	0	600	-1	1	1	50	301	4	0
90105	90105	1	0	120	90105	3	4	30	-1	3	0
90106	90106	3	0	360	90106	5	6	20	-1	3	0
90107	90107	20	0	480	90107	2	3	10	-1	3	0
90108	90108	1	0	120	90108	3	4	20	-1	2	0
90109	90109	3	0	360	90109	5	6	10	-1	2	0
90110	90110	20	0	240	90110	2	3	30	-1	2	0
90111	90111	2	0	240	90111	4	5	30	-1	1	0
90112	90112	4	0	480	90112	6	6	10	-1	1	0
90113	90113	5	0	480	90113	3	3	20	-1	1	0
