INT	INT	INT	INT	INT	INT
ID	角色在线时长（秒）	怪物ID	剑士掉落包	法师掉落包	弓手掉落包
1	0	1001	1151000	1152000	1153000
2	0	1002	1151000	1152000	1153000
3	0	1003	1151001	1152001	1153001
4	0	1004	1151001	1152001	1153001
5	0	1005	1151002	1152002	1153002
6	0	1006	1151002	1152002	1153002
7	0	1007	1151003	1152003	1153003
8	0	1008	1151004	1152004	1153004
9	0	1009	1151005	1152005	1153005
10	0	1010	1151005	1152005	1153005
11	0	1011	1151006	1152006	1153006
12	0	1012	1151006	1152006	1153006
13	0	1013	1151007	1152007	1153007
14	0	1014	1151007	1152007	1153007
15	0	1015	1151008	1152008	1153008
16	0	1016	1151009	1152009	1153009
17	0	1017	1151010	1152010	1153010
18	0	1018	1151010	1152010	1153010
19	0	1019	1151011	1152011	1153011
20	0	1020	1151012	1152012	1153012
21	0	1021	1151013	1152013	1153013
22	0	1023	1151014	1152014	1153014
23	0	1025	1151015	1152015	1153015
24	0	1026	1151016	1152016	1153016
25	0	1027	1151017	1152017	1153017
26	0	1029	1151018	1152018	1153018
27	0	1031	1151019	1152019	1153019
