INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
奖励ID	类型	时间	限购次数（扩展计数表）	物品ID	物品数量	原价	现价	图片ICON	扩展数据1	扩展数据2
10001	1	1	751	23264	1	980	320	90	0	0
10002	1	2	751	23265	1	1300	399	90	0	0
10003	1	3	751	23266	1	1300	399	90	0	0
10004	1	4	751	23267	1	1000	420	90	0	0
10005	1	5	751	23268	1	1200	480	90	0	0
10006	1	6	751	23269	1	1800	550	90	0	0
10007	1	7	751	23270	1	1500	600	90	0	0
10008	2	0	751	22000	60	1800	1080	91	0	0
10009	2	1	751	22018	90	1800	1080	91	0	0
10010	2	2	751	20305	20	2400	1440	91	0	0
10011	2	3	751	7	12000	2000	1200	91	0	0
10012	2	4	751	22066	50	2500	1500	91	0	0
10013	2	5	751	5	80000	1600	960	91	0	0
10014	2	6	751	22007	5	5000	3000	91	0	0
