INT	INT	INT	INT	INT	INT
索引ID	排队人数上限	应用类型	参数	前置ID	等待时间(超过时间匹配前边副本)
0	5	0	500	-1	-1
1	5	0	501	-1	-1
2	5	0	502	-1	-1
3	5	0	503	-1	-1
4	5	0	504	-1	-1
5	5	0	505	-1	-1
6	5	1	2000	-1	-1
7	5	1	2001	6	120
8	5	1	2002	7	90
9	5	1	2003	8	60
10	5	1	2004	9	30
11	5	0	506	-1	-1
12	5	0	507	-1	-1
13	5	0	508	-1	-1
14	1	2	6100	-1	-1
15	5	0	509	-1	-1
100	-1	2	4000	-1	-1
101	-1	2	4001	100	210
102	-1	2	4002	101	180
103	-1	2	4003	102	150
104	-1	2	4004	103	120
105	-1	2	4005	104	90
106	-1	2	4006	105	60
107	-1	2	4007	106	30
110	-1	2	5000	-1	-1
111	-1	2	5001	110	210
112	-1	2	5002	111	180
113	-1	2	5003	112	150
114	-1	2	5004	113	120
115	-1	2	5005	114	90
116	-1	2	5006	115	60
117	-1	2	5007	116	30
120	5	2	1050	-1	-1
130	-1	0	30000	-1	-1
200	50	2	6000	-1	-1
300	5	1	2100	-1	-1
301	5	1	2101	300	120
302	5	1	2102	301	90
303	5	1	2103	302	60
304	5	1	2104	303	30
400	-1	2	8000	-1	-1
401	-1	2	8001	400	150
402	-1	2	8002	401	120
403	-1	2	8003	402	90
404	-1	2	8004	403	60
405	-1	2	8005	404	30
406	-1	2	20000	-1	-1
407	-1	2	20001	406	150
408	-1	2	20002	407	120
409	-1	2	20003	408	90
410	-1	2	20004	409	60
411	-1	2	20005	410	30
