INT	FLOAT	FLOAT
索引ID	坐标X	坐标Y
0	34	15
1	21	16
2	25	16
3	32	14
4	22	17
5	25	15
6	80	181
7	133	149
8	149	83
9	111	17
10	89	32
11	80	181
12	133	149
13	149	83
14	36	91
15	44	71
16	70	22
17	101	29
18	137	37
19	133	105
20	85	122
21	43	125
22	70	105
23	36	32
24	104	88
25	97	114
26	93	129
27	131	93
28	98	77
29	23	58
30	112	76
31	113	31
32	85	79
33	43	117
34	55	100
35	22	61
36	38	83
37	54	75
38	19	76
39	20	28
40	71	99
41	97	36
42	47	56
43	93	88
44	61	29
45	92	32
46	10	54
47	29	56
48	78	19
49	56	66
50	95	80
51	45	93
52	40	40
53	71	18
54	45	29
55	58	30
56	88	29
57	99	45
58	19	64
59	36	72
60	25	105
61	53	96
62	77.4	43.3
63	77.4	43.3
64	77.4	43.3
65	77.4	43.3
66	77.4	43.3
67	77.4	43.3
68	77.4	43.3
69	77.4	43.3
70	85	175
71	124	174
72	137	46
73	85	175
74	124	174
75	134	47
76	135	34
77	37	25
78	43	126
79	36	76
80	88	45
81	90	47
82	100	77
83	88	128
84	41	36
85	151	94
86	65	37
87	63	35
88	132	32
89	68	121
90	101	21
91	46	25
92	94	70
93	46	115
94	33	78
95	75	89
96	97	42
97	82	13
98	70	61
99	71	26
100	46	41
101	52	65
102	52	108
103	87	80
104	34	75
105	95	21
106	48	121
107	15	62
108	103	134
109	58	100
110	89	107
111	121	39
112	77.4	43.3
113	77.4	43.3
114	77.4	43.3
115	77.4	43.3
116	77.4	43.3
117	77.4	43.3
118	77.4	43.3
200	45	39
201	38	34
202	27	41
203	19	42
204	13	28
205	21	19
206	15	9
207	47	10
208	44	13
209	42	23
210	37	29
211	34	35
212	24	32
213	43	13
214	42	24
215	37	30
216	35	35
217	23	32
218	44	14
219	41	23
220	24	36
221	24	21
222	36	21
223	37	35
224	23	35
225	22	20
226	37	24
227	36	34
300	45.38	52.55
301	41.93	32.78
302	21.64	26
303	22.34	11.97
304	46.53	13.9
305	67.93	7.55
306	61.92	34.18
307	59.99	50.52
308	21.81	52.09
309	32.38	16.62
310	48.7	14.77
311	60.55	29.04
312	63.95	52.02
313	40.95	27.96
314	28.28	45.94
315	35.81	19.46
316	49.36	18.02
317	63.09	12.31
318	56.65	37.15
319	55.57	52
401	66	22
402	95	28
403	36	51
404	66	206
405	41	202
406	94	178
407	37	40
408	48	37
409	27	28
410	42	20
411	95	67
412	95	93
413	104	116
414	101	137
415	36	149
416	26	153
417	52	151
418	68	153
419	61	20
420	62	37
421	73	26
422	123	113
423	123	71
424	131	134
425	37	162
426	49	162
427	72	157
428	102	27
429	110	17
430	91	18
431	133	162
432	149	99
433	156	48
434	60	174
435	74	177
436	76	164
437	34	113
438	35	113
439	35	114
440	37	76
441	36	76
442	36	77
443	52	93
444	53	93
445	53	94
446	18	53
447	29	66
448	33	80
449	54	54
450	62	54
451	59	41
452	55	32
453	47	31
454	31	22
455	20.5	33.5
500	156	30
501	29	140
502	17	77
503	151.69	69.99
504	149.21	56.84
505	138.39	43.58
506	72	58.84
507	125.88	41.46
508	114.53	58.48
509	139.53	127.46
510	133.37	18.09
511	127	91
512	95	35
513	51	38
514	145	113
515	84	106
516	35.3	85.07
517	119.26	65.54
518	88	129
519	156	30
520	29	140
521	17	77
522	151.69	69.99
523	149.21	56.84
524	138.39	43.58
525	72	58.84
526	125.88	41.46
527	114.53	58.48
528	139.53	127.46
529	133.37	18.09
530	127	91
531	95	35
532	51	38
533	145	113
534	84	106
535	35.3	85.07
536	119.26	65.54
537	88	129
538	156	30
539	29	140
540	17	77
541	151.69	69.99
542	149.21	56.84
543	138.39	43.58
544	72	58.84
545	125.88	41.46
546	114.53	58.48
547	139.53	127.46
548	133.37	18.09
549	127	91
600	156	30
601	29	140
602	17	77
603	151.69	69.99
604	149.21	56.84
605	138.39	43.58
606	72	58.84
607	125.88	41.46
608	114.53	58.48
609	139.53	127.46
610	133.37	18.09
611	127	91
612	95	35
613	51	38
614	145	113
615	84	106
616	35.3	85.07
617	119.26	65.54
618	88	129
619	156	30
620	29	140
621	17	77
622	151.69	69.99
623	149.21	56.84
624	138.39	43.58
625	72	58.84
626	125.88	41.46
627	114.53	58.48
628	139.53	127.46
629	133.37	18.09
630	127	91
631	95	35
632	51	38
633	145	113
634	84	106
635	35.3	85.07
636	119.26	65.54
637	88	129
638	156	30
639	29	140
640	17	77
641	151.69	69.99
642	149.21	56.84
643	138.39	43.58
644	72	58.84
645	125.88	41.46
646	114.53	58.48
647	139.53	127.46
648	133.37	18.09
649	127	91
700	127	91
701	95	35
702	51	38
703	145	113
704	84	106
705	35.3	85.07
706	119.26	65.54
707	88	129
708	127	91
709	95	35
710	51	38
711	145	113
712	84	106
713	35.3	85.07
714	119.26	65.54
715	88	129
716	127	91
717	95	35
718	51	38
719	145	113
800	127	91
801	95	35
802	51	38
803	145	113
804	84	106
805	35.3	85.07
806	119.26	65.54
807	88	129
808	127	91
809	95	35
810	51	38
811	145	113
812	84	106
813	35.3	85.07
814	119.26	65.54
815	88	129
816	127	91
817	95	35
818	51	38
819	145	113
