INT	STRING	STRING	STRING	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引	平台	商品id	物品名称	物品ID	是否显示	充值类型	额外赠送描述	普通购买描述	价格(元)	获得钻石	获得vip经验	额外赠送次数	赠送次数扩展数据id	额外赠送钻石	正常赠送	扩展参数1	获得buffID	标记位ID	扩展参数4	扩展参数5	扩展参数6
0	ios	com.uborm.myjy.sy21.25	月卡	101301	1	0	购买即得250钻石  连续30天每天可领120钻石	剩余{0}天	25	250	250	-1	500	0	0	120	-1	-1	-1	-1	-1
1	ios	com.uborm.myjy.sy21.6	60钻石	101302	1	1	另赠{0}钻石(+{1})		6	60	60	1	501	60	6	-1	-1	-1	-1	-1	-1
2	ios	com.uborm.myjy.sy21.30	300钻石	101303	1	1	另赠{0}钻石(+{1})		30	300	300	1	502	300	30	-1	-1	-1	-1	-1	-1
3	ios	com.uborm.myjy.sy21.98	980钻石	101304	1	1	另赠{0}钻石(+{1})		98	980	980	1	503	980	150	-1	-1	-1	-1	-1	-1
4	ios	com.uborm.myjy.sy21.128	1280钻石	101305	1	1	另赠{0}钻石(+{1})		128	1280	1280	1	504	1280	220	-1	-1	-1	-1	-1	-1
5	ios	com.uborm.myjy.sy21.198	1980钻石	101306	1	1	另赠{0}钻石(+{1})		198	1980	1980	1	505	1980	396	-1	-1	-1	-1	-1	-1
6	ios	com.uborm.myjy.sy21.328	3280钻石	101307	1	1	另赠{0}钻石(+{1})		328	3280	3280	1	506	3280	768	-1	-1	-1	-1	-1	-1
7	ios	com.uborm.myjy.sy21.648	6480钻石	101308	1	1	另赠{0}钻石(+{1})		648	6480	6480	1	507	6480	1888	-1	-1	-1	-1	-1	-1
8	android		月卡	101301	1	0	购买即得250钻石  连续30天每天可领120钻石	剩余{0}天	25	250	250	-1	508	0	0	120	-1	-1	-1	-1	-1
9	android		60钻石	101302	1	1	另赠{0}钻石(+{1})		6	60	60	1	509	60	6	-1	-1	-1	-1	-1	-1
10	android		300钻石	101303	1	1	另赠{0}钻石(+{1})		30	300	300	1	510	300	30	-1	-1	-1	-1	-1	-1
11	android		980钻石	101304	1	1	另赠{0}钻石(+{1})		98	980	980	1	511	980	150	-1	-1	-1	-1	-1	-1
12	android		1980钻石	101305	1	1	另赠{0}钻石(+{1})		198	1980	1980	1	512	1980	396	-1	-1	-1	-1	-1	-1
13	android		3280钻石	101306	1	1	另赠{0}钻石(+{1})		328	3280	3280	1	513	3280	768	-1	-1	-1	-1	-1	-1
14	android		6480钻石	101307	1	1	另赠{0}钻石(+{1})		648	6480	6480	1	514	6480	1888	-1	-1	-1	-1	-1	-1
15	android		19980钻石	101308	1	1	另赠{0}钻石(+{1})		1998	19980	19980	1	515	19980	6888	-1	-1	-1	-1	-1	-1
20	ios	com.uborm.myjy.sy21.40	等级投资	-1	1	3			40	0	40	0	-1	0	0	0	-1	-1	-1	-1	-1
21	ios	com.mintystudio.mu.6	等级投资II	-1	1	3			128	0	1280	0	-1	0	0	1	-1	-1	-1	-1	-1
22	ios	com.uborm.myjy.sy21.60	7天投资	-1	1	3			60	0	600	0	-1	0	0	2	-1	-1	-1	-1	-1
23	ios	com.mintystudio.mu.6	7天投资II	-1	1	3			130	0	1300	0	-1	0	0	3	-1	-1	-1	-1	-1
30	android		等级投资	-1	1	3			40	0	400	0	-1	0	0	0	-1	-1	-1	-1	-1
31	android		等级投资II	-1	1	3			128	0	1280	0	-1	0	0	1	-1	-1	-1	-1	-1
32	android		7天投资	-1	1	3			60	0	600	0	-1	0	0	2	-1	-1	-1	-1	-1
33	android		7天投资II	-1	1	3			130	0	1300	0	-1	0	0	3	-1	-1	-1	-1	-1
40	ios	com.uborm.myjy.sy21.88	终身卡	101320	1	4	购买即得880钻石  每天登陆再领120钻石（无限期） 经验加成提高10%		88	880	880	-1	-1	0	0	120	50000	2510	-1	-1	-1
41	android		终身卡	101320	1	4	购买即得880钻石  每天登陆再领120钻石（无限期） 经验加成提高10%		88	880	880	-1	-1	0	0	120	50000	2510	-1	-1	-1
100	gift		月卡	101301	1	0	购买即得250钻石  连续30天每天可领120钻石	剩余{0}天	25	250	250	-1	655	0	0	120	-1	-1	-1	-1	-1
101	gift		60钻石	101302	1	1	另赠{0}钻石(+{1})		6	60	60	1	656	6	0	-1	-1	-1	-1	-1	-1
102	gift		300钻石	101303	1	1	另赠{0}钻石(+{1})		30	300	300	1	657	30	0	-1	-1	-1	-1	-1	-1
103	gift		980钻石	101304	1	1	另赠{0}钻石(+{1})		98	980	980	1	658	150	0	-1	-1	-1	-1	-1	-1
104	gift		1980钻石	101305	1	1	另赠{0}钻石(+{1})		198	1980	1980	1	659	396	0	-1	-1	-1	-1	-1	-1
105	gift		3280钻石	101306	1	1	另赠{0}钻石(+{1})		328	3280	3280	1	660	768	0	-1	-1	-1	-1	-1	-1
106	gift		6480钻石	101307	1	1	另赠{0}钻石(+{1})		648	6480	6480	1	661	1888	0	-1	-1	-1	-1	-1	-1
107	gift		19980钻石	101308	1	1	另赠{0}钻石(+{1})		1998	19980	19980	1	662	6888	0	-1	-1	-1	-1	-1	-1
108	gift		等级投资	-1	1	3			30	0	280	0	-1	0	0	0	-1	-1	-1	-1	-1
109	gift		等级投资II	-1	1	3			128	0	1280	0	-1	0	0	1	-1	-1	-1	-1	-1
110	gift		7天投资	-1	1	3			50	0	320	0	-1	0	0	2	-1	-1	-1	-1	-1
111	gift		7天投资II	-1	1	3			130	0	1300	0	-1	0	0	3	-1	-1	-1	-1	-1
