INT	INT	INT	STRING	INT	STRING	INT	STRING	STRING	INT	INT
活动ID	活动类型	活动子类型	标签文字	标签图标	活动服务器	开启规则	开始时间	结束时间	循环次数exdataID	循环次数
0	4	-1	活动导航	-1	-1	-1			-1	0
1	3	1	首充奖励	23001	-1	-1			-1	0
2	1	0	每日累计充值	2200003	-1	-1	9999/1/10 0:00	9999/1/10 0:00	-1	0
3	1	1	累计充值	2200001	-1	1	9999/1/10 0:00	9999/1/10 0:00	-1	0
4	1	2	累计消费	2200004	-1	1	9999/1/10 0:00	9999/1/10 0:00	-1	0
7	0	4	废弃	1008006	-1	1	9999/1/10 0:00	9999/1/10 0:00	-1	0
8	1	3	连续充值	2200002	-1	1	9999/1/10 0:00	9999/1/10 0:00	-1	0
9	2	-1	废弃	1008006	0|1|2|3|4|5|6	1	9999/1/10 0:00	9999/12/6 0:00	-1	0
10	2	0	等级投资	2200002	-1	2	0	240	-1	0
11	2	2	七天投资	2060006	-1	2	0	240	-1	0
20	2	1	等级投资II	2050245	-1	-1	0	240	-1	0
21	2	3	七天投资II	2060006	-1	-1	0	240	-1	0
