INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
累计充值ID	累计类型	领取条件ID	需求累计额度	奖励1物品ID	奖励1物品数量	奖励2物品ID	奖励2物品数量	奖励3物品ID	奖励3物品数量	奖励4物品ID	奖励4物品数量	奖励5物品ID	奖励5物品数量	领取标记置为true
1	0	65100	150	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2512
2	0	65101	400	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2513
3	0	65102	800	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2514
4	0	65103	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2515
5	0	65104	3000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2516
6	0	65105	6000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2517
7	1	65106	300	22507	1	22508	1	2	1200000	22017	20	22600	1	2518
8	1	65107	980	22506	1	22499	1	2	1500000	22001	10	22007	1	2519
9	1	65108	1980	22510	1	2	1000000	22000	10	22003	20	-1	-1	2520
10	1	65109	6480	22511	1	2	2000000	22000	30	22003	60	22018	20	2521
11	1	65110	20000	22509	1	2	6000000	22000	100	22003	200	22018	60	2522
12	1	65111	50000	40008	1	22512	1	22513	1	2	30000000	22534	1	2523
16	2	65115	300	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2527
17	2	65116	980	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2528
18	2	65117	1980	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2529
19	2	65118	6480	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2530
20	2	65119	20000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2531
21	2	65120	50000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2532
22	2	65121	20000	10	250000	-1	-1	-1	-1	-1	-1	-1	-1	2533
23	2	65122	40000	10	500000	-1	-1	-1	-1	-1	-1	-1	-1	2534
24	2	65123	80000	10	1000000	-1	-1	-1	-1	-1	-1	-1	-1	2535
25	3	75038	1280	2	300000	22000	10	-1	-1	-1	-1	-1	-1	2621
26	3	75039	1280	2	400000	22000	10	22003	10	-1	-1	-1	-1	2622
27	3	75040	1280	2	500000	22017	40	22018	20	-1	-1	-1	-1	2623
28	3	75041	1280	2	600000	22000	15	22003	20	22001	1	-1	-1	2624
29	3	75042	1280	2	700000	22017	50	22018	25	22001	2	-1	-1	2625
30	3	75043	1280	2	800000	22000	20	22003	30	22001	3	-1	-1	2626
31	3	75044	1280	2	900000	22017	60	22018	30	22001	4	22007	1	2627
32	3	75045	1280	2	1000000	22017	90	22018	35	22001	5	22007	1	2628
