INT	STRING	STRING	INT	STRING	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
场景ID	场景名称	资源文件	场景类型	阻挡文件	背景音乐	原地复活	主城复活	主城ID	入口复活	入口坐标X	入口坐标Z	安全坐标X	安全坐标Z	PVP规则	换线	场景内玩家数量上限A	场景内玩家数量上限B	脚本ID	最大宽度	最大长度	索引副本ID	本场景角色可视范围	PVP另一方出生坐标X	PVP另一方出生坐标Z	是否开放	等级限制	传送消耗金币	场景创建规则	相位返回场景ID	是否可召唤魔物	生成是否可以跨服	剑士进入场景获得buff	法师进入场景获得buff	弓手进入场景获得buff	安全区复活CD	是否可以上坐骑
0	改成备用	X_YongZheDaLu01	0	未描述	1000	1	1	1	1	70	55	70	55	0	1	100	120	-1	100	100	-1	10	0	0	0	400	9000	0	-1	1	0	-1	-1	-1	0	1
1	凛冬谷	YW_LinDongGu	0	未描述	1003	1	1	1	1	150	31	150	31	0	1	100	120	-1	170	170	-1	10	0	0	1	45	3000	0	-1	1	0	-1	-1	-1	0	1
2	迷失地宫	DXC_MiShiDiGong	0	未描述	1004	1	1	2	1	96	110	96	110	0	1	100	120	-1	195	195	-1	10	0	0	1	95	4000	0	-1	1	0	-1	-1	-1	0	1
3	玛雅大陆	YW_ShengGuangDaLu	0	未描述	1000	1	1	3	1	43	93	43	93	0	1	100	120	-1	198	198	-1	10	0	0	1	1	2000	0	-1	1	0	-1	-1	-1	0	1
4	祭祀塔	YW_JiSiTa	0	未描述	1006	1	1	4	1	18	52	18	52	0	1	100	120	800000	130	130	-1	10	0	0	1	150	5000	0	-1	1	0	-1	-1	-1	0	1
5	祭雨丛林	YW_JiYuCongLin	0	未描述	1001	1	1	5	1	123	69	123	69	0	1	100	120	-1	150	150	-1	10	0	0	1	1	2000	0	-1	1	0	-1	-1	-1	0	1
6	古遗迹海域	YW_GuYiJiHaiYu	0	未描述	1008	1	1	6	1	32	22	32	22	0	1	100	120	800000	160	160	-1	10	0	0	1	200	6000	0	-1	1	0	-1	-1	-1	0	1
7	暗黑沙域	DXC_AnHeiShaYu	0	未描述	1009	1	1	7	1	49	22	49	22	0	1	100	120	800000	240	240	-1	10	0	0	1	250	7000	0	-1	1	0	-1	-1	-1	0	1
8	天之界	YW_TianZhiJie	0	未描述	1010	1	1	8	1	27	18	27	18	0	1	100	120	-1	160	160	-1	10	0	0	1	300	9000	0	-1	1	0	-1	-1	-1	0	1
9	迷雾森林	YW_MiWuSenLin	0	未描述	1011	1	1	9	1	25	118	25	118	0	1	100	120	-1	140	140	-1	10	0	0	0	350	8000	0	-1	1	0	-1	-1	-1	0	1
10	落日之城	YW_LuoRiZhiCheng	0	未描述	1012	1	1	10	1	53	50	53	50	0	1	100	120	-1	150	150	-1	10	0	0	0	400	9000	0	-1	1	0	-1	-1	-1	0	1
11	太阳神城遗址	YW_TaiYangShenChengYiZhi	0	未描述	1013	1	1	11	1	26	59	26	59	0	1	100	120	-1	180	180	-1	10	0	0	0	450	10000	0	-1	1	0	-1	-1	-1	0	1
12	神陨冰域	YW_JiYuCongLin	0	未描述	1014	1	1	12	1	70	55	70	55	0	1	100	120	-1	100	100	-1	10	0	0	0	500	20000	0	-1	1	0	-1	-1	-1	0	1
13	荒蛮古地	YW_JiYuCongLin	0	未描述	1015	1	1	13	1	70	55	70	55	0	1	100	120	-1	100	100	-1	10	0	0	0	500	20000	0	-1	1	0	-1	-1	-1	0	1
50	吃鸡峡谷	DXC_ChiJiDaZuoZhan	2	未描述	1003	1	1	1	1	150	31	150	31	0	1	100	120	280000	170	170	30000	10	0	0	1	45	3000	1	-1	1	0	-1	-1	-1	0	1
59	吃鸡峡谷	DXC_ChiJiDaZuoZhan	2	未描述	1003	1	1	1	1	150	31	150	31	0	1	100	120	-1	170	170	-1	10	0	0	1	1	3000	1	-1	1	0	-1	-1	-1	0	1
100	暗夜神庙-普通	DXC_XinAnYeShenMiao	2	未描述	1002	1	0	-1	1	40	11	40	11	4	1	5	10	10000	50	50	0	30	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
101	暗夜神庙-精英	DXC_XinAnYeShenMiao	2	未描述	1002	1	0	-1	1	40	11	40	11	4	1	5	10	10000	50	50	1	30	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
102	暗夜神庙-炼狱	DXC_XinAnYeShenMiao	2	未描述	1002	1	0	-1	1	40	11	40	11	4	1	5	10	10000	50	50	2	30	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
103	丛林石窟-普通	DXC_ChongLinShiKu	2	未描述	1017	1	0	-1	1	69	18	69	18	4	1	5	10	10000	90	90	3	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
104	丛林石窟-精英	DXC_ChongLinShiKu	2	未描述	1017	1	0	-1	1	69	18	69	18	4	1	5	10	10000	90	90	4	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
105	丛林石窟-炼狱	DXC_ChongLinShiKu	2	未描述	1017	1	0	-1	1	69	18	69	18	4	1	5	10	10000	90	90	5	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
106	幻雪圣殿-普通	DXC_HuanXueShengDian	2	未描述	1018	1	0	-1	1	30	10	30	10	4	1	5	10	10000	70	70	6	11	0	0	1	1	-1	0	-1	1	0	-1	-1	-1	-1	1
