INT	INT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT
索引ID	NPCID	场景ID	X坐标	Z坐标	朝向修正度数{-[（Y值-90）/180*3.14）]}	是否直接刷新在场景中	随机坐标起始ID	随机坐标结束ID	仇恨链接组
0	10	1	151.91	71.83	-1.5	1	-1	-1	-1
1	11	1	151.29	57.29	-3.14	1	-1	-1	-1
2	12	1	135.7	43.07	-0.3	1	-1	-1	-1
3	13	1	74.5	60.2	-1.53	1	-1	-1	-1
4	14	1	124.05	40.31	1.35	1	-1	-1	-1
5	15	1	112.03	57.24	-0.3	1	-1	-1	-1
6	16	1	137.53	128.7	-1.53	1	-1	-1	-1
7	17	1	131.26	16.37	1.4	1	-1	-1	-1
8	58	1	118.6	65.78	-0.3	1	-1	-1	-1
9	42	3	42.03	101.61	-1.5	1	-1	-1	-1
10	20	3	12.2	94	-0.23	1	-1	-1	-1
11	21	3	16.5	113	0.01	1	-1	-1	-1
12	22	3	81.9	90.7	0.43	1	-1	-1	-1
13	23	3	19	153	-0.8	1	-1	-1	-1
14	24	3	112	165	-1.21	1	-1	-1	-1
15	25	3	40.53	94.16	0.01	1	-1	-1	-1
16	26	3	47	104	-0.21	1	-1	-1	-1
17	27	9	126.68	129.27	-1.5	1	-1	-1	-1
18	28	3	47.26	82.55	0.01	1	-1	-1	-1
19	29	3	19	75	0.01	1	-1	-1	-1
20	30	5	124.3	73.3	-1.58	1	-1	-1	-1
21	31	5	112.2	64.7	-0.53	1	-1	-1	-1
22	32	5	51	74	-2.15	1	-1	-1	-1
23	33	5	49	37.5	-0.04	1	-1	-1	-1
24	34	5	90.77	109.73	-1.18	1	-1	-1	-1
25	35	5	130.7	66.7	-2.57	1	-1	-1	-1
26	36	5	114.5	72.1	-0.88	1	-1	-1	-1
27	1060	9	68	75	0.09	1	-1	-1	-1
28	1061	9	68	79	0.09	1	-1	-1	-1
29	37	0	0	0	0.44	1	-1	-1	-1
30	38	5	119.4	42.2	-3.57	1	-1	-1	-1
31	39	3	22.82	36.94	-0.66	1	-1	-1	-1
32	40	3	126	125	-0.51	1	-1	-1	-1
33	18	5	106	75	-0.3	1	-1	-1	-1
34	19	5	103	40.5	-1.05	1	-1	-1	-1
35	45	2	78.1	76.2	0	1	-1	-1	-1
36	46	2	94.2	101.3	-0.14	1	-1	-1	-1
37	47	2	58.8	110.7	-0.14	1	-1	-1	-1
38	48	2	54.6	91	-0.69	1	-1	-1	-1
39	49	2	48.1	29.1	-0.44	1	-1	-1	-1
40	50	2	44.5	27.6	0.62	1	-1	-1	-1
41	51	2	47.2	25.3	1.29	1	-1	-1	-1
42	52	2	97	44	-1.03	1	-1	-1	-1
43	53	2	111.49	70.84	-1.21	1	-1	-1	-1
44	54	2	110.62	67.16	0.48	1	-1	-1	-1
45	56	9	77.25	34.08	1	1	-1	-1	-1
46	59	4	60	89.1	-1.77	1	-1	-1	-1
47	60	4	93.6	58.4	-2.79	1	-1	-1	-1
48	61	4	64.3	25.6	-3.98	1	-1	-1	-1
49	62	4	89.31	26.92	0.05	1	-1	-1	-1
50	63	4	81	73	-1.99	1	-1	-1	-1
51	64	4	60.31	49.82	-1.99	1	-1	-1	-1
52	65	4	60.6	59.19	-2.97	1	-1	-1	-1
53	66	4	89.8	22.9	0.38	1	-1	-1	-1
54	67	4	16.64	42.47	0.9	1	-1	-1	-1
55	68	6	34.23	27.8	-1.15	1	-1	-1	-1
56	69	6	12.96	73.44	-0.8	1	-1	-1	-1
57	70	6	66.4	26.9	-0.9	1	-1	-1	-1
58	71	6	30.29	101.69	-4.13	1	-1	-1	-1
59	72	6	25.5	83.5	-1.24	1	-1	-1	-1
60	73	6	78.73	55.42	-1.99	1	-1	-1	-1
61	74	6	45.2	58.5	-0.87	1	-1	-1	-1
62	75	6	103.28	74.03	-1.4	1	-1	-1	-1
63	76	7	29	42	-1.82	1	-1	-1	-1
64	77	7	26.3	19.5	-0.68	1	-1	-1	-1
65	78	7	48	30	-0.73	1	-1	-1	-1
66	79	7	41.87	88.92	-1.31	1	-1	-1	-1
67	80	7	17.5	70.3	-0.39	1	-1	-1	-1
