INT	STRING
ID	敏感词库1
1	第一代领导
2	第二代领导
3	第三代领导
4	第四代领导
5	第五代领导
6	第六代领导
7	第七代领导
8	第1代领导
9	第2代领导
10	第3代领导
11	第4代领导
12	第5代领导
13	第6代领导
14	第7代领导
15	一位老同志的谈话
16	国办发
17	中办发
18	腐败中国
19	三个呆婊
20	你办事我放心
21	社会主义灭亡
22	打倒中国
23	灭亡中国
24	亡党亡国
25	粉碎四人帮
26	激流中国
27	特供
28	特贡
29	特共
30	zf大楼
31	殃视
32	贪污腐败
33	强制拆除
34	形式主义
35	政治风波
36	太子党
37	上海帮
38	北京帮
39	清华帮
40	红色贵族
41	权贵集团
42	河蟹社会
43	喝血社会
44	九风
45	9风
46	十七大
47	十7大
48	17da
49	九学
50	9学
51	四风
52	4风
53	双规
54	南街村
55	最淫官员
56	警匪
57	官匪
58	独夫民贼
59	官商勾结
60	城管暴力执法
61	强制捐款
62	毒豺
63	一党执政
64	一党专制
65	一党专政
66	专制政权
67	宪法法院
68	胡平
69	苏晓康
70	贺卫方
71	谭作人
72	焦国标
73	万润南
74	张志新
75	辛灝年
76	高勤荣
77	王炳章
78	高智晟
79	司马璐
80	刘晓竹
81	刘宾雁
82	魏京生
83	寻找林昭的灵魂
84	别梦成灰
85	谁是新中国
86	讨伐中宣部
87	异议人士
88	民运人士
89	启蒙派
90	选国家主席
91	民一主
92	min主
93	民竹
94	民珠
95	民猪
96	chinesedemocracy
97	大赦国际
98	国际特赦
99	da选
100	投公
101	公头
102	宪政
103	平反
104	党章
105	维权
106	昝爱宗
107	宪章
108	08宪
109	08xz
110	觉醒的中国公民日渐清楚地认识到
111	抿主
112	民主
113	敏主
114	人拳
115	人木又
116	人quan
117	renquan
118	中国人权
119	中国的人权
120	中国新民党
121	群体事件
122	群体性事件
123	上中央
124	去中央
125	讨说法
126	请愿
127	请命
128	公开信
129	联名上书
130	万人大签名
131	万人骚动
132	截访
133	上访
134	shangfang
135	信访
136	访民
137	集合
138	集会
139	组织集体
140	静坐
141	静zuo
142	jing坐
143	示威
144	示wei
145	游行
146	you行
147	油行
148	游xing
149	youxing
150	官逼民反
151	反party
152	反共
153	抗议
154	亢议
155	抵制
156	低制
157	底制
158	di制
159	抵zhi
160	dizhi
161	boycott
162	血书
163	焚烧中国国旗
164	baoluan
165	流血冲突
166	出现暴动
167	发生暴动
168	引起暴动
169	baodong
170	灭共
171	杀毙
172	罢工
173	霸工
174	罢考
175	罢餐
176	霸餐
177	罢参
178	罢饭
179	罢吃
180	罢食
181	罢课
