INT	STRING
ID	用途和描述
0	3
1	70
2	55
3	10000
4	2
5	1
6	1800
7	50
8	0
11	30
12	2000
13	10000
14	1000
15	1000
99	10000
101	10000
102	10000
103	250
104	50
105	2009
106	2014
110	510
123	7
126	15
127	15
150	1
201	5
202	600
203	10
204	10
205	120
206	0
207	24
208	160
209	10
210	2
211	6502
212	208
213	3
214	328
215	3
216	2880
217	4096
218	2800
219	0
220	2500
221	3
222	105
223	207
224	208
233	20400
234	1
235	1
236	20
240	5
241	1000000
242	50
243	50
244	10
245	10
246	319
250	200|201|202|203|204|205|206|207
251	220|221|222|223|224|225|226|227
252	240|241|242|243|244|245|246|247
253	203
254	204
255	205
256	206
257	207
258	3
259	200
260	321
261	322
262	323
280	2000
282	2000
283	2200
284	55
285	209
286	210
287	211
288	5000
289	10000
300	30
301	360
302	20
303	5
304	15
305	20
306	80
307	50
308	5
310	64
311	64
312	50
313	0
320	50
321	50
322	50
323	30
324	30
325	30
339	15000
350	100000
351	0
352	5
353	10000
354	0
355	5
360	100
361	100
370	500
371	1800
372	10
373	10
374	5
375	22095
380	120
381	100000
382	5
383	3
384	3
385	22053
386	10
390	2
391	100000
392	121000
393	200
394	50
395	121001
396	500
397	2004
404	1
410	600
411	1800
412	487
413	5
414	3
415	50
418	6
419	120
420	1
421	50
422	100
423	150
499	7
500	3
501	328
502	3
503	2880
504	800
505	801
506	5
507	10
509	27500
548	3
549	4
570	1
571	1
572	1
573	150
574	100
575	30
580	6000
581	20
582	720000
583	72
584	3
585	4
586	10000
587	7500
589	98
590	450000*1|23148*1|450003*1|23149*1|23150*1|24512*1
591	450001*1|23148*1|450008*1|23149*1|23150*1|24512*1
592	450002*1|23148*1|450013*1|23149*1|23150*1|24512*1
595	1
610	100
611	72
651	10
652	10
653	10
654	10
655	10
656	10
657	10
658	10
659	10
660	10
661	10
662	10
663	10
664	10
665	10
666	10
667	10
668	10
700	5
900	30
901	2|6
902	10000
903	50000
904	10
905	50
906	100
907	60
908	5
909	1
910	30
911	20
912	50
913	0
914	1380
920	1|2|3|4|5|6|0
921	2000
922	60
923	10
924	15
925	5
926	50
927	1
928	0.1
929	1380
930	1
931	100
932	140
933	180
934	100
935	100
936	10
937	300
938	10
939	300
940	0
941	50
942	100
943	80000
945	0
1000	1
1001	2000
1002	4000
1003	8000
1004	16000
1005	32000
1006	1
1007	1
1008	1
1009	1
1010	1
1011	160
1012	170
1013	180
1014	190
1015	200
1099	20
1100	1800
1101	10000 
1102	10500 
1103	11000 
1104	11500 
1105	12000 
1106	12500 
1107	13000 
1108	13500 
1109	14000 
1110	14500 
1111	15000 
1112	15500 
1113	16000 
1114	16500 
1115	17000 
1116	17500 
1117	18000 
1118	18500 
1119	19000 
1120	19500 
1150	2000 
1151	10
1152	5000
1153	100
1201	1280
1202	5
1203	12,3|14,3
1204	6
1216	2400
1217	4
1300	3|100
1301	1
1302	-1
1303	2017/5/8 17:58
1304	30
1305	5051
1306	10
1307	5052
1350	10
1351	600100|600101|600102
1360	1|41
2000	1
2005	2|3|4|11|12|13|14|15|123|124|125|126|127|128
3000	2
3001	1
3002	100
3003	100
3004	400
3005	718|680|949|630|632|688|653|654
3006	2682
3007	2030
4000	998:2913|509:7000|510:7001|511:7002|512:7003|513:7004|514:7005|1007:2920
