INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
技能ID	技能类型	生命值消耗	法力消耗	怒气消耗	技能冷却（毫秒）	最大冲能层数	公共冷却时间（毫秒）	子弹ID	动作特效ID	技能动作时间（毫秒）	技能释放类型	参数1	参数2	参数3	参数4	行动类型	释放前自身获得BUFFID1	释放前自身获得BUFFID2	目标选择类型	参数1	参数2	参数3	参数4	参数5	参数6	目标阵营类型	目标选择延迟（毫秒）	BUFF伤害显示延迟(包括子弹)	目标数量上限	释放后自身获得BUFFID1	释放后自身获得BUFFID2	所选目标BUFFID1	所选目标BUFFID2	所选目标BUFFID3	所选目标BUFFID4	其他目标BUFFID1	其他目标BUFFID2	扩展计数影响值	技能命中类型	技能特效ID	升级金币消耗	天赋点数上限	战斗力索引	对应技能书ID	重置1点天赋所需智慧结晶数量	是否装备武器才能使用	目标类型选择
0	0	-1	0	-1	0	1	200	-1	100	200	4	1	250	-1	-1	2	-1	-1	7	4	120	3	-1	-1	-1	0	-1	100	4	-1	-1	-1	0	-1	-1	-1	-1	1	0	-1	-1	-1	-1	-1	1	0	15
1	0	-1	0	-1	0	1	150	-1	101	150	4	1	200	-1	-1	2	-1	-1	7	4	120	3	-1	-1	-1	0	-1	100	4	-1	-1	-1	1	-1	-1	-1	-1	1	0	-1	-1	-1	-1	-1	1	0	15
2	0	-1	0	-1	0	1	250	-1	102	250	4	1	150	-1	-1	2	-1	-1	7	4	120	3	-1	-1	-1	0	-1	100	4	-1	-1	-1	2	-1	-1	-1	-1	1	0	-1	-1	-1	-1	-1	1	0	15
3	0	-1	0	-1	0	1	500	-1	103	500	4	1	350	-1	-1	2	-1	-1	2	4	-1	-1	-1	-1	-1	0	-1	100	4	-1	-1	-1	3	-1	-1	-1	-1	-3	0	-1	-1	-1	-1	-1	1	0	15
4	1	-1	10000000	-1	7500	1	1500	-1	107	1700	4	3	300	300	500	4	-1	-1	2	4	-1	-1	-1	-1	-1	0	-1	-1	6	-1	-1	-1	4	4	4	-1	-1	0	0	-1	1	9	4004	20000	100	1	15
5	1	-1	10000004	-1	6000	1	1500	-1	104	1350	4	3	100	350	0	4	-1	-1	4	3	6	-1	-1	-1	-1	0	-1	100	6	-1	-1	5	5	5	19	-1	-1	0	0	-1	5	12	4005	20001	150	1	15
6	1	-1	10000008	-1	7000	1	1500	-1	110	1250	2	1000	200	-1	0	5	-1	-1	2	6	-1	-1	-1	-1	-1	0	-1	-1	6	-1	-1	-1	-1	6	-1	6	-1	0	0	-1	9	9	4006	20002	200	1	15
7	1	-1	10000012	-1	10000	1	1500	-1	111	1200	0	-1	-1	-1	-1	8	-1	-1	2	9	-1	-1	-1	-1	-1	3	-1	-1	6	-1	-1	-1	-1	7	-1	7	-1	0	2	-1	13	10	4007	20003	300	1	15
8	1	-1	10000015	-1	7000	1	1500	-1	108	1600	4	2	1050	-1	-1	4	20	-1	5	6	6	-1	-1	-1	-1	0	500	-1	6	-1	-1	-1	8	-1	-1	-1	-1	0	0	-1	16	10	4008	20006	400	1	15
9	1	-1	10000019	-1	8000	1	1500	-1	106	1200	4	2	800	-1	-1	4	-1	-1	3	8	60	-1	-1	-1	-1	0	-1	-1	6	-1	-1	-1	9	-1	-1	-1	-1	0	0	-1	20	10	4009	20005	350	1	15
10	1	-1	10000023	-1	6000	1	1000	-1	109	900	0	-1	-1	-1	-1	4	-1	-1	4	4	7	-1	-1	-1	-1	0	-1	200	6	17	-1	-1	-1	12	13	12	13	0	0	-1	24	6	4010	20004	250	1	15
11	1	-1	10000027	-1	12000	1	1500	-1	105	1800	4	3	300	300	500	4	-1	-1	2	4	-1	-1	-1	-1	-1	0	-1	-1	6	15	-1	-1	14	14	-1	-1	-1	0	0	-1	28	8	4011	20008	500	1	15
12	1	-1	10000032	-1	12000	1	1500	-1	112	1200	0	-1	-1	-1	-1	8	-1	-1	0	-1	-1	-1	-1	-1	-1	2	-1	-1	1	-1	-1	-1	-1	21	-1	21	-1	0	2	-1	33	6	4012	20007	450	1	15
