INT	INT	STRING	INT	INT	INT	INT	INT
逻辑ID	算法类型	String枚举列	参数1	参数2	参数3	参数4	参数5
0	1		20	0	-1	-1	-1
1	0	3000|3750|4500|5250|7000|8750|10500|12250|14000|16750|21250|25750|30500|35250|40250|45250|50250|55500|600|67250|74750|82500|90250|98250|109500|119750|130500|141250|1200|164500|178250|192000|206250|220500|236250|254750|273250|292250|3600|350250|377750|405750|434000|463000|517250|560000|603500|647500|9000|751500|811250|872000|934000|997000|1115500|1208750|1303500|1399750|18000|1582750|1712750|1844750|1979000|2115250|2403250|2575500|2750500|2928250|36000|3385750|3635750|3889500|4147250|4409000|4903000|5273500|5649250|6031000|60000|0	-1	0	-1	-1	-1
2	0	3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|3800|4500|4500|4500|4500|4500|4500|4500|4500|4500|4500|5300|5300|5300|5300|5300|5300|5300|5300|5300|5300|6000|6000|6000|6000|6000|6000|6000|6000|6000|6000|6800|6800|6800|6800|6800|6800|6800|6800|6800|6800|7600|7600|7600|7600|7600|7600|7600|7600|7600|7600|8500|8500|8500|8500|8500|8500|8500|8500|8500|8500|9500	-1	-1	-1	-1	-1
3	0	67|85|105|127|149|173|199|225|253|283|313|345|379|413|449|487|525|565|607|607|650|694|739|786|834|883|934|986|1040|1040|1094|1151|1208|1267|1327|1388|1451|1515|1581|1581|1648|1716|1786|1856|1929|2002|2077|2153|2231|2231|2310|2390|2472|2555|2639|2724|2811|2900|2989|2989|3080|3173|3266|3361|3458|3555|3654|3755|3856|3856|3959|4064|4169|4276|4385|4495|4606|4718|4832|4832	-1	-1	-1	-1	-1
4	1		20	0	-1	-1	-1
5	0	3250|4250|5250|6250|8000|10000|12000|14000|16250|19250|24500|29750|35000|40500|46250|52000|58000|64000|750|77500|86000|95000|104000|113000|126000|137750|150000|162500|1350|189250|205000|220750|237000|253750|271750|293000|314250|336250|4050|403000|434500|466500|499250|532500|594750|644000|694000|744750|10350|864250|933000|1003000|1074000|1146500|1283000|1390000|1499000|1609750|20700|1820250|1969750|2121500|2275750|2432500|2763750|2961750|3163000|3367500|41400|3893750|4181000|4473000|4769500|5070500|5638500|6064500|6496750|6935750|69000|0	-1	-1	-1	-1	-1
6	0	3000|3000|3000|3000|3000|3000|3000|3000|3000|3000|3000|3000|3000|3000|3000|3000|3000|3000|3000|3500|3500|3500|3500|3500|3500|3500|3500|3500|3500|4100|4100|4100|4100|4100|4100|4100|4100|4100|4100|4700|4700|4700|4700|4700|4700|4700|4700|4700|4700|5300|5300|5300|5300|5300|5300|5300|5300|5300|5300|5900|5900|5900|5900|5900|5900|5900|5900|5900|5900|6600|6600|6600|6600|6600|6600|6600|6600|6600|6600|7300	-1	-1	-1	-1	-1
7	0	65|83|101|121|141|163|185|209|233|259|285|313|341|371|401|433|465|499|533|533|569|605|643|681|721|761|803|845|889|889|933|979|1025|1073|1121|1171|1221|1273|1325|1325|1379|1433|1489|1545|1603|1661|1721|1781|1843|1843|1905|1969|2033|2099|2165|2233|2301|2371|2441|2441|2513|2585|2659|2733|2809|2885|2963|3041|3121|3121|3201|3283|3365|3449|3533|3619|3705|3793|3881|3881	-1	-1	-1	-1	-1
8	1		20	0	-1	-1	-1
9	0	3750|4750|5750|6750|8750|11000|13000|15250|17500|21000|26500|32250|38000|44000|50250|56500|63000|69500|900|84250|93500|103250|113000|123000|137000|149750|163000|176500|1500|205750|222750|240000|257750|275750|295500|318250|341750|365500|4500|438000|472250|507000|542500|578750|646500|700000|754250|809500|11250|939250|1014000|1090250|1167500|1246250|1394500|1511000|1629250|1749750|22500|1978500|2141000|2306000|2473750|2644000|3004250|3219500|3438250|3660250|45000|4232250|4544750|4862000|5184250|5511500|6129000|6591750|7061750|7538750|75000|0	-1	-1	-1	-1	-1
10	0	1800|1800|1800|1800|1800|1800|1800|1800|1800|1800|1800|1800|1800|1800|1800|1800|1800|1800|1800|2160|2160|2160|2160|2160|2160|2160|2160|2160|2160|2520|2520|2520|2520|2520|2520|2520|2520|2520|2520|2880|2880|2880|2880|2880|2880|2880|2880|2880|2880|3240|3240|3240|3240|3240|3240|3240|3240|3240|3240|3600|3600|3600|3600|3600|3600|3600|3600|3600|3600|4050|4050|4050|4050|4050|4050|4050|4050|4050|4050|4500	-1	-1	-1	-1	-1
11	0	35|45|56|69|82|96|112|128|145|164|183|203|224|247|270|294|320|346|373|373|402|431|461|492|525|558|592|628|664|664|701|740|779|819|860|903|946|990|1036|1036|1082|1129|1178|1227|1277|1328|1381|1434|1488|1488|1544|1600|1657|1716|1775|1835|1896|1959|2022|2022|2086|2152|2218|2285|2354|2423|2493|2564|2637|2637|2710|2784|2860|2936|3013|3092|3171|3251|3332|3332	-1	-1	-1	-1	-1
12	1		20	0	-1	-1	-1
13	0	4500|5500|6750|8000|10500|13000|15750|18250|21000|25250|31750|38750|45750|53000|60250|67750|75500|83500|1050|101000|112250|123750|135500|147500|164250|179750|195750|212000|1800|247000|267250|288000|309250|330750|354500|382000|410000|438500|5400|525500|566750|608500|651250|694500|775750|840000|905250|971500|13500|1127250|1217000|1308250|1401000|1495500|1673500|1813250|1955250|2099750|27000|2374250|2569250|2767250|2968500|3173000|3605000|3863250|4125750|4392500|54000|5078750|5453500|5834500|6221000|6613750|7354750|7910250|8474000|9046750|90000|0	-1	-1	-1	-1	-1
14	0	360|418|482|550|623|702|786|875|1209|1326|1450|1581|1719|1865|2019|2182|2352|2532|3178|3397|3626|3865|4114|4374|4645|4928|5221|5526|6601|6958|7329|7712|8108|8518|8942|9381|9833|10300|11921|12452|13000|13563|14143|14739|15352|15982|16629|17294|19578|20320|21080|21860|22659|23477|24315|25173|26051|26949|30014|31002|32011|33043|34097|35173|36272|37394|38539|39707|43669|44939|46234|47554|48899|50270|51666|53087|54535|56010|60985|62574	-1	-1	-1	-1	-1
15	1		20	0	-1	-1	-1
16	0	5250|6500|8000|9500|12250|15250|18250|21500|24750|29250|37250|45250|53500|61750|70500|79250|88250|97250|1200|118000|131000|144500|158250|172250|191750|209750|228500|247250|2100|288000|311750|336250|360750|386000|413750|445750|478500|511750|6300|613250|661250|710000|759750|810250|905250|980000|1056000|1133500|15750|1315000|1419750|1526250|1634500|1744750|1952250|2115250|2281000|2449750|31500|2770000|2997250|3228250|3463250|3701750|4206000|4507250|4813500|5124500|63000|5925250|6362500|6806750|7258000|7716000|8580500|9228500|9886500|10554500|105000|0	-1	0	-1	-1	-1
17	0	12500|12500|12500|12500|12500|12500|12500|12500|12500|12500|12500|12500|12500|12500|12500|12500|12500|12500|12500|15000|15000|15000|15000|15000|15000|15000|15000|15000|15000|17500|17500|17500|17500|17500|17500|17500|17500|17500|17500|20000|20000|20000|20000|20000|20000|20000|20000|20000|20000|22500|22500|22500|22500|22500|22500|22500|22500|22500|22500|25000|25000|25000|25000|25000|25000|25000|25000|25000|25000|28000|28000|28000|28000|28000|28000|28000|28000|28000|28000|31200	-1	-1	-1	-1	-1
18	0	236|298|362|428|497|567|640|715|792|872|953|1037|1123|1211|1302|1394|1489|1586|1685|1685|1787|1890|1996|2104|2214|2327|2441|2558|2677|2677|2798|2922|3047|3175|3305|3437|3572|3708|3847|3847|3988|4131|4277|4424|4574|4726|4880|5037|5195|5195|5356|5519|5684|5852|6021|6193|6367|6543|6722|6722|6902|7085|7270|7457|7647|7838|8032|8228|8426|8426|8627|8829|9034|9241|9450|9662|9875|10091|10309|10309	-1	-1	-1	-1	-1
19	1		20	0	-1	-1	-1
20	0	4750|6250|7500|9000|11500|14500|17250|20250|23250|27750|35000|42500|50250|58250|66250|74750|83000|91750|1050|111250|123500|136250|149000|162250|180750|197750|215250|233250|1950|271500|294000|317000|340250|364000|390000|420250|451000|482500|5850|578000|623250|669500|716250|764000|853500|924000|995750|1068750|14850|1240000|1338500|1439000|1541250|1645000|1840750|1994500|2150750|2309750|29700|2611750|2826000|3043750|3265250|3490250|3965500|4249750|4538500|4831750|59400|5586500|5999000|6417750|6843250|7275000|8090250|8701250|9321500|9951250|99000|0	-1	-1	-1	-1	-1
21	0	10600|10600|10600|10600|10600|10600|10600|10600|10600|10600|10600|10600|10600|10600|10600|10600|10600|10600|10600|12800|12800|12800|12800|12800|12800|12800|12800|12800|12800|14900|14900|14900|14900|14900|14900|14900|14900|14900|14900|17000|17000|17000|17000|17000|17000|17000|17000|17000|17000|19200|19200|19200|19200|19200|19200|19200|19200|19200|19200|21300|21300|21300|21300|21300|21300|21300|21300|21300|21300|24000|24000|24000|24000|24000|24000|24000|24000|24000|24000|26600	-1	-1	-1	-1	-1
22	0	198|254|315|381|453|529|611|698|790|888|990|1098|1211|1329|1453|1581|1715|1854|1998|1998|2148|2302|2462|2627|2797|2973|3153|3339|3530|3530|3726|3928|4134|4346|4563|4785|5013|5245|5483|5483|5726|5974|6228|6486|6750|7019|7293|7573|7857|7857|8147|8442|8742|9048|9358|9674|9995|10321|10653|10653|10989|11331|11678|12030|12388|12750|13118|13491|13869|13869|14253|14641|15035|15434|15838|16248|16662|17082|17507|17507	-1	-1	-1	-1	-1
23	1		20	0	-1	-1	-1
24	0	4000|5250|6250|7500|9750|12250|14750|17250|19750|23500|29750|36250|42750|49500|56250|63250|70500|77750|900|94250|104750|115500|126500|137750|153250|167750|182750|197750|1650|230500|249500|269000|288750|308750|331000|356500|382750|409250|4950|490500|529000|568000|607750|648250|724250|784000|844750|906750|12600|1052000|1135750|1221000|1307750|1395750|1561750|1692250|1824750|1959750|25200|2216000|2397750|2582750|2770500|2961250|3364750|3605750|3850750|4099500|50400|4740000|5090000|5445500|5806250|6172750|6864250|7382750|7909250|8443500|84000|0	-1	-1	-1	-1	-1
25	0	4000|4000|4000|4000|4000|4000|4000|4000|4000|4000|4000|4000|4000|4000|4000|4000|4000|4000|4000|4800|4800|4800|4800|4800|4800|4800|4800|4800|4800|5600|5600|5600|5600|5600|5600|5600|5600|5600|5600|6400|6400|6400|6400|6400|6400|6400|6400|6400|6400|7200|7200|7200|7200|7200|7200|7200|7200|7200|7200|8000|8000|8000|8000|8000|8000|8000|8000|8000|8000|9000|9000|9000|9000|9000|9000|9000|9000|9000|9000|10000	-1	-1	-1	-1	-1
