INT	INT	INT	INT	INT
属性ID	剑士属性对应战力值	法师属性对应战力值	弓箭手属性对应战力值	随从属性对应战力值
0	0	0	0	0
1	0	0	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	200	0	200	200
6	200	0	200	200
7	0	200	0	200
8	0	200	0	200
9	800	800	800	800
10	200	200	200	200
11	200	200	200	200
12	800	800	800	800
13	20	20	20	20
14	10	10	10	10
15	0	0	0	0
16	0	0	0	0
17	0	0	0	0
18	0	0	0	0
19	2000	2000	2000	2000
20	2000	2000	2000	2000
21	0	0	0	0
22	0	0	0	0
23	0	0	0	0
24	0	0	0	0
25	0	0	0	0
26	1500	1500	1500	1500
27	600	600	600	600
28	600	600	600	600
29	600	600	600	600
30	2000	2000	2000	2000
31	2000	2000	2000	2000
32	2000	2000	2000	2000
33	0	0	0	0
34	0	0	0	0
35	0	0	0	0
36	0	0	0	0
37	0	0	0	0
38	0	0	0	0
39	0	0	0	0
40	0	0	0	0
41	0	0	0	0
42	0	0	0	0
43	0	0	0	0
44	0	0	0	0
45	0	0	0	0
46	0	0	0	0
47	0	0	0	0
48	0	0	0	0
49	0	0	0	0
50	0	0	0	0
51	0	0	0	0
52	0	0	0	0
98	0	0	0	0
99	0	0	0	0
105	1000000	1000000	1000000	1000000
106	0	0	0	0
110	1000000	1000000	1000000	1000000
111	0	0	0	0
113	0	0	0	0
114	0	0	0	0
119	0	0	0	0
120	0	0	0	0
121	0	0	0	0
1001	0	0	0	0
1002	0	0	0	0
