INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引ID	名称	神像等级	最大等级	下级ID	神像类型	升级所需经验	属性1ID	属性值	属性2ID	属性值	属性3ID	属性值	融合属性1ID	融合万分比	融合属性2ID	融合万分比(废弃,统一走第一个万分比)	融合属性3ID	融合万分比(废弃,统一走第一个万分比)
0	【恶魔神像】	0	50	1	0	0	-1	0	-1	-1	-1	-1	-1	0	-1	0	-1	-1
1	【恶魔神像】	1	50	2	0	2000	105	46	-1	-1	-1	-1	5	2000	6	2000	-1	-1
2	【恶魔神像】	2	50	3	0	3000	105	63	-1	-1	-1	-1	5	2100	6	2100	-1	-1
3	【恶魔神像】	3	50	4	0	5000	105	84	-1	-1	-1	-1	5	2200	6	2200	-1	-1
4	【恶魔神像】	4	50	5	0	7500	105	106	-1	-1	-1	-1	5	2300	6	2300	-1	-1
5	【恶魔神像】	5	50	6	0	10000	105	131	-1	-1	-1	-1	5	2400	6	2400	-1	-1
6	【恶魔神像】	6	50	7	0	12500	105	158	-1	-1	-1	-1	5	2500	6	2500	-1	-1
7	【恶魔神像】	7	50	8	0	15000	105	187	-1	-1	-1	-1	5	2600	6	2600	-1	-1
8	【恶魔神像】	8	50	9	0	17500	105	219	-1	-1	-1	-1	5	2700	6	2700	-1	-1
9	【恶魔神像】	9	50	10	0	20000	105	253	-1	-1	-1	-1	5	2800	6	2800	-1	-1
10	【恶魔神像】	10	50	11	0	25000	105	289	-1	-1	-1	-1	5	2900	6	2900	-1	-1
11	【恶魔神像】	11	50	12	0	30000	105	328	-1	-1	-1	-1	5	3000	6	3000	-1	-1
12	【恶魔神像】	12	50	13	0	35000	105	369	-1	-1	-1	-1	5	3100	6	3100	-1	-1
13	【恶魔神像】	13	50	14	0	40000	105	412	-1	-1	-1	-1	5	3200	6	3200	-1	-1
14	【恶魔神像】	14	50	15	0	45000	105	457	-1	-1	-1	-1	5	3300	6	3300	-1	-1
15	【恶魔神像】	15	50	16	0	50000	105	505	-1	-1	-1	-1	5	3400	6	3400	-1	-1
16	【恶魔神像】	16	50	17	0	55000	105	555	-1	-1	-1	-1	5	3500	6	3500	-1	-1
17	【恶魔神像】	17	50	18	0	60000	105	608	-1	-1	-1	-1	5	3600	6	3600	-1	-1
18	【恶魔神像】	18	50	19	0	65000	105	662	-1	-1	-1	-1	5	3700	6	3700	-1	-1
19	【恶魔神像】	19	50	20	0	70000	105	719	-1	-1	-1	-1	5	3800	6	3800	-1	-1
20	【恶魔神像】	20	50	21	0	75000	105	779	-1	-1	-1	-1	5	3900	6	3900	-1	-1
21	【恶魔神像】	21	50	22	0	80000	105	840	-1	-1	-1	-1	5	4000	6	4000	-1	-1
22	【恶魔神像】	22	50	23	0	85000	105	904	-1	-1	-1	-1	5	4100	6	4100	-1	-1
23	【恶魔神像】	23	50	24	0	90000	105	971	-1	-1	-1	-1	5	4200	6	4200	-1	-1
24	【恶魔神像】	24	50	25	0	95000	105	1039	-1	-1	-1	-1	5	4300	6	4300	-1	-1
25	【恶魔神像】	25	50	26	0	100000	105	1110	-1	-1	-1	-1	5	4400	6	4400	-1	-1
