INT	INT
ID	位标示
0	0
1	0
2	0
3	0
10	0
11	0
12	0
13	0
20	0
30	0
31	0
32	0
33	0
40	0
41	0
42	0
50	0
51	0
52	0
53	0
60	0
61	0
62	0
63	0
65	0
66	0
67	0
70	0
71	0
72	0
73	0
80	0
81	0
82	0
83	0
84	0
89	0
90	0
91	0
92	0
93	0
95	0
96	0
97	0
100	0
101	0
102	0
110	0
120	0
121	0
122	0
123	0
124	0
130	0
131	0
132	0
133	0
134	0
140	0
141	0
142	0
143	0
144	0
150	0
151	0
152	0
153	0
160	0
170	0
171	0
172	0
173	0
174	0
175	0
180	0
181	0
182	0
189	0
190	0
191	0
200	0
201	0
202	0
203	0
220	0
230	0
231	0
240	0
241	0
260	0
261	0
262	0
263	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	0
527	0
528	0
550	0
551	0
552	0
553	0
554	0
555	0
556	0
557	0
558	0
559	0
560	0
561	0
562	0
563	0
570	0
571	0
572	0
573	0
574	0
575	0
600	0
601	0
602	0
603	0
604	0
605	0
606	0
607	0
608	0
609	0
610	0
611	0
612	0
613	0
614	0
615	0
616	0
620	0
621	0
622	0
623	0
624	0
625	0
626	0
627	0
628	0
629	0
630	0
631	0
632	0
680	0
681	0
682	0
683	0
684	0
685	0
686	0
687	0
688	0
689	0
690	0
691	0
692	0
693	0
694	0
695	0
696	0
697	0
700	0
701	0
702	0
703	0
710	0
720	0
721	0
722	0
723	0
724	0
725	0
740	0
741	0
750	0
751	0
760	0
770	0
780	0
781	0
782	0
790	0
791	0
792	0
793	0
794	0
800	0
810	0
811	0
812	0
813	0
1000	0
1001	0
1500	0
1501	0
2000	0
2500	0
2501	0
3000	0
3001	0
3500	0
4000	0
4001	0
4500	0
4501	0
5000	0
5001	0
5500	0
5501	0
6000	0
6500	0
6501	0
7000	0
7001	0
7500	0
8000	0
8500	0
9000	0
9500	0
9600	0
9700	0
9800	0
9900	0
10000	0
10010	0
10020	0
10021	0
10022	0
10030	0
