INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
索引ID	物品ID	单次出售数量	所属商店	出售货币类型	出售价格	每天限购数量(索扩展计数)	每星期限购数量	每月限购数量	黑市限购数量	所属商品组(每组显示1个)	刷新时间(索引事件表)	购买所需物品ID	购买所需物品数量	可见职业ID	购买标记位	显示条件	购买条件	商品波动价格(索引SkillUpgrading)	祈福成长	祈福加成	祈福加成购买次数	排序(-1表示不显示)	商品权重
0	24000	1	0	2	100	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	0	0
1	24001	1	0	2	300	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	1	0
2	24002	1	0	2	750	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	2	0
3	24003	1	300	2	1500	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	3	0
4	24007	1	0	2	200	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	4	0
5	24008	1	0	2	500	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	5	0
6	210002	1	1	2	187500	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	6	0
7	310002	1	1	2	150000	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	7	0
8	410002	1	1	2	150000	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	8	0
9	411002	1	1	2	30000	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	9	0
10	24013	1	5	2	30	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10	0
11	24000	1	5	2	100	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	11	0
12	24001	1	5	2	300	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	12	0
13	24002	1	5	2	750	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	13	0
14	24003	1	300	2	1500	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	14	0
15	24007	1	5	2	200	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	15	0
16	24001	1	4	3	1	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	16	0
300	22000	1	201	13	300	350	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	300	0
301	22003	1	201	13	100	351	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	301	0
302	22002	1	203	13	100	352	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	302	0
303	22001	1	203	13	600	353	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	303	0
306	7	300	204	13	500	366	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	317	0
307	22017	1	202	13	60	357	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	307	0
308	22018	1	202	13	200	358	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	308	0
310	22066	1	205	13	500	359	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	310	0
311	22007	1	204	13	10000	360	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	311	0
312	23653	1	206	13	29900	362	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	316	0
315	22007	1	-1	13	10000	365	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	315	0
10001	200001	1	100	2	16000	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10001	0
10002	204001	1	100	2	20000	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10002	0
10003	207001	1	100	2	12000	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10003	0
10004	300001	1	100	2	16000	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10004	0
10005	304001	1	100	2	20000	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10005	0
10006	307001	1	100	2	12000	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10006	0
10101	400001	1	101	2	16000	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10101	0
10102	404001	1	101	2	20000	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10102	0
10103	407001	1	101	2	12000	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	10103	0
10201	213001	1	102	2	75000	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	10201	0
10202	313001	1	102	2	75000	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	10202	0
10203	413001	1	102	2	75000	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	10203	0
10301	200002	1	-1	2	40000	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	10301	0
10302	204002	1	-1	2	50000	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	10302	0
10303	207002	1	-1	2	30000	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	10303	0
