INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
天赋ID	激活技能ID	替换技能ID	图标ID	所需前置天赋ID	所需前置天赋点数	影响属性ID	影响值(Skillupgrading)	可分配点数	互斥节点	天赋所属技能ID	战斗力索引	1层BUFFid	2层BUFFid	3层BUFFid	4层BUFFid	5层BUFFid	6层BUFFid	7层BUFFid	8层BUFFid	9层BUFFid	10层BUFFid	消耗道具	道具数量	等级限制	对应道具
0	-1	-1	-1	-1	-1	105	1000	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	811	180	-1
1	-1	-1	-1	0	5	13	1001	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	812	180	-1
2	-1	-1	-1	1	5	10	1002	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	813	180	-1
3	-1	-1	-1	2	5	11	1003	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	814	190	-1
4	-1	-1	-1	3	1	17	1004	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	815	190	-1
5	-1	-1	-1	3	1	19	1005	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	816	190	-1
6	-1	-1	-1	3	1	20	1006	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	817	190	-1
7	-1	-1	-1	3	5	21	1007	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	821	200	-1
8	-1	-1	-1	7	5	15	1008	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	822	200	-1
9	-1	-1	-1	8	5	9	1009	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	823	200	-1
10	-1	-1	-1	9	5	12	1010	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	824	210	-1
11	-1	-1	-1	10	1	105	1011	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	825	210	-1
12	-1	-1	-1	10	1	13	1012	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	826	210	-1
13	-1	-1	-1	10	1	10	1013	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	827	210	-1
14	-1	-1	-1	10	5	11	1014	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	831	220	-1
15	-1	-1	-1	14	5	24	1015	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	832	220	-1
16	-1	-1	-1	15	5	19	1016	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	833	220	-1
17	-1	-1	-1	16	5	20	1017	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	834	230	-1
18	-1	-1	-1	17	1	22	1018	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	835	230	-1
19	-1	-1	-1	17	1	113	1019	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	836	230	-1
20	-1	-1	-1	17	1	9	1020	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	837	230	-1
21	-1	-1	-1	17	5	12	1021	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	841	240	-1
