INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	FLOAT
ID	起点场景	起点坐标X	起点坐标Y	需求时间	终点场景	终点坐标X	终点坐标Y	起点传送点半径
0	3	141.1	170.94	20	5	111	21	2.5
1	3	162.72	43.9	20	1	150	31	2.5
2	3	20.66	17.87	20	2	97	113	2.5
3	5	111.9	15.05	20	3	135.83	166.43	2.5
4	5	26.3	126.67	20	6	23	19	2.5
5	1	156.5	30.93	20	3	158.04	47.16	2.5
6	1	17.27	77.07	20	12	54	64	2.5
7	1	28.91	141.05	20	4	6	50	2.5
8	2	96.85	116.11	20	3	24.95	22.96	1.29999995231628
9	4	11.3	53.69	20	1	33.1	136.56	2.5
10	4	44	8	20	8	26	16	2.5
11	6	30.65	16.27	20	5	31.5	120.9	2.5
12	6	7.25	98.1	20	7	53	26	1
13	7	55	18	20	6	15	106	2.5
14	7	127	86	20	9	26	116	2.5
15	8	22	17.5	20	4	47.5	13	2.5
16	9	24	121	20	7	135	83	2.5
17	9	61	14	20	10	54	64	2.5
18	10	66	7	20	9	54	64	2.5
19	10	61	14	20	11	54	64	2.5
20	11	66	7	20	10	54	64	2.5
21	12	66	7	20	1	54	64	2.5
