INT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT
索引ID	场景ID	X坐标	Z坐标	半径	客户端动画	掉线后是否再触发	区域类型	参数1	参数2	参数3	参数4
100	2000	30	80.9	3	-1	-1	0	3124	1	750	40001
101	2000	29.79	2.6	3	-1	-1	0	3124	1	750	40002
102	2001	30	80.9	3	-1	-1	0	3124	1	750	40001
103	2001	29.79	2.6	3	-1	-1	0	3124	1	750	40002
104	2002	30	80.9	3	-1	-1	0	3124	1	750	40001
105	2002	29.79	2.6	3	-1	-1	0	3124	1	750	40002
206	2003	30	80.9	3	-1	-1	0	3124	1	750	40001
207	2003	29.79	2.6	3	-1	-1	0	3124	1	750	40002
208	2004	30	80.9	3	-1	-1	0	3124	1	750	40001
209	2004	29.79	2.6	3	-1	-1	0	3124	1	750	40002
317	2100	8.96	47.98	3	-1	-1	0	3124	1	750	40001
318	2100	112.33	49.34	3	-1	-1	0	3124	1	750	40002
319	2101	8.96	47.98	3	-1	-1	0	3124	1	750	40001
320	2101	112.33	49.34	3	-1	-1	0	3124	1	750	40002
321	2102	8.96	47.98	3	-1	-1	0	3124	1	750	40001
322	2102	112.33	49.34	3	-1	-1	0	3124	1	750	40002
323	2103	8.96	47.98	3	-1	-1	0	3124	1	750	40001
324	2103	112.33	49.34	3	-1	-1	0	3124	1	750	40002
325	2104	8.96	47.98	3	-1	-1	0	3124	1	750	40001
326	2104	112.33	49.34	3	-1	-1	0	3124	1	750	40002
501	9000	109	113	7	-1	-1	0	3124	1	750	40003
502	9000	95	28	7	-1	-1	0	3124	1	750	40004
503	9000	36	51	7	-1	-1	0	3124	1	750	40004
504	9000	41	202	7	-1	-1	0	3124	1	750	40005
505	9000	94	178	7	-1	-1	0	3124	1	750	40005
506	9000	68.02	112.3	4.5	-1	-1	2	0	-1	-1	-1
507	9000	48.09	88.55	4.5	-1	-1	2	1	-1	-1	-1
508	9000	48.15	136.1	4.5	-1	-1	2	2	-1	-1	-1
509	9000	88.6	136.1	4.5	-1	-1	2	3	-1	-1	-1
510	9000	88.6	88.55	4.5	-1	-1	2	4	-1	-1	-1
1000	2100	61.42	84.59	3	-1	-1	2	0	-1	-1	-1
1001	2100	61.26	47.26	3	-1	-1	2	1	-1	-1	-1
