INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	需求VIP经验	礼包客户端物品参数1	礼包客户端物品参数2	礼包客户端物品参数3	达到此VIP后获得物品	达到此VIP后获得BUFF	达到此VIP后获得称号	每日礼包ID	商品ID1	增加购买次数1	商品ID2	增加购买次数2	商品ID3	增加购买次数3	商品ID4	增加购买次数4	商品ID5	增加购买次数5	商品ID6	增加购买次数6	商品ID7	增加购买次数7	商品ID8	增加购买次数8	商品ID9	增加购买次数9	商品ID10	增加购买次数10	竞技场购买次数	竞技场免挑战CD	随身仓库	随身修理	翅膀一键培养进阶	双倍冥想奖励领取	四倍冥想奖励领取	守护神像增加次数	农场订单刷新增加次数	场景BOSS传送	强化成功率提高	剧情副本重置次数	区域地图无限传送	恶魔购买次数	血色购买次数	VIP专属黄金圣殿	VIP专属BOSS神殿	勇士港扫荡次数	许愿池筛选数	每日传送次数	灵兽岛体力购买次数	增加幻境购买挑战次数	离线挂机时间上限	广告商品	购买位标示
0	0	-1	-1	-1	-1	-1	-1		120000	9999	120001	0	101003	0	200019	0	200020	0	200017	0	200026	0	-1	-1	-1	-1	-1	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	99999999	0	0	1	1	43200	23180	3513
1	60	101001	101101	101201	-1	-1	-1	2*100000|7*100|22066*1|5*200|22019*1	120000	9999	120001	5	101003	0	200019	1	200020	1	200017	4	200026	1	-1	-1	-1	-1	-1	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	99999999	0	10	2	2	46800	23180	3500
2	300	101002	101102	101202	-1	-1	-1	2*150000|7*150|22066*1|5*300|22019*2	120000	9999	120001	5	101003	0	200019	2	200020	2	200017	8	200026	2	-1	-1	-1	-1	-1	-1	5	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	99999999	0	30	2	2	50400	23181	3501
3	1000	101003	101103	101203	-1	-1	-1	2*200000|7*200|22066*2|5*400|22019*3	120000	9999	120001	10	101003	0	200019	3	200020	3	200017	12	200026	3	-1	-1	-1	-1	-1	-1	10	1	0	1	1	1	0	2	0	0	0	1	0	0	0	0	1	99999999	0	50	3	3	54000	20304	3502
4	2000	101004	101104	101204	-1	-1	-1	2*300000|7*250|22066*2|5*500|23586*1	120000	9999	120001	10	101003	3	200019	4	200020	4	200017	16	200026	4	-1	-1	-1	-1	-1	-1	15	1	0	1	1	1	0	3	0	1	0	2	1	0	0	0	1	99999999	0	9999	3	3	57600	36000	3503
5	4000	101005	101105	101205	-1	-1	-1	2*500000|7*300|22066*3|5*600|23587*1	120000	9999	120001	10	101003	6	200019	5	200020	5	200017	20	200026	5	-1	-1	-1	-1	-1	-1	20	1	1	1	1	1	1	4	0	1	0	3	1	0	0	0	1	99999999	0	9999	4	4	61200	36001	3504
6	8000	101006	101106	101206	-1	-1	-1	2*700000|7*400|22066*4|5*800|23588*1	120000	9999	120001	20	101003	9	200019	6	200020	6	200017	24	200026	6	-1	-1	-1	-1	-1	-1	25	1	1	1	1	1	1	5	0	1	0	4	1	0	0	1	1	99999999	0	9999	4	4	64800	15014	3505
7	16000	101007	101107	101207	-1	-1	-1	2*1000000|7*500|22066*5|5*1000|23589*1	120000	9999	120001	20	101003	12	200019	7	200020	7	200017	28	200026	7	-1	-1	-1	-1	-1	-1	30	1	1	1	1	1	1	6	0	1	0	5	1	0	0	1	1	99999999	0	9999	4	4	68400	15015	3506
8	40000	101008	101108	101208	-1	-1	-1	2*1500000|7*600|22066*6|5*1200|23590*1	120000	9999	120001	20	101003	15	200019	8	200020	8	200017	32	200026	8	-1	-1	-1	-1	-1	-1	35	1	1	1	1	1	1	7	0	1	0	6	1	0	0	1	1	99999999	0	9999	5	5	72000	15016	3507
9	80000	101009	101109	101209	-1	-1	-1	2*2000000|7*700|22066*7|5*1500|23591*1	120000	9999	120001	30	101003	18	200019	9	200020	9	200017	36	200026	9	-1	-1	-1	-1	-1	-1	40	1	1	1	1	1	1	8	0	1	0	7	1	0	0	1	1	99999999	0	9999	5	5	75600	15017	3508
10	150000	101010	101110	101210	-1	-1	-1	2*2500000|7*800|22066*8|5*2000|23592*1	120000	9999	120001	30	101003	21	200019	10	200020	10	200017	40	200026	10	-1	-1	-1	-1	-1	-1	45	1	1	1	1	1	1	9	0	1	0	8	1	0	0	1	1	99999999	0	9999	5	5	79200	15018	3509
11	400000	101011	101111	101211	-1	-1	-1	2*3500000|7*900|22066*9|5*3000|23593*1	120000	9999	120001	30	101003	24	200019	11	200020	11	200017	44	200026	11	-1	-1	-1	-1	-1	-1	50	1	1	1	1	1	1	10	0	1	0	9	1	0	0	1	1	99999999	0	9999	5	5	82800	15019	3510
12	800000	101012	101112	101212	-1	-1	-1	2*5000000|7*1000|22066*10|5*4000|23594*1	120000	9999	120001	40	101003	27	200019	12	200020	12	200017	48	200026	12	-1	-1	-1	-1	-1	-1	55	1	1	1	1	1	1	11	0	1	0	10	1	0	0	1	1	99999999	0	9999	6	6	86400	15020	3511
13	9999999	-1	-1	-1	-1	-1	-1		120000	9999	120001	40	101003	30	200019	13	200020	13	200017	52	200026	13	-1	-1	-1	-1	-1	-1	60	1	1	1	1	1	1	12	0	1	0	11	1	0	0	1	1	0	0	9999	6	6	86400	15020	3512
