INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
翅膀ID	职业	阶数	升阶材料	材料数	消耗金钱	成长一次增加值	废弃	废弃	废弃	等级限制	增加属性1	属性1值	增加属性2	属性2值	增加属性3	属性3值	增加属性4	属性4值	增加属性5	属性5值	增加属性6	属性6值	增加属性7	属性7值	增加属性8	属性8值	增加属性9	属性9值	增加属性10	属性10值	增加属性11	属性11数值	突破材料	突破材料数	突破消耗金钱	成长进度	成长属性1	成长属性1min	成长属性1max	成长属性2	成长属性2min	成长属性2max	成长属性3	成长属性3min	成长属性3max	成长属性4	成长属性4min	成长属性4max	成长属性5	成长属性5min	成长属性5max	成长属性6	成长属性6min	成长属性6max
10001	0	1	22018	1	1000	10	50	70	100	1	5	80	6	80	10	35	11	35	13	580	14	100	19	9	20	9	21	2	22	2	25	20	22054	1	100000	100	5	6	7	6	8	9	10	3	4	11	3	4	13	92	97	-1	0	0
10002	0	2	22018	3	2000	10	60	100	120	1	5	183	6	202	10	96	11	96	13	1930	14	500	19	22	20	22	21	4	22	4	25	25	22054	2	200000	280	5	6	7	6	7	8	10	3	4	11	3	4	13	74	78	-1	0	0
10003	0	3	22018	5	5000	15	90	120	150	50	5	429	6	474	10	226	11	226	13	4520	14	1000	19	52	20	52	21	6	22	6	25	30	22056	1	500000	750	5	9	10	6	9	11	10	4	5	11	4	5	13	100	106	-1	0	0
10004	0	4	22018	8	8000	15	125	180	200	100	5	994	6	1099	10	523	11	523	13	10470	14	2000	19	106	20	106	21	8	22	8	25	40	22056	2	1000000	1200	5	10	12	6	11	13	10	5	6	11	5	6	13	117	123	-1	0	0
10005	0	5	22018	10	10000	20	170	200	250	150	5	2021	6	2234	10	1064	11	1064	13	21280	14	3000	19	192	20	192	21	10	22	10	25	50	22056	4	2000000	2200	5	12	14	6	13	15	10	6	7	11	6	7	13	135	143	-1	0	0
10006	0	6	22018	12	20000	20	250	200	250	180	5	3652	6	4037	10	1922	11	1922	13	38450	14	4000	19	317	20	317	21	12	22	12	25	60	22056	6	5000000	3000	5	13	15	6	15	17	10	7	8	11	7	8	13	146	154	-1	0	0
10007	0	7	22018	15	50000	30	280	200	250	200	5	6030	6	6665	10	3174	11	3174	13	63480	14	5000	19	489	20	489	21	14	22	14	25	70	22056	8	8000000	5400	5	15	17	6	17	19	10	8	9	11	8	9	13	168	177	-1	0	0
10008	0	8	22018	20	80000	30	350	200	250	220	5	9297	6	10276	10	4893	11	4893	13	97870	14	6000	19	715	20	715	21	16	22	16	25	80	22056	10	10000000	6900	5	16	18	6	18	20	10	8	9	11	8	9	13	174	184	-1	0	0
10009	0	9	22018	25	100000	30	400	200	250	230	5	13596	6	15027	10	7156	11	7156	13	143120	14	8000	19	1003	20	1003	21	18	22	18	25	90	22056	15	10000000	8400	5	17	19	6	18	21	10	9	10	11	9	10	13	182	192	-1	0	0
10010	0	10	22018	25	200000	30	0	0	0	250	5	19069	6	21076	10	10036	11	10036	13	200730	14	10000	19	1361	20	1361	21	20	22	20	25	100	22056	15	10000000	8400	5	20	23	6	23	26	10	11	12	11	11	12	13	226	239	-1	0	0
10101	1	1	22018	1	1000	10	50	70	100	1	7	80	8	80	10	36	11	35	13	580	14	100	19	9	20	9	21	2	22	2	25	20	22054	1	100000	100	7	6	7	8	8	9	10	3	4	11	3	4	13	92	97	-1	0	0
10102	1	2	22018	3	2000	10	60	100	120	1	7	183	8	202	10	120	11	96	13	1930	14	500	19	22	20	22	21	4	22	4	25	25	22054	2	200000	280	7	6	7	8	7	8	10	3	4	11	3	4	13	74	78	-1	0	0
10103	1	3	22018	5	5000	15	90	120	150	50	7	429	8	474	10	376	11	226	13	4520	14	1000	19	52	20	52	21	6	22	6	25	30	22056	1	500000	750	7	9	10	8	9	11	10	4	5	11	4	5	13	100	106	-1	0	0
10104	1	4	22018	8	8000	15	125	180	200	100	7	994	8	1099	10	1048	11	523	13	10470	14	2000	19	106	20	106	21	8	22	8	25	40	22056	2	1000000	1200	7	10	12	8	11	13	10	5	6	11	5	6	13	117	123	-1	0	0
10105	1	5	22018	10	10000	20	170	200	250	150	7	2021	8	2234	10	2498	11	1064	13	21280	14	3000	19	192	20	192	21	10	22	10	25	50	22056	4	2000000	2200	7	12	14	8	13	15	10	6	7	11	6	7	13	135	143	-1	0	0
