INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	翅膀部位	培养重数	培养星数	翅膀阶数要求	培养材料ID	培养材料数量	消耗金钱	普通经验	普通权值	暴击经验0	暴击权值0	暴击经验1	暴击权值1	暴击经验2	暴击权值2	升级经验上限	增加属性1ID	增加属性值	增加属性2ID	增加属性值	增加属性3ID	增加属性值	增加属性4ID	增加属性值	增加属性5ID	增加属性值	增加属性6ID	增加属性值	增加属性7ID	增加属性值	增加属性8ID	增加属性值	增加属性9ID	增加属性值	增加属性10ID	增加属性值	升星ID	重数坐标	废弃
1	0	1	1	1	22017	2	2400	20	760	40	120	100	80	160	40	30	105	16	110	6	13	162	14	2	9	3	12	3	19	4	20	5	26	1	0	0	2	0	-142
2	0	1	2	1	22017	2	2400	20	760	40	120	100	80	160	40	60	105	32	110	12	13	324	14	3	9	6	12	5	19	8	20	9	26	2	0	0	3	0	-48
3	0	1	3	1	22017	2	2400	20	760	40	120	100	80	160	40	90	105	48	110	18	13	486	14	5	9	9	12	8	19	12	20	13	26	3	0	0	4	0	-136
4	0	1	4	1	22017	2	2400	20	760	40	120	100	80	160	40	120	105	64	110	24	13	648	14	6	9	11	12	10	19	16	20	17	26	3	0	0	5	0	-146
5	0	1	5	1	22017	2	2400	20	760	40	120	100	80	160	40	150	105	79	110	30	13	810	14	8	9	14	12	12	19	20	20	22	26	4	0	0	6	0	-162
6	0	1	6	1	22017	2	2400	20	760	40	120	100	80	160	40	180	105	95	110	36	13	972	14	9	9	17	12	15	19	24	20	26	26	5	0	0	7	0	-46
7	0	1	7	1	22017	2	2400	20	760	40	120	100	80	160	40	210	105	111	110	42	13	1133	14	11	9	19	12	17	19	28	20	30	26	5	0	0	8	0	84
8	0	1	8	1	22017	2	2400	20	760	40	120	100	80	160	40	240	105	127	110	47	13	1295	14	12	9	22	12	20	19	32	20	34	26	6	0	0	9	0	96
9	0	1	9	1	22017	2	2400	20	760	40	120	100	80	160	40	270	105	142	110	53	13	1457	14	14	9	25	12	22	19	36	20	38	26	7	0	0	10	0	138
