INT	INT	INT	STRING	INT	INT
ID	类型	索引场景NPC	刷新时间	刷新规则	最大累积次数
0	0	700010	11:00|14:00|17:00|19:00|22:00	0	1
1	0	700011	11:00|14:00|17:00|19:00|22:00	0	1
2	0	700012	11:00|14:00|17:00|19:00|22:00	0	1
3	0	700013	11:00|14:00|17:00|19:00|22:00	0	1
4	0	700014	11:00|14:00|17:00|19:00|22:00	0	1
5	0	700015	11:00|14:00|17:00|19:00|22:00	0	1
6	0	700016	11:00|14:00|17:00|19:00|22:00	0	1
7	0	700017	11:00|14:00|17:00|19:00|22:00	0	1
100	1	702000	12:00|18:00	0	3
101	1	702001	12:00|18:00	0	3
102	1	702002	12:00|18:00	0	3
103	1	702003	12:00|18:00	0	3
104	1	702004	12:00|18:00	0	3
105	1	702005	12:00|18:00	0	3
106	1	702006	12:00|18:00	0	3
107	1	702007	12:00|18:00	0	3
108	1	702008	12:00|18:00	0	3
109	1	702009	12:00|18:00	0	3
110	1	702010	12:00|18:00	0	3
111	1	702011	12:00|18:00	0	3
112	1	702012	12:00|18:00	0	3
113	1	702013	12:00|18:00	0	3
114	1	702014	12:00|18:00	0	3
115	1	702015	12:00|18:00	0	3
116	1	702016	12:00|18:00	0	3
117	1	702017	12:00|18:00	0	3
118	1	702018	12:00|18:00	0	3
119	1	702019	12:00|18:00	0	3
120	1	720020	12:00|18:00	0	3
121	1	720021	12:00|18:00	0	3
122	1	720022	12:00|18:00	0	3
123	1	720023	12:00|18:00	0	3
124	1	720024	12:00|18:00	0	3
125	1	720025	12:00|18:00	0	3
126	1	720026	12:00|18:00	0	3
127	1	720027	12:00|18:00	0	3
128	1	720028	12:00|18:00	0	3
129	1	720029	12:00|18:00	0	3
130	1	720030	12:00|18:00	0	3
131	1	720031	12:00|18:00	0	3
132	1	720032	12:00|18:00	0	3
133	1	720033	12:00|18:00	0	3
134	1	720034	12:00|18:00	0	3
135	1	720035	12:00|18:00	0	3
136	1	720036	12:00|18:00	0	3
137	1	720037	12:00|18:00	0	3
138	1	720038	12:00|18:00	0	3
139	1	720039	12:00|18:00	0	3
140	1	720040	12:00|18:00	0	3
141	1	720041	12:00|18:00	0	3
142	1	720042	12:00|18:00	0	3
143	1	720043	12:00|18:00	0	3
144	1	720044	12:00|18:00	0	3
145	1	720045	12:00|18:00	0	3
146	1	720046	12:00|18:00	0	3
147	1	720047	12:00|18:00	0	3
148	1	720048	12:00|18:00	0	3
149	1	720049	12:00|18:00	0	3
150	1	720050	12:00|18:00	0	3
151	1	720051	12:00|18:00	0	3
152	1	720052	12:00|18:00	0	3
153	1	720053	12:00|18:00	0	3
154	1	720054	12:00|18:00	0	3
155	1	720055	12:00|18:00	0	3
156	1	720056	12:00|18:00	0	3
157	1	720057	12:00|18:00	0	3
158	1	720058	12:00|18:00	0	3
159	1	720059	12:00|18:00	0	3
160	1	720060	12:00|18:00	0	3
161	1	720061	12:00|18:00	0	3
162	1	720062	12:00|18:00	0	3
163	1	720063	12:00|18:00	0	3
164	1	720064	12:00|18:00	0	3
165	1	720065	12:00|18:00	0	3
166	1	720066	12:00|18:00	0	3
167	1	720067	12:00|18:00	0	3
168	1	720068	12:00|18:00	0	3
169	1	720069	12:00|18:00	0	3
170	1	720070	12:00|18:00	0	3
171	1	720071	12:00|18:00	0	3
172	1	720072	12:00|18:00	0	3
173	1	720073	12:00|18:00	0	3
174	1	720074	12:00|18:00	0	3
175	1	720075	12:00|18:00	0	3
176	1	720076	12:00|18:00	0	3
177	1	720077	12:00|18:00	0	3
178	1	720078	12:00|18:00	0	3
179	1	720079	12:00|18:00	0	3
180	1	720080	12:00|18:00	0	3
181	1	720081	12:00|18:00	0	3
182	1	720082	12:00|18:00	0	3
183	1	720083	12:00|18:00	0	3
184	1	720084	12:00|18:00	0	3
185	1	720085	12:00|18:00	0	3
186	1	720086	12:00|18:00	0	3
187	1	720087	12:00|18:00	0	3
188	1	720088	12:00|18:00	0	3
189	1	720089	12:00|18:00	0	3
190	1	720090	12:00|18:00	0	3
191	1	720091	12:00|18:00	0	3
192	1	720092	12:00|18:00	0	3
193	1	720093	12:00|18:00	0	3
194	1	720094	12:00|18:00	0	3
195	1	720095	12:00|18:00	0	3
196	1	720096	12:00|18:00	0	3
197	1	720097	12:00|18:00	0	3
198	1	720098	12:00|18:00	0	3
199	1	720099	12:00|18:00	0	3
200	1	720100	12:00|18:00	0	3
201	1	720101	12:00|18:00	0	3
202	1	720102	12:00|18:00	0	3
203	1	720103	12:00|18:00	0	3
204	1	720104	12:00|18:00	0	3
205	1	720105	12:00|18:00	0	3
206	1	720106	12:00|18:00	0	3
207	1	720107	12:00|18:00	0	3
208	1	720108	12:00|18:00	0	3
209	1	720109	12:00|18:00	0	3
210	1	720110	12:00|18:00	0	3
211	1	720111	12:00|18:00	0	3
212	1	720112	12:00|18:00	0	3
213	1	720113	12:00|18:00	0	3
214	1	720114	12:00|18:00	0	3
215	1	720115	12:00|18:00	0	3
216	1	720116	12:00|18:00	0	3
217	1	720117	12:00|18:00	0	3
218	1	720118	12:00|18:00	0	3
219	1	720119	12:00|18:00	0	3
220	1	720120	12:00|18:00	0	3
221	1	720121	12:00|18:00	0	3
222	1	720122	12:00|18:00	0	3
223	1	720123	12:00|18:00	0	3
224	1	720124	12:00|18:00	0	3
225	1	720125	12:00|18:00	0	3
226	1	720126	12:00|18:00	0	3
227	1	720127	12:00|18:00	0	3
228	1	720128	12:00|18:00	0	3
229	1	720129	12:00|18:00	0	3
230	1	720070	12:00|18:00	0	3
231	1	720071	12:00|18:00	0	3
232	1	720072	12:00|18:00	0	3
233	1	720073	12:00|18:00	0	3
234	1	720074	12:00|18:00	0	3
235	1	720075	12:00|18:00	0	3
236	1	720076	12:00|18:00	0	3
237	1	720077	12:00|18:00	0	3
238	1	720078	12:00|18:00	0	3
239	1	720079	12:00|18:00	0	3
500	2	730000	09:40|10:40|11:40|12:40|13:40|14:40|15:40|16:40|17:40|18:40|19:40|20:40|21:40|22:40	1	1
501	2	730001	09:20|10:20|11:20|12:20|13:20|14:20|15:20|16:20|17:20|18:20|19:20|20:20|21:20|22:20	1	1
502	2	730002	09:40|10:40|11:40|12:40|13:40|14:40|15:40|16:40|17:40|18:40|19:40|20:40|21:40|22:40	1	1
503	2	730003	09:20|10:20|11:20|12:20|13:20|14:20|15:20|16:20|17:20|18:20|19:20|20:20|21:20|22:20	1	1
504	2	730004	09:40|10:40|11:40|12:40|13:40|14:40|15:40|16:40|17:40|18:40|19:40|20:40|21:40|22:40	1	1
505	2	730005	09:20|10:20|11:20|12:20|13:20|14:20|15:20|16:20|17:20|18:20|19:20|20:20|21:20|22:20	1	1
506	2	730006	09:40|10:40|11:40|12:40|13:40|14:40|15:40|16:40|17:40|18:40|19:40|20:40|21:40|22:40	1	1
507	2	730007	09:20|10:20|11:20|12:20|13:20|14:20|15:20|16:20|17:20|18:20|19:20|20:20|21:20|22:20	1	1
508	2	730008	09:40|10:40|11:40|12:40|13:40|14:40|15:40|16:40|17:40|18:40|19:40|20:40|21:40|22:40	1	1
509	2	730009	09:20|10:20|11:20|12:20|13:20|14:20|15:20|16:20|17:20|18:20|19:20|20:20|21:20|22:20	1	1
510	2	730010	09:40|10:40|11:40|12:40|13:40|14:40|15:40|16:40|17:40|18:40|19:40|20:40|21:40|22:40	1	1
511	2	730011	09:20|10:20|11:20|12:20|13:20|14:20|15:20|16:20|17:20|18:20|19:20|20:20|21:20|22:20	1	1
512	2	730012	09:40|10:40|11:40|12:40|13:40|14:40|15:40|16:40|17:40|18:40|19:40|20:40|21:40|22:40	1	1
513	2	730013	09:20|10:20|11:20|12:20|13:20|14:20|15:20|16:20|17:20|18:20|19:20|20:20|21:20|22:20	1	1
514	2	730014	09:40|10:40|11:40|12:40|13:40|14:40|15:40|16:40|17:40|18:40|19:40|20:40|21:40|22:40	1	1
515	2	730015	09:20|10:20|11:20|12:20|13:20|14:20|15:20|16:20|17:20|18:20|19:20|20:20|21:20|22:20	1	1
