INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT
ID	名称	描述备注	是否开启	按钮图标icon	活动显示优先级	活动父类型	活动子类型	完成需要的条件Id	UI内排序	领取消耗物品	领取消耗物品个数	开启时间(相对活动类开启日期/天)	可领取奖励时间(相对活动类开启日期/天)	结束时间(相对开启日期/天)	点击领取时打开活动页	不可领取时引导UI	需要完成前置活动Id	活动参数	参数1	参数2	参数3	参数4	领取次数	奖励内容（职业1）	奖励内容（职业2）	奖励内容（职业3）	索引UI	3D模型展示	美术字标题	美术图片
10001		七天乐	1	2200104	-1	1	-1	-1	-1	-1	0	0	0	7	10	-1	-1		0	-1	-1	-1	1				-1	-1	-1	-1
10002		每日充值	1	2200105	-1	1	-1	-1	-1	-1	0	0	0	7	13	-1	-1		0	-1	-1	-1	1				-1	-1	-1	-1
10003		累计充值	1	2200101	-1	1	-1	-1	-1	-1	0	0	0	7	14	-1	-1		0	-1	-1	-1	1				-1	-1	-1	-1
10004		折扣	1	2200103	-1	1	-1	-1	-1	-1	0	0	0	7	15	-1	-1		0	-1	-1	-1	1				-1	-1	-1	-1
10005		低价礼包	1	2200102	-1	1	-1	-1	-1	-1	0	0	0	7	16	-1	-1		0	-1	-1	-1	1				-1	-1	-1	-1
10006	引导6	引导6	0	3	-1	98	-1	-1	-1	-1	0	5	5	1	7	-1	-1		0	-1	-1	-1	1				-1	-1	-1	-1
10007	引导7	引导7	0	1	-1	98	-1	-1	-1	-1	0	6	6	1	8	-1	-1		0	-1	-1	-1	1				-1	-1	-1	-1
100001	开服第1天充值	开服第1天充值	1	1	-1	-1	-1	-1	-1	-1	0	0	0	1	-1	79	-1		100	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
100002	开服第2天充值	开服第2天充值	1	1	-1	-1	-1	-1	-1	-1	0	1	1	1	-1	79	-1		200	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
100003	开服第3天充值	开服第3天充值	1	1	-1	-1	-1	-1	-1	-1	0	2	2	1	-1	79	-1		300	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
100004	开服第4天充值	开服第4天充值	1	1	-1	-1	-1	-1	-1	-1	0	3	3	1	-1	79	-1		400	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
100005	开服第5天充值	开服第5天充值	1	1	-1	-1	-1	-1	-1	-1	0	4	4	1	-1	79	-1		500	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
100006	开服第6天充值	开服第6天充值	1	1	-1	-1	-1	-1	-1	-1	0	5	5	1	-1	79	-1		600	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
100007	开服第7天充值	开服第7天充值	1	1	-1	-1	-1	-1	-1	-1	0	6	6	1	-1	79	-1		700	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
100011	开服累计1天充值	开服累计1天充值	1	1	-1	3	-1	-1	-1	-1	0	0	0	7	-1	79	-1		100	-1	-1	-1	1	1,1|2,2|3,3|20001,1|20002,2	1,1|2,2|3,3|20002,3|20003,4	1,1|2,2|3,3|20205,1|20206,5	-1	-1	-1	-1
